title,viewcount,title,body,body,acceptedanswerid
"How do I check if a string contains a specific word?","3159605","","<p>Consider:</p>

<pre><code>$a = 'How are you?';

if ($a contains 'are')
    echo 'true';
</code></pre>

<p>Suppose I have the code above, what is the correct way to write the statement <code>if ($a contains 'are')</code>?</p>
","<p>You can use the <a href=""http://php.net/manual/en/function.strpos.php"" rel=""noreferrer""><code>strpos()</code></a> function which is used to find the occurrence of one string inside another one:</p>

<pre><code>$a = 'How are you?';

if (strpos($a, 'are') !== false) {
    echo 'true';
}
</code></pre>

<p>Note that the use of <code>!== false</code> is deliberate; <code>strpos()</code> returns either the offset at which the needle string begins in the haystack string, or the boolean <code>false</code> if the needle isn't found. Since 0 is a valid offset and 0 is ""falsey"", we can't use simpler constructs like <code>!strpos($a, 'are')</code>.</p>
","4366748"
"Get the full URL in PHP","1942000","","<p>I use this code to get the full URL:</p>

<pre><code>$actual_link = 'http://'.$_SERVER['HTTP_HOST'].$_SERVER['PHP_SELF'];
</code></pre>

<p>The problem is that I use some masks in my <code>.htaccess</code>, so what we see in the URL is not always the real path of the file.</p>

<p>What I need is to get the URL, what is written in the URL, nothing more and nothing less—the full URL.</p>

<p>I need to get how it appears in the Navigation Bar in the web browser, and not the real path of the file on the server.</p>
","<p>Have a look at <code>$_SERVER['REQUEST_URI']</code>, i.e.</p>

<pre><code>$actual_link = ""http://$_SERVER[HTTP_HOST]$_SERVER[REQUEST_URI]"";
</code></pre>

<p>(Note that the double quoted string syntax is <a href=""http://php.net/language.types.string#language.types.string.parsing.simple"" rel=""noreferrer"">perfectly correct</a>)</p>

<p>If you want to support both HTTP and HTTPS, you can use</p>

<pre><code>$actual_link = (isset($_SERVER['HTTPS']) ? ""https"" : ""http"") . ""://$_SERVER[HTTP_HOST]$_SERVER[REQUEST_URI]"";
</code></pre>

<p><strong>Editor's note:</strong> using this code has <strong>security implications</strong>. The client can set HTTP_HOST and REQUEST_URI to any arbitrary value it wants.</p>
","6768831"
"How do I get PHP errors to display?","1871967","","<p>I have checked my <code>PHP ini</code> file and display errors is set and also error reporting is <code>E_ALL</code>. I have restarted my Apache web server.</p>

<p>I have even put these lines at the top of my script, and it doesn't even catch simple parse errors. For example, I declare variables with a <code>""$""</code> and I don't close statements<code>"";""</code>. But all my scripts show a blank page on these errors, but I want to actually see the <strong>errors</strong> in my browser output. </p>

<pre><code>error_reporting(E_ALL);
ini_set('display_errors', 1);
</code></pre>

<p>What is left to do?</p>
","<p>This always works for me:</p>

<pre><code>ini_set('display_errors', 1);
ini_set('display_startup_errors', 1);
error_reporting(E_ALL);
</code></pre>

<p>However, this doesn't make PHP to show parse errors - the only way to show those errors is to modify your php.ini with this line:</p>

<pre><code>display_errors = on
</code></pre>
","21429652"
"PHP: Delete an element from an array","1739544","","<p>Is there an easy way to delete an element from an array using <code>PHP</code>, such that <code>foreach ($array)</code> no longer includes that element?</p>

<p>I thought that setting it to <code>null</code> would do it, but apparently it does not work.</p>
","<p>There are different ways to delete an array element, where some are more useful for some specific tasks than others.</p>

<h1>Delete one array element</h1>

<p>If you want to delete just one array element you can use <a href=""https://secure.php.net/manual/en/function.unset.php"" rel=""noreferrer""><code>unset()</code></a> or alternative <a href=""https://secure.php.net/manual/en/function.array-splice.php"" rel=""noreferrer""><code>array_splice()</code></a>.</p>

<p>Also if you have the value and don't know the key to delete the element you can use <a href=""http://php.net/manual/en/function.array-search.php"" rel=""noreferrer""><code>array_search()</code></a> to get the key.</p>

<h3><a href=""http://php.net/manual/en/function.unset.php"" rel=""noreferrer""><code>unset()</code></a> method</h3>

<p>Note that when you use <code>unset()</code> the array keys won't change/reindex. If you want to reindex the keys you can use <a href=""http://php.net/manual/en/function.array-values.php"" rel=""noreferrer""><code>array_values()</code></a> after <code>unset()</code> which will convert all keys to numerical enumerated keys starting from 0.</p>

<p>Code</p>

<pre><code>&lt;?php

    $array = array(0 =&gt; ""a"", 1 =&gt; ""b"", 2 =&gt; ""c"");
    unset($array[1]);
               //↑ Key which you want to delete

?&gt;
</code></pre>

<p>Output</p>

<pre><code>Array (
    [0] =&gt; a
    [2] =&gt; c
)
</code></pre>

<h3><a href=""http://php.net/manual/en/function.array-splice.php"" rel=""noreferrer""><code>array_splice()</code></a> method</h3>

<p>If you use <code>array_splice()</code> the keys will be automatically reindexed, but the associative keys won't change opposed to <code>array_values()</code> which will convert all keys to numerical keys.</p>

<p>Also <code>array_splice()</code> needs the offset, not the key!, as second parameter.</p>

<p>Code</p>

<pre><code>&lt;?php

    $array = array(0 =&gt; ""a"", 1 =&gt; ""b"", 2 =&gt; ""c"");
    array_splice($array, 1, 1);
                       //↑ Offset which you want to delete

?&gt;
</code></pre>

<p>Output</p>

<pre><code>Array (
    [0] =&gt; a
    [1] =&gt; c
)
</code></pre>

<p><code>array_splice()</code> same as <code>unset()</code> take the array by reference, this means you don't want to assign the return values of those functions back to the array.</p>

<h1>Delete multiple array elements</h1>

<p>If you want to delete multiple array elements and don't want to call <code>unset()</code> or <code>array_splice()</code> multiple times you can use the functions <code>array_diff()</code> or <code>array_diff_key()</code> depending on if you know the values or the keys of the elements which you want to delete.</p>

<h3><a href=""http://php.net/manual/en/function.array-diff.php"" rel=""noreferrer""><code>array_diff()</code></a> method</h3>

<p>If you know the values of the array elements which you want to delete, then you can use <code>array_diff()</code>. As before with <code>unset()</code> it won't change/reindex the keys of the array.</p>

<p>Code</p>

<pre><code>&lt;?php

    $array = array(0 =&gt; ""a"", 1 =&gt; ""b"", 2 =&gt; ""c"");
    $array = array_diff($array, [""a"", ""c""]);
                              //└────────┘→ Array values which you want to delete

?&gt;
</code></pre>

<p>Output</p>

<pre><code>Array (
    [1] =&gt; b
)
</code></pre>

<h3><a href=""http://php.net/manual/en/function.array-diff-key.php"" rel=""noreferrer""><code>array_diff_key()</code></a> method</h3>

<p>If you know the keys of the elements which you want to delete, then you want to use <code>array_diff_key()</code>. Here you have to make sure you pass the keys as keys in the second parameter and not as values. Otherwise you have to flip the array with <a href=""http://php.net/manual/en/function.array-flip.php"" rel=""noreferrer""><code>array_flip()</code></a>. And also here the keys won't change/reindex.</p>

<p>Code</p>

<pre><code>&lt;?php

    $array = array(0 =&gt; ""a"", 1 =&gt; ""b"", 2 =&gt; ""c"");
    $array = array_diff_key($array, [0 =&gt; ""xy"", ""2"" =&gt; ""xy""]);
                                   //↑           ↑ Array keys which you want to delete
?&gt;
</code></pre>

<p>Output</p>

<pre><code>Array (
    [1] =&gt; b
)
</code></pre>

<p>Also if you want to use <code>unset()</code> or <code>array_splice()</code> to delete multiple elements with the same value you can use <a href=""http://php.net/manual/en/function.array-keys.php"" rel=""noreferrer""><code>array_keys()</code></a> to get all the keys for a specific value and then delete all elements.</p>
","369608"
"What is the best IDE for PHP?","1359879","","<p>I'm a PHP developer and now I use <a href=""http://en.wikipedia.org/wiki/Notepad_%28software%29"" rel=""nofollow noreferrer"">Notepad++</a> for code editing, but lately I've been searching for an IDE to ease my work.</p>

<p>I've looked into <a href=""http://en.wikipedia.org/wiki/Eclipse_%28software%29"" rel=""nofollow noreferrer"">Eclipse</a>, <a href=""http://en.wikipedia.org/wiki/Aptana#Aptana_Studio"" rel=""nofollow noreferrer"">Aptana Studio</a> and several others, but I'm not really decided, they all look nice enough but a bit complicated. I'm sure it'll all get easy once I get used to it, but I don't want to waste my time.</p>

<p>This is what I'm looking for:</p>

<ul>
    <li>FTP support</li>
    <li>Code highlight</li>
    <li>SVN support would be great</li>
    <li>Ruby and JavaScript would be great</li>
</ul>
","<p>Are you sure you're looking for an IDE?  The features you're describing, along with the impression of being too complicated that you got from e.g. Aptana, suggest that perhaps all you really want is a good editor with syntax highlighting and integration with some common workflow tools.  For this, there are tons of options.</p>

<p>I've used <a href=""http://www.jedit.org/"" rel=""nofollow noreferrer"">jEdit</a> on several platforms successfully, and that alone puts it above most of the rest (many of the IDEs are cross-platform too, but Aptana and anything Eclipse-based is going to be pretty heavy-weight, if full-featured).  jEdit has ready-made plugins for everything on your list, and syntax highlighting for a wide range of languages.  You can also bring up a shell in the bottom of your window, invoke scripts from within the editor, and so forth.  It's not perfect (the UI is better than most Java UIs, but not perfect yet I don't think), but I've had good luck with it, and it'll be a hell of a lot simpler than Aptana/Eclipse.</p>

<p>That said, I do like Aptana quite a bit for web development, it does a lot of the grunt work for you once you're over the learning curve.</p>
","116345"
"How can I prevent SQL injection in PHP?","1305459","","<p>If user input is inserted without modification into an SQL query, then the application becomes vulnerable to <a href=""https://stackoverflow.com/a/332367/"">SQL injection</a>, like in the following example:</p>

<pre class=""lang-php prettyprint-override""><code>$unsafe_variable = $_POST['user_input']; 

mysql_query(""INSERT INTO `table` (`column`) VALUES ('$unsafe_variable')"");
</code></pre>

<p>That's because the user can input something like <code>value'); DROP TABLE table;--</code>, and the query becomes:</p>

<pre><code>INSERT INTO `table` (`column`) VALUES('value'); DROP TABLE table;--')
</code></pre>

<p>What can be done to prevent this from happening?</p>
","<p><strong>Use prepared statements and parameterized queries.</strong> These are SQL statements that are sent to and parsed by the database server separately from any parameters. This way it is impossible for an attacker to inject malicious SQL.</p>

<p>You basically have two options to achieve this:</p>

<ol>
<li><p>Using <a href=""http://php.net/manual/en/book.pdo.php"" rel=""noreferrer"">PDO</a> (for any supported database driver):</p>

<pre class=""lang-php prettyprint-override""><code>$stmt = $pdo-&gt;prepare('SELECT * FROM employees WHERE name = :name');

$stmt-&gt;execute(array('name' =&gt; $name));

foreach ($stmt as $row) {
    // do something with $row
}
</code></pre></li>
<li><p>Using <a href=""http://php.net/manual/en/book.mysqli.php"" rel=""noreferrer"">MySQLi</a> (for MySQL):</p>

<pre class=""lang-php prettyprint-override""><code>$stmt = $dbConnection-&gt;prepare('SELECT * FROM employees WHERE name = ?');
$stmt-&gt;bind_param('s', $name); // 's' specifies the variable type =&gt; 'string'

$stmt-&gt;execute();

$result = $stmt-&gt;get_result();
while ($row = $result-&gt;fetch_assoc()) {
    // do something with $row
}
</code></pre></li>
</ol>

<p>If you're connecting to a database other than MySQL, there is a driver-specific second option that you can refer to (e.g. <code>pg_prepare()</code> and <code>pg_execute()</code> for PostgreSQL). PDO is the universal option.</p>

<h2>Correctly setting up the connection</h2>

<p>Note that when using <code>PDO</code> to access a MySQL database <em>real</em> prepared statements are <strong>not used by default</strong>. To fix this you have to disable the emulation of prepared statements. An example of creating a connection using PDO is:</p>

<pre class=""lang-php prettyprint-override""><code>$dbConnection = new PDO('mysql:dbname=dbtest;host=127.0.0.1;charset=utf8', 'user', 'pass');

$dbConnection-&gt;setAttribute(PDO::ATTR_EMULATE_PREPARES, false);
$dbConnection-&gt;setAttribute(PDO::ATTR_ERRMODE, PDO::ERRMODE_EXCEPTION);
</code></pre>

<p>In the above example the error mode isn't strictly necessary, <strong>but it is advised to add it</strong>. This way the script will not stop with a <code>Fatal Error</code> when something goes wrong. And it gives the developer the chance to <code>catch</code> any error(s) which are <code>throw</code>n as <code>PDOException</code>s.</p>

<p>What is <strong>mandatory</strong>, however, is the first <code>setAttribute()</code> line, which tells PDO to disable emulated prepared statements and use <em>real</em> prepared statements. This makes sure the statement and the values aren't parsed by PHP before sending it to the MySQL server (giving a possible attacker no chance to inject malicious SQL).</p>

<p>Although you can set the <code>charset</code> in the options of the constructor, it's important to note that 'older' versions of PHP (&lt; 5.3.6) <a href=""http://php.net/manual/en/ref.pdo-mysql.connection.php"" rel=""noreferrer"">silently ignored the charset parameter</a> in the DSN.</p>

<h2>Explanation</h2>

<p>What happens is that the SQL statement you pass to <code>prepare</code> is parsed and compiled by the database server. By specifying parameters (either a <code>?</code> or a named parameter like <code>:name</code> in the example above) you tell the database engine where you want to filter on. Then when you call <code>execute</code>, the prepared statement is combined with the parameter values you specify. </p>

<p>The important thing here is that the parameter values are combined with the compiled statement, not an SQL string. SQL injection works by tricking the script into including malicious strings when it creates SQL to send to the database. So by sending the actual SQL separately from the parameters, you limit the risk of ending up with something you didn't intend. Any parameters you send when using a prepared statement will just be treated as strings (although the database engine may do some optimization so parameters may end up as numbers too, of course). In the example above, if the <code>$name</code> variable contains <code>'Sarah'; DELETE FROM employees</code> the result would simply be a search for the string <code>""'Sarah'; DELETE FROM employees""</code>, and you will not end up with <a href=""http://xkcd.com/327/"" rel=""noreferrer"">an empty table</a>.</p>

<p>Another benefit of using prepared statements is that if you execute the same statement many times in the same session it will only be parsed and compiled once, giving you some speed gains.</p>

<p>Oh, and since you asked about how to do it for an insert, here's an example (using PDO):</p>

<pre class=""lang-php prettyprint-override""><code>$preparedStatement = $db-&gt;prepare('INSERT INTO table (column) VALUES (:column)');

$preparedStatement-&gt;execute(array('column' =&gt; $unsafeValue));
</code></pre>

<h2>Can prepared statements be used for dynamic queries?</h2>

<p>While you can still use prepared statements for the query parameters, the structure of the dynamic query itself cannot be parametrized and certain query features cannot be parametrized.</p>

<p>For these specific scenarios, the best thing to do is use a whitelist filter that restricts the possible values.</p>

<pre><code>// Value whitelist
// $dir can only be 'DESC' otherwise it will be 'ASC'
if (empty($dir) || $dir !== 'DESC') {
   $dir = 'ASC';
}
</code></pre>
","60496"
"How do I get a YouTube video thumbnail from the YouTube API?","1273051","","<p>If I have a YouTube video URL, is there any way to use PHP and cURL to get the associated thumbnail from the YouTube API?</p>
","<p>Each YouTube video has 4 generated images. They are predictably formatted as follows:</p>

<pre><code>https://img.youtube.com/vi/&lt;insert-youtube-video-id-here&gt;/0.jpg
https://img.youtube.com/vi/&lt;insert-youtube-video-id-here&gt;/1.jpg
https://img.youtube.com/vi/&lt;insert-youtube-video-id-here&gt;/2.jpg
https://img.youtube.com/vi/&lt;insert-youtube-video-id-here&gt;/3.jpg
</code></pre>

<p>The first one in the list is a full size image and others are thumbnail images. The default thumbnail image (ie. one of <code>1.jpg</code>, <code>2.jpg</code>, <code>3.jpg</code>) is:</p>

<pre><code>https://img.youtube.com/vi/&lt;insert-youtube-video-id-here&gt;/default.jpg
</code></pre>

<p>For the high quality version of the thumbnail use a url similar to this:</p>

<pre><code>https://img.youtube.com/vi/&lt;insert-youtube-video-id-here&gt;/hqdefault.jpg
</code></pre>

<p>There is also a medium quality version of the thumbnail, using a url similar to the HQ:</p>

<pre><code>https://img.youtube.com/vi/&lt;insert-youtube-video-id-here&gt;/mqdefault.jpg
</code></pre>

<p>For the standard definition version of the thumbnail, use a url similar to this:</p>

<pre><code>https://img.youtube.com/vi/&lt;insert-youtube-video-id-here&gt;/sddefault.jpg
</code></pre>

<p>For the maximum resolution version of the thumbnail use a url similar to this:</p>

<pre><code>https://img.youtube.com/vi/&lt;insert-youtube-video-id-here&gt;/maxresdefault.jpg
</code></pre>

<p>All of the above urls are available over http too. Additionally, the slightly shorter hostname <code>i3.ytimg.com</code> works in place of <code>img.youtube.com</code> in the example urls above.</p>

<p>Alternatively, you can use the <a href=""https://developers.google.com/youtube/v3/"" rel=""noreferrer"">YouTube Data API (v3)</a> to get thumbnail images.</p>
","2068371"
"ToString() equivalent in PHP","1252072","","<p>How do I convert the value of a PHP variable to string?</p>

<p>I was looking for something better than concatenating with an empty string:</p>

<pre><code>$myText = $myVar . '';
</code></pre>

<p>Like the <code>ToString()</code> method in Java or .NET.</p>
","<p>You can use the <a href=""http://us3.php.net/manual/en/language.types.type-juggling.php"" rel=""noreferrer"">casting operators</a>:</p>

<pre><code>$myText = (string)$myVar;
</code></pre>

<p>There are more details for string casting and conversion in the <a href=""http://us3.php.net/manual/en/language.types.string.php#language.types.string.casting"" rel=""noreferrer"">Strings section</a> of the PHP manual, including special handling for booleans and nulls.</p>
","28111"
"PHP: ""Notice: Undefined variable"", ""Notice: Undefined index"", and ""Notice: Undefined offset""","1233948","","<p>I am running a PHP script, and keep getting errors like:</p>

<blockquote>
  <p>Notice: Undefined variable: my_variable_name in C:\wamp\www\mypath\index.php on line 10</p>
  
  <p>Notice: Undefined index: my_index C:\wamp\www\mypath\index.php on line 11</p>
</blockquote>

<p>Line 10 and 11 looks like this:</p>

<pre><code>echo ""My variable value is: "" . $my_variable_name;
echo ""My index value is: "" . $my_array[""my_index""];
</code></pre>

<p>What do these errors mean?</p>

<p>Why do they appear all of a sudden? I used to use this script for years and I've never had any problem.</p>

<p>What do I need to do to fix them? </p>

<blockquote>
  <p><strong>This is a General Reference question</strong> for people to link to as duplicate, instead of having to explain the issue over and over again. I feel this is necessary because most  real-world answers on this issue are very specific. </p>
  
  <p>Related Meta discussion:</p>
  
  <ul>
  <li><a href=""https://meta.stackexchange.com/questions/62258/what-can-be-done-about-repetitive-questions"">What can be done about repetitive questions?</a></li>
  <li><a href=""https://meta.stackexchange.com/questions/63762/do-reference-questions-make-sense"">Do “reference questions” make sense?</a></li>
  </ul>
</blockquote>
","<h1>Notice: Undefined variable</h1>

<p>From the vast wisdom of the <a href=""http://php.net/manual/en/language.variables.basics.php#example-112"" rel=""noreferrer"">PHP Manual</a>:</p>

<blockquote>
  <p>Relying on the default value of an uninitialized variable is problematic in the case of including one file into another which uses the same variable name. It is also a major <a href=""http://www.php.net/manual/en/security.globals.php"" rel=""noreferrer"">security risk</a> with <a href=""http://www.php.net/manual/en/ini.core.php#ini.register-globals"" rel=""noreferrer"">register_globals</a> turned on. <a href=""http://www.php.net/manual/en/errorfunc.constants.php#errorfunc.constants.errorlevels.e-notice"" rel=""noreferrer"">E_NOTICE</a> level error is issued in case of working with uninitialized variables, however not in the case of appending elements to the uninitialized array. <a href=""http://www.php.net/manual/en/function.isset.php"" rel=""noreferrer"">isset()</a> language construct can be used to detect if a variable has been already initialized. Additionally and more ideal is the solution of <a href=""http://php.net/manual/en/function.empty.php"" rel=""noreferrer"">empty()</a> since it does not generate a warning or error message if the variable is not initialized. </p>
</blockquote>

<p>From <a href=""http://php.net/manual/en/function.empty.php"" rel=""noreferrer"">PHP documentation</a>:</p>

<blockquote>
  <p>No warning is generated if the variable does not exist. That means
     <strong>empty()</strong> is essentially the concise equivalent to <strong>!isset($var) || $var
     == false</strong>.</p>
</blockquote>

<p>This means that you could use only <code>empty()</code> to determine if the variable is set, and in addition it checks the variable against the following, <code>0,"""",null</code>.</p>

<p>Example:</p>

<p>

<pre><code>$o = [];
@$var = ["""",0,null,1,2,3,$foo,$o['myIndex']];
array_walk($var, function($v) {
    echo (!isset($v) || $v == false) ? 'true ' : 'false';
    echo ' ' . (empty($v) ? 'true' : 'false');
    echo ""\n"";
});
</code></pre>

<p>Test the above snippet in the <a href=""https://3v4l.org/5Wvgj"" rel=""noreferrer"">3v4l.org online PHP editor</a></p>

<p>Although PHP does not require a variable declaration, it does recommend it in order to avoid some security vulnerabilities or bugs where one would forget to give a value to a variable that will be used later in the script. What PHP does in the case of undeclared variables is issue a very low level error, <code>E_NOTICE</code>, one that is not even reported by default, but the Manual <a href=""http://www.php.net/manual/en/errorfunc.configuration.php#ini.error-reporting"" rel=""noreferrer"">advises to allow</a> during development.</p>

<p>Ways to deal with the issue:</p>

<ol>
<li><p><strong>Recommended:</strong> Declare your variables, for example when you try to append a string to an undefined variable. Or use <a href=""http://www.php.net/manual/en/function.isset.php"" rel=""noreferrer""><code>isset()</code></a> / <a href=""http://php.net/manual/en/function.empty.php"" rel=""noreferrer""><code>!empty()</code></a>  to check if they are declared before referencing them, as in:</p>

<pre><code>//Initializing variable
$value = """"; //Initialization value; Examples
             //"""" When you want to append stuff later
             //0  When you want to add numbers later
//isset()
$value = isset($_POST['value']) ? $_POST['value'] : '';
//empty()
$value = !empty($_POST['value']) ? $_POST['value'] : '';
</code></pre>

<p>This has become much cleaner as of PHP 7.0, now you can use the <a href=""https://wiki.php.net/rfc/isset_ternary"" rel=""noreferrer"">null coalesce operator</a>:</p>

<pre><code>// Null coalesce operator - No need to explicitly initialize the variable.
$value = $_POST['value'] ?? '';
</code></pre></li>
<li><p>Set a <a href=""http://www.php.net/manual/en/function.set-error-handler.php"" rel=""noreferrer"">custom error handler</a> for E_NOTICE and redirect the messages away from the standard output (maybe to a log file):  </p>

<pre><code>set_error_handler('myHandlerForMinorErrors', E_NOTICE | E_STRICT)
</code></pre></li>
<li><p>Disable E_NOTICE from reporting. A quick way to exclude just <code>E_NOTICE</code> is:</p>

<pre><code>error_reporting( error_reporting() &amp; ~E_NOTICE )
</code></pre></li>
<li><p>Suppress the error with the <a href=""http://php.net/manual/en/language.operators.errorcontrol.php"" rel=""noreferrer"">@ operator</a>.</p></li>
</ol>

<p><strong>Note:</strong> It's strongly recommended to implement just point 1.</p>

<h1>Notice: Undefined index / Undefined offset</h1>

<p>This notice appears when you (or PHP) try to access an undefined index of an array.</p>

<p>Ways to deal with the issue:</p>

<ol>
<li><p>Check if the index exists before you access it. For this you can use <a href=""http://php.net/manual/en/function.isset.php"" rel=""noreferrer""><code>isset()</code></a> or <a href=""http://php.net/manual/en/function.array-key-exists.php"" rel=""noreferrer""><code>array_key_exists()</code></a>:</p>

<pre><code>//isset()
$value = isset($array['my_index']) ? $array['my_index'] : '';
//array_key_exists()
$value = array_key_exists('my_index', $array) ? $array['my_index'] : '';
</code></pre></li>
<li><p>The language construct <a href=""http://php.net/manual/en/function.list.php"" rel=""noreferrer""><code>list()</code></a> may generate this when it attempts to access an array index that does not exist:</p>

<pre><code>list($a, $b) = array(0 =&gt; 'a');
//or
list($one, $two) = explode(',', 'test string');
</code></pre></li>
</ol>

<p>Two variables are used to access two array elements, however there is only one array element, index <code>0</code>, so this will generate:</p>

<blockquote>
  <p>Notice: Undefined offset: 1</p>
</blockquote>

<h1><code>$_POST</code> / <code>$_GET</code> / <code>$_SESSION</code> variable</h1>

<p>The notices above appear often when working with <code>$_POST</code>, <code>$_GET</code> or <code>$_SESSION</code>. For <code>$_POST</code> and <code>$_GET</code> you just have to check if the index exists or not before you use them. For <code>$_SESSION</code> you have to make sure you have the session started with <a href=""http://php.net/manual/en/function.session-start.php"" rel=""noreferrer""><code>session_start()</code></a> and that the index also exists.</p>

<p>Also note that all 3 variables are <a href=""http://php.net/manual/en/language.variables.superglobals.php"" rel=""noreferrer"">superglobals</a>. This means they need to be written in uppercase.</p>

<p>Related:</p>

<ul>
<li><a href=""https://stackoverflow.com/questions/12769982/reference-what-does-this-error-mean-in-php/12778634#12778634"">Notice: Undefined variable</a></li>
<li><a href=""https://stackoverflow.com/questions/12769982/reference-what-does-this-error-mean-in-php/12770836#12770836"">Notice: Undefined Index</a> </li>
</ul>
","4261200"
"Convert date format yyyy-mm-dd => dd-mm-yyyy","1177230","","<p>I am trying to convert a date from yyyy-mm-dd to dd-mm-yyyy (but not in SQL); however I don't know how the date function requires a timestamp, and I can't get a timestamp from this string.</p>

<p>How is this possible?</p>
","<p>Use <code>strtotime()</code> and <code>date()</code>:</p>

<pre><code>$originalDate = ""2010-03-21"";
$newDate = date(""d-m-Y"", strtotime($originalDate));
</code></pre>

<p>(see <a href=""http://php.net/strtotime"" rel=""noreferrer"">strtotime</a> and <a href=""http://php.net/date"" rel=""noreferrer"">date</a> docs on the PHP site).</p>

<p><strong>Edit</strong>: Note that this was a quick solution to the original question. For more extensive conversions, you should really be using the <a href=""http://php.net/manual/en/class.datetime.php"" rel=""noreferrer""><code>DateTime</code></a> class to parse &amp; format :-)</p>
","2487938"
