title,viewcount,title,body,body,acceptedanswerid
"How can I crop a video with ffmpeg?","137952","","<p>I have an MP4 file of a screen recording that I need to crop down. How can I accomplish this without using expensive tools like Adobe Premier or Final Cut? I prefer <code>ffmpeg</code> because I have used it before.</p>
","<p>Use the <a href=""https://ffmpeg.org/ffmpeg-filters.html#crop""><code>crop</code> filter</a>:</p>

<pre><code>ffmpeg -i in.mp4 -filter:v ""crop=out_w:out_h:x:y"" out.mp4
</code></pre>

<p>Where the options are as follows:</p>

<ul>
<li><code>out_w</code> is the width of the output rectangle</li>
<li><code>out_h</code> is the height of the output rectangle</li>
<li><code>x</code> and <code>y</code> specify the top left corner of the output rectangle</li>
</ul>

<h2>Original image</h2>

<p><img src=""https://i.stack.imgur.com/LAW6C.png"" alt=""original image""><br>
<sub>Original 320x240 image</sub></p>

<h2>Example 1</h2>

<p><img src=""https://i.stack.imgur.com/vqW5O.png"" alt=""80x60""></p>

<p>To crop a 80&times;60 section, starting from position (200, 100):</p>

<pre><code>ffmpeg -i in.mp4 -filter:v ""crop=80:60:200:100"" -c:a copy out.mp4
</code></pre>

<ul>
<li>The audio is <a href=""http://ffmpeg.org/ffmpeg.html#Stream-copy"">stream copied</a> in this example, so re-encoding is avoided.</li>
</ul>

<h2>Example 2</h2>

<p><img src=""https://i.stack.imgur.com/IwvRw.png"" alt=""bottom right quarter""></p>

<p>To crop the bottom right quarter:</p>

<pre><code>ffmpeg -i in.mp4 -filter:v ""crop=in_w/2:in_h/2:in_w/2:in_h/2"" -c:a copy out.mp4
</code></pre>

<p>This is the same as:</p>

<pre><code>ffmpeg -i in.mp4 -filter:v ""crop=320/2:240/2:320/2:240/2"" -c:a copy out.mp4
</code></pre>

<p>Which is the same as:</p>

<pre><code>ffmpeg -i in.mp4 -filter:v ""crop=240:120:240:120"" -c:a copy out.mp4
</code></pre>

<ul>
<li>You can refer to the input image size with <code>in_w</code> and <code>in_h</code> as shown in this first example. The output width and height can also be used with <code>out_w</code> and <code>out_h</code>.</li>
</ul>

<h2>Example 3</h2>

<p><img src=""https://i.stack.imgur.com/l1ILH.png"" alt=""20 pixels from the top, and 20 from the bottom""></p>

<p>Crop 20 pixels from the top, and 20 from the bottom:</p>

<pre><code> ffmpeg -i in.mp4 -filter:v ""crop=in_w:in_h-40"" -c:a copy out.mp4
</code></pre>

<ul>
<li>The filter will automatically center the crop if <code>x</code> and <code>y</code> are omitted such as in this example.</li>
</ul>

<h2>Previewing</h2>

<p>You can take a crop (heh heh) and preview it live with <code>ffplay</code>:</p>

<pre><code>ffplay -i input -vf ""crop=in_w:in_h-40""
</code></pre>

<p>This way you can experiment and adjust your cropping without the need to encode, view, repeat.</p>

<h2>Notes</h2>

<ul>
<li><p><a href=""http://ffmpeg.org/ffmpeg-filters.html#crop""><code>crop</code> filter documentation</a></p></li>
<li><p>Default encoder for MP4 is <code>libx264</code> (H.264 video) or <code>mpeg4</code> (MPEG-4 Part 2 video) depending on your <code>ffmpeg</code> build. See <a href=""https://trac.ffmpeg.org/wiki/Encode/H.264"">FFmpeg Wiki: H.264 Video Encoding Guide</a> for more info.</p></li>
<li><p>Instead of cropping and re-encoding, consider cropping upon playback. This is possible with any player worth using.</p></li>
<li><p>Ancient <code>ffmpeg</code> builds used <code>-croptop</code>, <code>-cropbottom</code>, <code>-cropleft</code>, <code>-cropright</code> options instead of the <code>crop</code> filter. If this is the case for you then <a href=""http://ffmpeg.org/download.html"">get a modern <code>ffmpeg</code></a>. Development is very active and there is no reason to use an antique.</p></li>
</ul>
","4571"
"How to Create a High Quality, Small File Size .mp4 from .mov","101193","","<p>Recently, I helped a friend produce a short zombie comedy. </p>

<p>He has now asked me to add it to the film's website as a digital download. I'm not having issues with the digital download. My issue is how to create a high-quality file (preferably .mp4) with a small file size.</p>

<p>I currently have a copy of the film in .mov (created in Final Cut). The .mov file is 3.2GB. The film is 29:52 in running time.</p>

<p>From other experiences, I know a 30 minute high quality .mp4 can be 185mb - 250mb. The problem, I can't seem to find any legit tutorials to create a high quality .mp4 file with this type of compression. The closest I have been able to get is 385mb (I believe that was with VLC, but I last converted the file a few months ago, so I'm not positive)</p>

<p>I am on a Windows 7 machine.</p>

<p>I have a wide variety of software at my disposal and would likely be able to purchase software, if needed.</p>
","<p>A really good program you can use is <a href=""http://handbrake.fr/"">Handbrake</a>. It's a very popular program among so called ""pirates"" because it's really good at getting a high quality even at tiny file sizes. And this is with good reason, because the main purpose of Handbrake is, indeed, to make the movies small with high quality. Personally I use it when I distribute my short movies on the internet, and it works like a charm. But enough talking, let's get to the settings!</p>

<p>Let's start with the beginning and go through the important settings.
On the right you have a presets panel. Choose Regular -> Normal or Regular -> High Profile.</p>

<p>Now, we start with the Picture settings.
The anamorphic setting is about the aspect ratio. So you've probably heard about the fact that in video, pixels aren't always square. So if you have widescreen footage, if you compress that to be much thinner, like an OLD SD TV, you could tell the video player to make each pixel wider than it actually is. So, you started have a 500 wide picture, you compressed it to 300, then you tell the player to make those 300 as wide as 500 again.</p>

<p>This is just a basic idea about what it is. You can just leave it at Loose with Modulus at 16. But if you want to learn more and squeeze the absolute maximum out of the file, read about it <a href=""https://trac.handbrake.fr/wiki/AnamorphicGuide"">here</a>.</p>

<p>Leave the cropping at Automatic, unless you want to crop.</p>

<p>Then we go over to the Video Filters. You can turn all of these off. They are made to correct bad footage, which you've probably already done in your video composing software..</p>

<p>Now, Video. These are the crucial settings. Use H.264. This is the format that gives you the highest quality compared to file size today. Quality. This is THE setting if you only want to set ONE. Set it to Avg Bitrate. This is the best one because if you have a lot of blacks in the picture (at night), you can optimize for that and get even smaller file sizes, but at other points in the movie you'll need more space, and so average is the best here. Notice that the size is in kbps which means kilo-bits-per-second. One kilo is 1000 (not 1024, that's kibibit.). One bit is 1/8 of a byte. So if you want a 10 second movie that's 1 MB, you want to enter 1 MB = (1024 * 1kB * 8bits) / 10s = 820 kbps. </p>

<p>Remember that the audio will also add up in addition to this. You just have to test some values until you get an acceptable quality that's small enough for you. If you enable 2-pass encoding, it will evaluate the movie twice, which means smaller file sizes compared to the quality, but it also means that you need more CPU (computer power) to watch it. So turn it on if you want to watch it on computers, leave it off if you want to watch it on mobile phones/tablets.</p>

<p>As for the audio, you just set it to what the output of your original file is. The sample rate of most movies is 48 kHz, but if you recorded in 44.1 kHz, set it to 44.1 kHz... As for the bit rate, 160 is acceptable, but if you have high quality mics and music, set it to 192. You can go higher than this, but as you want small file sizes, there is no need. You could also go lower depending on what size you want to end up with. But do a Preview and listen to the result until you are happy with it.</p>

<p>Then, the last thing you need to do is to tick off ""Large file size"". You need to have this on if the file is going to be larger than 4GB, but it will break compability with a lot of devices if you leave it on. Then you turn on ""Web Optimized"". It will make your movie better suited for progressive download so you can shuffle in the movie without downloading it all. But if you are planning for your users to download the whole movie as .mp4 and watch it on the computer, leave it off.</p>

<p>Now, set a file name and click Start. You can also Preview a small clip when you're testing the bitrate setting. Make sure that the extension is .mp4 and not .m4v. This isn't important, but you asked for .mp4, not .m4v. It's just the extension that is the difference anyway..</p>

<p>Hope you get your video squeezed down in size and yet keep the quality as high as possible! Good luck :)</p>
","7345"
"Repeat/loop Input Video with ffmpeg?","60233","","<p>I just want to loop a mp4 video with ffmpeg and keep the current settings and codec.</p>

<p>For example if input.mp4 is 0:10 long, and I would want to loop it 4 times so output.mp4 is 0:40 long, how could I change the following command line to do that?</p>

<pre><code>ffmpeg -i input.mp4 -c copy output.mp4
</code></pre>

<p>I tried...</p>

<pre><code>ffmpeg -loop 4 -i input.mp4 -c copy output.mp4
</code></pre>

<p>...but I get the error ""Option loop not found.""</p>
","<h1>Concat demuxer</h1>

<p>This allows you to loop an input without needing to re-encode.</p>

<ol>
<li><p>Make a text file. Contents of an example text file to repeat 4 times.</p>

<pre><code>file 'input.mp4'
file 'input.mp4'
file 'input.mp4'
file 'input.mp4'
</code></pre></li>
<li><p>Then run <code>ffmpeg</code>:</p>

<pre><code>ffmpeg -f concat -i list.txt -c copy output.mp4
</code></pre></li>
</ol>

<h3>For Linux users</h3>

<p>This example is the same as above but you don't have to manually make <code>list.txt</code>:</p>

<pre><code>for i in {1..4}; do printf ""file '%s'\n"" input.mp4 &gt;&gt; list.txt; done
ffmpeg -f concat -i list.txt -c copy output.mp4
</code></pre>

<p>With most commonly-used modern shells, you can even avoid the creation of the <code>list.txt</code> file entirely. For example, with bash:</p>

<pre><code>ffmpeg -f concat -i &lt;(for i in {1..4}; do printf ""file '%s'\n"" input.mp4; done) -c copy output.mp4
</code></pre>

<p>Also see:</p>

<ul>
<li><a href=""https://ffmpeg.org/ffmpeg-formats.html#concat"" rel=""nofollow noreferrer"">FFmpeg concat demuxer documentation</a></li>
<li><a href=""https://trac.ffmpeg.org/wiki/Concatenate"" rel=""nofollow noreferrer"">FFmpeg Wiki: Concatenate</a></li>
</ul>

<hr>

<h1>loop filter</h1>

<p>Example using the <a href=""https://ffmpeg.org/ffmpeg-filters.html#loop"" rel=""nofollow noreferrer"">loop filter</a> to loop 4 times, each loop is 75 frames, each loop skips the first 25 frames of the input:</p>

<pre><code>ffmpeg -i input -filter_complex loop=3:75:25 output
</code></pre>

<ul>
<li>Filtering requires re-encoding.</li>
<li>This filter <a href=""https://video.stackexchange.com/a/18386/1760"">places all frames into memory</a>.</li>
<li>Using <code>loop=3</code> will loop 4 times.</li>
<li>To loop infinitely use <code>-1</code>.</li>
<li>You must list the number of frames to loop (shown as 75 in the example above). Max value is 32767.</li>
<li>Also see <code>ffmpeg -h filter=loop</code>.</li>
</ul>

<hr>

<h1>movie filter</h1>

<p>The <a href=""https://ffmpeg.org/ffmpeg-filters.html#movie"" rel=""nofollow noreferrer"">movie filter</a> has a loop option. See <a href=""https://video.stackexchange.com/a/16933/1760"">answer</a> below by Monah Tuk. Filtering requires re-encoding. For audio use the amovie filter.</p>

<hr>

<h1><code>-stream_loop</code> option</h1>

<p>See <a href=""https://video.stackexchange.com/a/17389/1760"">answer</a> below by Thingy and <a href=""https://video.stackexchange.com/a/18379/1760"">answer</a> by Mulvya. Note that this option is buggy (see bug reports <a href=""https://trac.ffmpeg.org/ticket/6121"" rel=""nofollow noreferrer"">#6121</a> and <a href=""https://trac.ffmpeg.org/ticket/6121"" rel=""nofollow noreferrer"">#5719</a>) and may not work for you. As mentioned by mulvya in ticket #6121 one workaround is to first re-mux to MKV or TS then use <code>-stream_loop</code> in the next command.</p>

<hr>

<h1><code>-loop</code> option</h1>

<p>The <code>-loop</code> option is specific to the <a href=""https://ffmpeg.org/ffmpeg-formats.html#image2-1"" rel=""nofollow noreferrer"">image file demuxer</a> and <a href=""https://ffmpeg.org/ffmpeg-formats.html#gif-2"" rel=""nofollow noreferrer"">gif muxer</a>, so it can't be used for typical video files, but it can be used to infinitely loop a series of input images. This example will loop over and over but the <code>-t 30</code> will limit the output duration to 30 seconds:</p>

<pre><code>ffmpeg -loop 1 -i %03d.png -t 30 output.mkv
</code></pre>

<p>Or to loop a GIF output:</p>

<pre><code>ffmpeg -i input -loop 3 output.gif
</code></pre>
","12906"
"How do I 'downgrade' an Adobe Premiere Pro project file to open in older versions?","52849","","<p>Is there any way at all (perhaps with a plugin, paid or otherwise) to save an Adobe Premiere Pro project file so that it's compatible with an older version of the software? The scenario I have is that I use Adobe Premiere Pro CS5.5 but I need to send project files for editing to someone who only has CS3.</p>
","<p>I dont know of any software for Premiere that can do this (there are plugins for After Effects but cant find any for Premiere - thats not to say they arent out there). </p>

<p>I think your best option would be to <strong><a href=""http://help.adobe.com/en_US/premierepro/cs/using/WScbecf3f614eb38be7a1f773012504357269-8000.html"">export your sequence as an XML</a></strong>. You will loose any CS5.5 features there are not in CS3, but this would occur regardless of which method you use to get the project into CS3.</p>

<blockquote>
  <ol>
  <li>Choose File > Export > Final Cut Pro XML.</li>
  <li>In the Save Converted Project As dialog box, browse to a location for the XML file, and type a file name. </li>
  <li>Click Save.</li>
  </ol>
</blockquote>

<hr>
","3813"
"How do I change frame size, preserving width (using ffmpeg)?","49798","","<p>I'm new to this StackExchange site, and to using the FFmpeg encoder. I have a video that is 720x480 (3:2) that I would like to change to 720x406 (16:9) to match the other videos I have for a site. I have tried various command combinations, including:</p>

<pre><code>ffmpeg -i myfile.mv4 -s 720x406 outfile.mp4
ffmpeg -i myfile.m4v -c copy -aspect 16:9 outfile.mp4
</code></pre>

<p>What I end up with is a video that scaled down to the specified height, but didn't preserve the width.  It ends up at 608x406 or thereabouts. I've been playing with various GUI versions of FFmpeg today, and they seem to do the same thing.</p>

<p>What would be the proper options/parameters to pass in (assuming I'll have more control via the command line) to achieve the desired frame size?</p>
","<p>using the scale filter will do it, but there is a bit more to it.</p>

<pre><code>ffmpeg -i input.mov -vf scale=720x406 output.mov 
</code></pre>

<p>will create a movie with the required pixel dimensions, but if you look at the output you'll find that it adds information into the metadata so that it will play back at the same aspect ratio as the original, by using non-square pixels. So if you want to stretch the movie anamorphically to a new aspect ratio you need to manually set the pixel aspect ratio, called the SAR for ""Sample Aspect Ratio"", thus for square pixels use:</p>

<pre><code>ffmpeg -i input.mov -vf scale=720x406,setsar=1:1 output.mov
</code></pre>

<p>Alternatively you can set the display aspect ratio to whatever you want, thus:</p>

<pre><code>ffmpeg -i input.mov -vf scale=720x406,setdar=16:9 output.mov
</code></pre>

<p>What I'm doing with the -vf command and the x=y,z=a expressions that follow is creating a chain of <a href=""http://ffmpeg.org/ffmpeg-filters.html"">filters</a>. Filters can be quite complex, but in the most simple usage they take the form <code>effect=parameter,nexteffect=anotherparameter</code>, and they get processed in the order you write them.</p>

<p>You may want to put additional commands for the codec and so on, eg <code>-c:v libx264</code> to use the x264 mp4 encoder, and something like <code>-crf 20</code> to set the constant rate factor to 20 (usually a pretty good compromise between size and quality). So, a reasonably complete command would look like:</p>

<pre><code>ffmpeg -i input.mov -vf scale=720x406,setdar=16:9 -c:v libx264 -preset slow -profile:v main -crf 20 output.mov
</code></pre>

<p>Main profile is good for device compatibility, the <code>slow</code> preset for the libx264 encoder is a pretty good balance of speed and quality, so this is a good general web-encoding workhorse. You can make it faster by using <code>fast</code> or <code>veryfast</code> or slower with <code>veryslow</code> and <code>placebo</code> will make it ever so slightly better than <code>veryslow</code> at the expense of a lot more processing time (hence the name).</p>

<p>BTW <strong>Don't use -c copy</strong>, that means just copy the video and audio streams without doing anything to them <strong>at all</strong>, so nothing you do in terms of scale, codec, bitrate etc will have any effect.</p>
","9967"
"How can I crop a section of the video screen in Premiere Pro?","47782","","<p>Hi I've taken a 1080p screen recording on my desktop but only want a specific crop of the actual recorded screen in the final video. How can I do this in Premiere Pro CS4?</p>
","<p>You want to use an effect that's called a 4 point garbage matte.  It allows you to set 4 points which create a box and everything outside it is removed.
Here is a link to a tutorial on how to use the effect 4 point garbage matte.
<div class=""youtube-embed""><div>
                <iframe width=""640px"" height=""395px"" src=""https://www.youtube.com/embed/Y2FI_d1WVDc?start=0""></iframe>
            </div></div></p>
","4229"
"Adobe Premiere Pro CC - Crop a video and export at the exact cropped size","44433","","<p>I have a video that has 4 up-down-left-right black borders of different sizes.  </p>

<p>I want to get rid of these black borders so the exported file has the exact size of the cropped area.</p>

<p>To do this, I used the ""crop"" effect (I would have preferred a tool that allows me to set the crop dimensions in pixels, but I guess that's not supported). But then I had a problem when exporting the video:</p>

<p>I'd like to be able to keep a hand on the parameters of the exported video, and ensure that the video will have the exact resolution of the cropped area. But I could not accomplish this.</p>

<p>Can someone tell me how to do this?</p>

<p><strong>EDIT:</strong><br>
My source video is 1002 x 720 (so it's in landscape mode)
It contains a 316 x 562 portion I want to extract  (so, portrait mode)<br>
The minimum I want is to be able to obtain a 316 x 562 video containing just the cropped section. The best I could obtain is a 632 x 1124 (or any other proportional scale) video on output.</p>
","<p>I would probably approach it by first measuring the size of the area that you want to crop to.  This can be done by exporting a frame of the image and cropping in another program (like Photoshop).  </p>

<p>I would then create a sequence based on the other settings of the video, but alter the resolution of the sequence to be that of the portion of the video you want.  </p>

<p>After that, you should be able to bring in the video to the sequence.  By default, it will be come in at 100% of it's size.  It may not be perfectly centered in your frame though, so use the Motion settings under the effects control to position the actual video portion in the center of the frame.</p>

<p>You should then simply be able to export and the outside potions will be cropped off without any scaling.</p>

<p>This may seem a bit complicated, but it is the simplest way to do it since the default behavior is to fit the sequence to the size of the original clip and cropping doesn't do anything to change the sequence size.  That's why we have to start with the correct sequence size and when we have that, no crop effect is needed as only the content we want fits in the sequence.</p>
","10472"
"How to encode a video at 30 FPS from images taken at 7 FPS","37499","","<p>I have no knowledge whatsoever about video encoding, I have an application written in OpenGL and I am saving the frames it generated into <code>png</code> images. The frames from my app are at 7 FPS and I am trying to create a video from those.</p>

<p>To that purpose I use ffmpeg like this</p>

<p><code>ffmpeg -framerate 30 -i img%03d.png -c:v libx264 -r 30 -pix_fmt yuv420p out.mp4</code></p>

<p>which was taken <a href=""https://trac.ffmpeg.org/wiki/Create%20a%20video%20slideshow%20from%20images"">from this site</a>, however I was wondering if it is possible to have a video that shows the animation at 30 FPS?</p>
","<p>I'm using the below code to do the same thing.</p>

<pre><code>ffmpeg -framerate 30 -i img%03d.png -c:v libx264 -pix_fmt yuv420p -crf 23 output.mp4
</code></pre>

<p>This reads the input at 30 fps (the <code>-framerate 30</code> option) and encodes it using the <code>libx264</code> codec with <a href=""https://trac.ffmpeg.org/wiki/Encode/H.264#crf"">constant rate factor</a> of 23 (the <code>-crf 23</code> option).</p>
","13069"
"Add an image overlay in front of video using ffmpeg","37116","","<p>I have many videos and I need to put an image in front of them for about 5 seconds, but adding it manually and rendering it each time would take really long, so I am asking if it is possible to do so via ffmpeg and if you could, please, help me out with it since I have no experience with ffmpeg. I've found some commands already but none of them worked.
This one for example.</p>

<pre><code>ffmpeg -itsoffset 5 -i in.mp4 -r 25 -loop 1 -i intro.png -filter_complex ""[1:v] fade=out:125:25:alpha=1 [intro]; [0:v][intro] overlay [v]"" -map ""[v]"" -map 0:a -acodec copy out.mp4
</code></pre>
","<p>You can do a simple image overlay using the following syntax:</p>

<pre><code>ffmpeg -i input.mp4 -i image.png \
-filter_complex ""[0:v][1:v] overlay=25:25:enable='between(t,0,20)'"" \
-pix_fmt yuv420p -c:a copy \
output.mp4
</code></pre>

<p><code>overlay=25:25</code> means we want to position the image 25px to the right and 25px down, originating from the top left corner (0:0).</p>

<p><code>enable='between(t,0,20)'</code> means we want the image to show between second 0 and 20.</p>

<p><code>[0:v][1:v]</code> means that we want the first video file we import with <code>-i</code>, in our case input.mp4 or how ffmpeg sees it video input file number 0, to be under video input file 1, in our case image.png. <code>:v</code> just means we want video 0 and video 1. <code>[0:a]</code> would mean we want the first imported audio track. Which would also come from input.mp4 but would point to the audio track instead of the video track in the mp4 file.</p>

<p>If you want a certain image quality/settings and not the settings ffmpeg chooses, add the image and or audio encoding options you want to use. The default video encoder will be x264. Check the <a href=""https://trac.ffmpeg.org/wiki/Encode/H.264"" rel=""nofollow noreferrer"">H.264 encoding guide</a> for possible settings.</p>

<p>The <code>-acodec copy</code> / <code>-c:a copy</code> that you have in your command f.e. would simply re-use the audio from the source file. Though you can't do that with the video of course (in this case), that has to be transcoded because we are creating a new video source.</p>

<p>If you want to transcode audio, remove the <code>-c:a copy</code> part. You may have to explicitly specify an encoder, e.g. <code>-c:a aac -strict experimental</code>. See the <a href=""https://trac.ffmpeg.org/wiki/Encode/AAC"" rel=""nofollow noreferrer"">AAC encoding guide</a> for more info.</p>
","12111"
"Can I use the videos marked as ""youtube standard license"" for a non profit video?","36209","","<p>I'm creating a video for my institution.</p>

<p>It's a scientific institution, so I suppose that the video can be considered no-profit (we don't make it to sell our products but to show our scientific project).</p>

<p>I already searched around for explanations about the youtube standard license, but it seems there is not much clear information on that: only vague posts ( <a href=""http://productforums.google.com/forum/#!topic/youtube/N7LaB524fkA"" rel=""noreferrer"">google groups</a> or <a href=""http://answers.yahoo.com/question/index?qid=20110725170611AANFmJo"" rel=""noreferrer"">yahoo answers</a> ) in which there is not a clear reference to the term of use (which I'm not able to read as I'm not a lawyer), while there is much documentation on the <a href=""http://creativecommons.org/licenses/by/2.0/"" rel=""noreferrer"">CC BY</a> license.</p>

<p>So my questions are:</p>

<ol>
<li><p>can I use the videos marked as ""<em>youtube standard license</em>"" for this video, of course citing the source?</p></li>
<li><p>In case I can't, do you know any other place where I can take video I can use for this non commercial purpose of makning a scientific video to show the project?</p></li>
</ol>
","<p>I know you probably already found this link, but according to <a href=""http://answers.yahoo.com/question/index?qid=20110725170611AANFmJo"">Yahoo</a>, you will want to contact the Uploader before you try to use it. Thats what I would try. I don't think I would want my youtube videos just used by anyone who wanted to. Seems <a href=""http://productforums.google.com/forum/#!topic/youtube/N7LaB524fkA"">this</a> person ran into that problem.</p>

<p>If a video is only using the <a href=""http://www.youtube.com/yt/copyright/creative-commons.html"">Creative Commons License</a> you may use it, but otherwise contact the Youtube user.</p>

<p>Good luck.</p>
","7010"
