title,viewcount,title,body,body,acceptedanswerid
"Is there a standard height and depth for stairs?","521917","","<p>Is there a standard (or a standard range for) the height and depth of each step in a flight of stairs?</p>

<p>If your answer refers to your building code, please say where you live.</p>
","<p>The general rule (in the US) is 7-11 (a 7 inch rise and 11 inch run).  More exactly, no more than 7 3/4 inches for the riser (vertical) and a minimum of 10 inches for the tread (horizontal or step).  You can find some more information <a href=""http://www.sizes.com/home/stairs.html"" rel=""noreferrer"">here</a> as well on other stair-related dimensions.</p>

<p>To calculate if the steps will be within the Building Codes specs :  2 times the step riser height + 1 tread width equals between 24 and 25 in inches.</p>

<p>example:  (2 x 7.5"") + 10 = 25</p>
","245"
"What humidity should I set my dehumidifier to?","447699","","<p>I just bought a 50 pint dehumidifier for my basement.  What humidity level should I aim for? This time of year the outside humidity is very high (over 80%) and we do not have central air.  Right now it is set to 55% and seems to be running constantly.  Should we keep it running and try and get it even lower than 55%?</p>
","<p>30-40% in winter. Otherwise below 60% to keep mold away. Or even below 50% to avoid dust mites.</p>

<p>You can also see this question: <a href=""https://diy.stackexchange.com/questions/593/humidity-levels"">Humidity Levels</a>.</p>
","8188"
"How can I remove a really stuck screw?","443842","","<p>I often come across screws that just won't budge with a manual screwdriver or even a driver bit in a drill.  They are of different screw types and heads in a variety of different materials. What are some techniques I can use to try and remove them?</p>
","<h1>Twist in the proper direction</h1>

<p>Are you turning the right way?  Remember, <a href=""http://www.urbandictionary.com/define.php?term=righty%20tighty%20lefty%20loosy"" rel=""noreferrer"">""<em>Righty tighty, Lefty loosy</em>""</a> (which never made sense to me). Most screws are right-handed threads, so you'll turn them anti(counter)-clockwise to remove them.  In some situations left-hand thread screws are used (usually to prevent screws from loosening due to rotational forces), so you'll actually have to turn the screw clock-wise to loosen it.  </p>

<p>Sometimes tightening the screw very, very slightly, can loosen it up enough that it can be removed.</p>

<h1>Muscle</h1>

<p>The first thing to try, is simply to apply more inward force while turning.  </p>

<p><img src=""https://i.stack.imgur.com/iI0x6.jpg"" alt=""enter image description here""> </p>

<ul>
<li>Use a screwdriver with a head that fits snugly in the screw head.</li>
<li>Put the palm of one hand on the back side of the screwdriver handle, and wrap your other hand around the handle ready to twist.</li>
<li>Push the screwdriver as hard as you can with your back hand into the screw, and twist with your other hand.</li>
</ul>

<p>If you are using a screwdriver with a hexagonal or square shaft, you can grip the shaft of the screwdriver with an adjustable spanner (wrench) or vise grips. This will allow you to exert more torque, and may put you in a better position to push the screwdriver harder into the screw head.</p>

<h1>Lube</h1>

<p>Sometimes screws seize up due to rust, or other debris.  Soaking the area with penetrating oil, may free up the screw enough for you to remove it.</p>

<p><img src=""https://i.stack.imgur.com/TOcCE.png"" alt=""enter image description here""></p>

<ul>
<li>Apply a liberal amount of penetrating oil to the area.</li>
<li>Allow the oil to soak in for 5-10 minutes.</li>
<li>Try to remove the screw (by conventional means, and using the technique above).</li>
</ul>

<h1>Rapping, Tapping, and Banging</h1>

<p>If both methods above have not worked, giving the area a sharp tap with a hammer might break the screw free.</p>

<p><img src=""https://i.stack.imgur.com/jl8h6.png"" alt=""enter image description here""></p>

<ul>
<li>Hit the screw and surrounding area with a series of sharp taps with your hammer.</li>
</ul>

<p>Remember, you're not trying to knock the screw into next week, you just want to loosen it up (though there are situations where you'll have to give the piece a healthy whack).</p>

<h1>Impact Driver</h1>

<p>For really stuck screws, you can use a <a href=""http://en.wikipedia.org/wiki/Impact_driver"" rel=""noreferrer"">manual impact driver</a>.</p>

<p><img src=""https://i.stack.imgur.com/GuCYk.png"" alt=""enter image description here""></p>

<ul>
<li>Attach a bit that fits snugly in the screw slot</li>
<li>Set the driver to spin in the proper direction (this process varies from tool to tool, but most commonly, you'll compress the driver and twist).</li>
<li>Place the driver on the screw, and hold the driver as straight as possible (keep you hands away from both ends of the tool).</li>
<li>Give the back side of the driver a whack with a hammer (a rubber mallet or non-marring hammer is good for this).</li>
<li>Repeat until the screw starts to twist (most impact drivers have to be ""reset"" between strikes, so don't forget to reset the driver before whacking it again).</li>
<li>Once the screw is freed up, use a regular screwdriver to remove it. </li>
</ul>

<p>This may not always be the best tool when working with sensitive electronics or delicate equipment, but it's very useful for removing stuck screws. </p>

<h1>Drilling</h1>

<p>If you still cannot remove the screw, as a last resort you can drill the screw out.</p>

<p><img src=""https://i.stack.imgur.com/0SDxG.jpg"" alt=""enter image description here""></p>

<ul>
<li>Select a drill bit that is just smaller than the shaft of the screw you want to remove (you may have to guess if you can't see the whole screw, but you can always go bigger later so start small).</li>
<li>Place the bit in a drill.</li>
<li>Place the tip of the bit in the center of the head of the screw.</li>
<li>Drill until the screw comes free, or until you think you are deep enough.</li>
<li>If the screw did not come free, switch to a slightly larger bit and drill again.</li>
</ul>

<p>This is a last-ditch effort, and will destroy the screw (and possibly the threads in the hole, if not done correctly).  Use this technique only as your last resort.</p>

<h1>Explosives</h1>

<p>Remove the screw, and everything else in a 20ft. radius.</p>

<p><img src=""https://i.stack.imgur.com/5wGga.jpg"" alt=""enter image description here""></p>

<ul>
<li>Place the charge on the screw.</li>
<li>Light the fuse.</li>
<li>Run like hell.</li>
<li>Cover your ears.</li>
<li>Bask in destructive glory.</li>
</ul>

<p>It's a good idea to film the explosion using a high-speed camera, so you can <a href=""http://www.youtube.com/watch?v=d_urLWPrONI"" rel=""noreferrer"">watch it over and over again in super slow-mo</a>. </p>
","16264"
"How can I paint over mold to prevent it from coming back again?","415015","","<p>The source of the leak has been fixed, however the old mold keeps showing though the new paint.</p>
","<p>Don't try painting over mold.  Use bleach to get rid of it first.  Make sure the entire area is completely dry.  Then use a special anti mold paint.</p>
","236"
"How can I add a ""C"" wire to my thermostat?","413792","","<p>So, the spiffy new wi-fi thermostats want power on the C wire from thermostat, but the old thermostat doesn't have a C wire at it.  What's the easiest way to add the C wire/24 volt to the thermostat location?</p>
","<h1>More than you've ever wanted to know about the <code>C</code> wire:</h1>

<p>Lets start by explaining what the <code>C</code> wire is, and why it's needed.</p>

<h1>Ye olde thermostat</h1>

<p>In the olden days thermostats were simple switch devices, that used <a href=""http://en.wikipedia.org/wiki/Mercury_switch"" rel=""nofollow noreferrer"">Mercury Switches</a> to complete the circuit and turn on the heat/AC.</p>

<blockquote>
  <p>Mercury switches were commonly used in bimetal thermostats. The weight
  of the movable mercury drop provided some hysteresis by moving the
  bimetal spring slightly beyond the point it would normally assume,
  thereby holding the thermostat off slightly longer before flipping to
  the on state and then holding the thermostat on slightly longer before
  flipping back to the off state. The mercury also provided a very
  positive on/off switching action and could withstand millions of
  cycles without degradation of the contacts.
  <a href=""http://en.wikipedia.org/wiki/Mercury_switch"" rel=""nofollow noreferrer"">Source</a></p>
</blockquote>

<p>Because of this, there was no reason to run a return wire to the thermostat. For example a thermostat that only controlled heat, would only require 2 wires.</p>

<p><img src=""https://i.stack.imgur.com/psCg3.png"" alt=""Thermostat wiring without a C wire""></p>

<p><img src=""https://i.stack.imgur.com/2iRIE.gif"" alt=""Thermostat wiring without a C wire showing electricity""></p>

<h1>Welcome to the future</h1>

<p>Newer thermostats that offer clocks, backlit displays, WiFi, etc. are controlled using circuit boards and integrated circuits.  These new circuits require a path for electricity to return to the source, and so require an extra wire.  This new wire is known as the <code>C</code> wire, or <code>Common</code> wire.</p>

<p><img src=""https://i.stack.imgur.com/gVtTf.png"" alt=""Thermostat wiring with a C wire""></p>

<p><img src=""https://i.stack.imgur.com/Htu7d.gif"" alt=""Thermostat wiring with a C wire showing electricity""></p>

<h1>How do I get a <code>C</code> wire?</h1>

<p>If you're lucky when you upgrade to a newer thermostat that requires this connection, there will be an extra (unused) wire in the cable at the thermostat.  If you're not, you'll have to run new cable to the thermostat.</p>

<p>If you have heat and AC, you'll have to pull an 18/5 cable. If you have just heat you can get away with pulling 18/3 cable, but you may want to pull 18/5 anyway to make adding AC in the future easier.</p>

<p><img src=""https://i.stack.imgur.com/YcvAH.jpg"" alt=""enter image description here""></p>

<h1>What do all these wires do anyway?</h1>

<p>There are no standards for wire color, so any wire <em>could</em> be used for any purpose.  The most common color code would be (<em>note: this is for forced air furnaces, heat pumps and other systems may be different</em>). </p>

<ul>
<li>Red - <code>R</code> - 24VAC</li>
<li>Red - <code>Rh</code> - 24VAC (dedicated to heat call)</li>
<li>Red - <code>Rc</code> - 24VAC (dedicated to cooling call)</li>
<li>Green - <code>G</code> - Fan on</li>
<li>White - <code>W</code> - Heat call</li>
<li>Yellow - <code>Y</code> - Cool call</li>
<li>Blue or Black - <code>C</code> - Common</li>
</ul>

<h1>Alternative Solution</h1>

<p>This solution is illustrated in <a href=""https://www.youtube.com/watch?v=jniws7wqeY4&amp;list=UU-kFH2fpyttdWAWmJLqT7aQ&amp;index=9"" rel=""nofollow noreferrer"">this video from Honeywell</a>. With this solution you lose the ability to manually turn on the blower fan, but the fan will still run properly in the <code>Auto</code> position. </p>

<p><strong><em>WARNING:</strong> This procedure involves modifying the wiring in the furnace, and may not be approved by every manufacturer. Check with the furnace manufacturer, and all local codes before attempting this procedure. Make sure the breaker for the furnace is OFF before you begin.</em></p>

<ol>
<li>Make sure the breaker for the furnace is OFF.</li>
<li>Start by removing the access panel on the furnace, and locating the thermostat wires.</li>
<li>Remove the wire from the <code>G</code> terminal, and connect it to the <code>C</code> terminal.</li>
<li>Using a short piece of 18 AWG wire, make a jumper and connect it between the <code>Y</code> and <code>G</code> terminals (this is only required if you have both heat and central air).</li>
<li>Replace the access panel.</li>
<li>Remove the thermostat from the wall to gain access to the wiring.</li>
<li>Remove the wire from the <code>G</code> terminal, and connect it to the <code>C</code> terminal.</li>
<li>Replace the thermostat.</li>
<li>Turn the furnace breaker back on.</li>
</ol>

<h1>A bit more about transformers and <code>C</code> wires.</h1>

<p>A <a href=""http://en.wikipedia.org/wiki/Transformer"" rel=""nofollow noreferrer"">transformer</a> uses coils of wire, magnetism, and a bit of magic to transfer energy from the <strong>primary</strong> side of the transformer to the <strong>secondary</strong> side of the transformer.  Usually during the transfer, the voltage is either increased or decreased. In the case of our furnace we're likely talking about taking 120VAC, and transforming it into 24VAC. Once the voltage has been reduced, we can use the lower voltage and a thermostat to control the furnace.</p>

<p>Now that you know even less about transformers than you did before, lets look at a diagram.</p>

<p><a href=""https://i.stack.imgur.com/QeZbQ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/QeZbQ.png"" alt=""Highlighted Furnace Wiring Diagram""></a></p>

<p>This is an actual wiring diagram from a furnace, but you'll notice I've highlighted a few things.  First, in red I've highlighted the 120V primary side of the transformer. I've also highlighted the secondary side of the transformer in a couple shades of blue. This was done to illustrate that one side of the transformers secondary winding (light blue), is attached to the <code>R</code> or power terminal. While the other side of the secondary winding (dark blue), is attached to the <code>C</code> or ""neutral"" terminal.</p>

<h2>Locating transformers</h2>

<h3>On a schematic</h3>

<p>On a schematic or wiring diagram, a transformer will look something like this.</p>

<p><img src=""https://i.stack.imgur.com/GE99S.png"" alt=""Transformer Symbol""></p>

<p>Often you'll see a number written on each side, which denotes the expected voltages on each side of the transformer. Notice in the schematic above that the top side lists 120V (120 volts), while the bottom lists 24V (24 volts).</p>

<h3>In the real world</h3>

<p>When actually digging through HVAC equipment, a transformer will look something like this.</p>

<p><img src=""https://i.stack.imgur.com/9W0eRm.jpg"" alt=""Transformer"">
<img src=""https://i.stack.imgur.com/dveiMm.png"" alt=""Transformer""></p>

<p>Notice the rectangular middle section, flanked by a bulge on each side. These are the typical physical characteristics of a transformer. </p>

<h2>Volt-Amperes</h2>

<p>Transformers typically have a <a href=""http://en.wikipedia.org/wiki/Volt-ampere"" rel=""nofollow noreferrer"">volt-ampere (VA)</a> rating, which can be used to determine the amount of current that can safely flow through the transformers coil wires.  To determine the maximum current, simply divide the VA value by the voltage.  </p>

<p>For example, a 120V/24V 40 VA transformer would be capable of 1.66667 amperes on the secondary.</p>

<p><code>40VA / 24V = 1.66667A</code></p>

<p>and .3333 amperes on the primary</p>

<p><code>40VA / 120V = .3333A</code></p>

<p>Normally this is not a problem, since the only things supplied by the transformer are switches and relays. If you install a thermostat that draws more current than the transformer can carry, you're going run into problems.  So in this case, you'll have to upgrade the transformer and any fuses that protect it (since the fuses are sized based on the VA rating).</p>
","10527"
"Why does my toilet randomly start running?","382606","","<p>Sometimes my toilet starts running for a few seconds at a time, like it's just finishing filling up the tank.</p>

<p>Usually this happens when the bathtub is being drained, or when I turn on the facets in the sink, but I think it also happens sometimes when no water is being used anywhere else.</p>

<p>As far as I can tell the flapper in the tank is working fine, and I don't see any leaks anywhere.</p>
","<p>The typical toilet tank will have a flapper which seals the water in the tank. When you flush the toilet, the flapper is lifted and water is allowed to move from the tank into the bowl. Once a set amount of water has exited the tank, the flapper falls back down and re-seals the tank.</p>

<p>The most common issue with toilets randomly flushing is that the flapper has become brittle or sediment has formed on the flapper/tank which prevents the flapper making a complete seal. This will allow water to slowly drip from the tank into the bowl. If enough water is permitted to leak out of the tank, the filling mechanism will be triggered and the tank will refill. If enough water enters the toilet bowl, the self-siphonage will be triggered and the bowl will drain into the sewage system.</p>

<p>Here's a picture of a typical assembly:
<img src=""https://i.stack.imgur.com/askDn.gif"" alt=""enter image description here""></p>
","24383"
"What is the proper procedure to apply multiple coats of Polyurethane?","344593","","<p>Polyurethane is confusing me. ;)</p>

<p>I'm finishing a table top with polyurethane. I've sanded down the original finish to bare wood down to 220 grit paper. </p>

<p>I vacuumed and wiped it all down, then did a final wipe with a rag and some mineral spirits. After drying, I then put on the first coat. </p>

<p>It's been about 2 hours, and this is where I'm stumped.</p>

<p>The can says to re-apply coats after 2 hours, but doesn't say to sand. It does say that if you wait 24 hours, then you should sand.</p>

<p>Researching on the internet, the common advice appears to be sand between every coat.</p>

<p>So, the questions:</p>

<ul>
<li>should one sand between every single coat?</li>
<li>how long should one wait before sanding?</li>
</ul>

<p>My understanding of the can label is that multiple coats are fine after 2 hours WITHOUT sanding. They're also fine after 24 hours WITH sanding. Is that correct? Any thoughts on which method is better?</p>

<p>FWIW, this is a satin finish, as I'm purposefully trying to knock down any sheen to give it the barest-of-wood look I can, so super-smooth glossy isn't a priority on this project. </p>

<p>UPDATE: BONUS QUESTION!</p>

<p>What's everyone's opinion on 'with' vs. 'cross' grain bush application? Always go with the grain? Alternate between coats? </p>
","<p>When you apply multiple coats of urethane, any dust or small flaws will be amplified with each new coat. If you want the smoothest finish possible, then wait until it is dry, very lightly sand with very fine paper (220 or finer) to remove any dust bumps, wipe it clean with a slightly damp cloth or tact rag, let it dry or buff it dry with a dry cloth, then apply the next coat. There is no reason to use mineral spirits, actually I would advise you not to use mineral spirits.</p>

<p>I see no advantage to applying successive coats with, then against the grain. As long as you apply an even coat with a good quality brush or foam brush and don't overwork it, any brush marks should disappear. The finished product should be so smooth that you couldn't tell which way you brushed the urethane on.  Also, if you are using a satin finish urethane, be sure to mix it well, stirred, not shaken. The dulling agents tend to fall to the bottom, so it is important to mix it well. No matter how many coats you apply, it should not become ""glossy"".  </p>
","20757"
"What's the most common cause of A/C refrigerant lines freezing?","340711","","<p>I noticed my house wasn't getting under 75°F this weekend when I had the thermostat set for 70°F. Since I'd done a lot of drywall sanding inside recently, my first idea was to replace the filthy air filter. </p>

<ul>
<li>My first indication that the air filter wasn't the root cause was when the return didn't have enough suction to hold the air filter in place while I was replacing it.</li>
<li>I went outside to look at the compressor unit and discovered the exposed portion of the refrigerant line running into the house was frozen, but the fan was still running.</li>
<li>The evaporator drain line still had a steady stream of water coming out of it.</li>
<li>After turning everything off and waiting for the line to thaw, I turned the thermostat back on. Cooler air came out of the vents, but it didn't seem to be blowing with much force, and it wasn't as cool as it should be.</li>
<li>I went back outside and discovered the refrigerant line was already frosting up again. At this point it was already dark, so I turned everything back off and slept with the ceiling fan on. :/</li>
</ul>

<p>Other random notes that may or may not play a factor:</p>

<ul>
<li>The AC unit had been sitting idle the past 3 days since we had nice weather in the mid-70's last week.</li>
<li>I mowed the lawn next to the condenser unit the day I noticed it stopped working. However, I was bagging the grass clippings, so nothing should have been blown into the unit.</li>
</ul>

<p>Any ideas on the root cause of the icing <em>and</em> lower air flow? I wouldn't think the two would be connected normally. Is it something as simple as low refrigerant levels? I plan on going to look more closely at it after work today. What are some other things I should pay attention to?</p>

<p><strong>UPDATE:</strong> I checked the system after work today and decided to give it one more chance after I couldn't find anything wrong with it. After a few hours, it had brought the inside temperature down from 80°F to 75°F. I periodically checked the refrigerant line for freezing, but it never got much colder than 60ish degrees.</p>

<p>I think the root cause was the air filter, and that I didn't allow enough time for the line to thaw last night.</p>

<p><strong>UPDATE 2:</strong> Maybe I drew conclusions too soon - I just checked the refrigerant line and discovered frost on it again. The inside temperature was at 72°F while the outside was at 66°F. I think pumping warm air to a cooler outside temperature may have contributed to the icing, but I'm not completely sure. (And if you think I'm crazy for running the AC when I could just open the window, you'd think twice too if you saw how many bugs swarm my porch light and windows every night. Dozens of them somehow find their way past the screens if I open the windows.) I plan on running it again tomorrow during the day and monitoring the refrigerant line temperature every few hours. If it freezes up again, I think I'm going to cave and call a repair guy.</p>

<p><strong>UPDATE 3:</strong>  I totally forgot to follow up on this. It froze again, so I called an HVAC repair guy. He checked the system, added refrigerant, and problem solved. I think the bill came out somewhere around $150 for the service call fee and refrigerant costs.</p>
","<p>You may be looking at the problem backwards, the freezing lines could be a symptom of the problem not the cause.  Start by looking for blockages in the system that would cause lower air flow / heat exchange.</p>

<ul>
<li>Dirty filters.</li>
<li>Clogged ducts.</li>
<li>Closed dampers.</li>
<li>Closed/Blocked vent covers.</li>
<li>Dirty coils.</li>
</ul>

<p>Basically if the system cannot exchange the heat/cold, it will not function properly and could lead to over heating/cooling.</p>

<p>Frozen lines could also be caused by high or low levels of refrigerant, so you'll want to get a service person out to check the refrigerant levels. </p>

<p>Here is a really good image to visualize how it works.</p>

<blockquote>
  <p><img src=""https://i.stack.imgur.com/vZGUI.png"" alt=""enter image description here""></p>
</blockquote>
","8893"
"How do you determine if a door is Right Handed (RH) or Left Handed (LH)?","326537","","<p>I am replacing a few interior doors and I need to know if the existing door is Right Handed or Left Handed so I have them drilled correctly.  Sounds like the acronyms for this are RH and LH.  This also would apply for new pre-hung doors as well I assume as they are all marked that way at the mega home improvement stores.</p>
","<p>Not only besides RH or LH, you need to determine swing direction. Trust me, this needs to be agreed upon. When I built the additional room onto my house, I thought 84 Lumber understood the direction of door swing and they didn't. There is left inswing, right inswing, left outswing, and right outswing.</p>

<p>The door handle on my exterior door is on the right-hand side, but it is considered a left-hand outswing. Whereas my front door swings in, and the handle is on the right hand side so it is considered a right-hand inswing. Make sure you know what you are buying before you spend the money!</p>

<p><img src=""https://i.stack.imgur.com/XbOcU.gif"" alt=""alt text""></p>
","2787"
"Should I set fence posts in dirt, gravel, crushed rock, or concrete?","320385","","<p>I have received conflicting advice about how to set wooden fence posts.</p>

<ul>
<li>Many web sites suggest setting them in a <strong>concrete</strong> cylinder.</li>
<li>Someone at the local hardware store had seen posts set in concrete rot and break because water seeps in along the edges of the post (especially in the winter) and does not drain properly.  He suggested <strong>crushed rock</strong> (what I would call gravel, see <a href=""https://diy.stackexchange.com/questions/241/definitons-of-various-sand-gravel-and-rock-products"">Definitions of various sand, gravel, and rock products</a>) instead.</li>
<li>A local fence company said they just set the posts in <strong>compacted dirt</strong>, but use 5x5-inch posts.</li>
</ul>

<p>What is the best way to set fence posts in different climates, given that the wind force on a 6-foot-tall privacy fence can be substantial?</p>
","<p>Last summer we rebuilt our fence using advice from <a href=""http://rads.stackoverflow.com/amzn/click/1580175309"">The Fence Bible</a>.  The advice was great, and the directions clear.  The author covered both concrete and compact dirt/rock footers for wooden fences. I'd highly recommend it to anyone building a fence for the first time.</p>

<p>Concrete does risk rotting the wood because of water build up, but that can be mitigated with proper drainage. Dirt footers can be problematic if you have very loose dirt in your yard.  Dirt requires lots of work with something heavy to compact it, concrete requires mixing and handling concrete.</p>

<p>We set ours in dirt/gravel and realized it was exactly the right choice when our fence was hit by a car 4 months after we built it. The car shattered two 4x4 posts, a gate, and several rails, a 3rd posts was pulled from the ground, and every other post along the run titled about 5 degrees including a 6x6 corner post; 10 posts had to be reset in all. Our neighbor (whose fence was also hit) had concrete footers, which were pulled from the ground, or shifted several inches but left in the ground. His footers had to be removed and replaced, and all new posts were required. We had to replace the damaged parts (2 posts, a gate and several rails), but we could reset the others. If we'd had concrete I suspect more would have broken, and we would have been unable easily reset any that had titled (granted fewer might have tilted but that energy had to go somewhere, hence the assumption about more broken posts).</p>
","308"
