title,viewcount,title,body,body,acceptedanswerid
"Replacing whiteness with transparency in CS6","495312","","<p>I want to replace the whiteness in pixels with transparency in the same way as described in <a href=""https://graphicdesign.stackexchange.com/questions/8509/replace-image-gradient-in-image-with-alpha"">this question</a> - i.e. for lighter pixels to be made proportionally as transparent. All solutions found via google are based on magic wand or other methods that do not work for my needs.  I'm sure there used to be a way to do this in earlier version of photoshop (a simple functions to replace a colour with transparency), but I can't it in CS6.  'Replace Colour' has no alpha options.  Grateful for any pointers.</p>
","<p>One method is to use the original image/layer as its own layer mask. You'd create a duplicate of the layer, desaturate and invert it, pasting the greyscale result into the original layers layermask.</p>

<hr>

<p><strong>Update: Here are some step by step instructions:</strong></p>

<p>Start with your flattened image:</p>

<p><img src=""https://i.stack.imgur.com/R51xa.png"" alt=""enter image description here""></p>

<p>Add a <strong>Saturation/Hue</strong> adjustment layer and turn down the Saturation until the image has no color. If you don't have any gradient in your original image, you can just use a <strong>Threshold</strong> adjustment layer instead, which will result in 100% black or 100% white results.</p>

<p>(Technically you could skip step, as we'll be pasting it into a layer mask which will convert it to greyscale anyway. This will give you a good visual reference though to tweak the black/white balance)</p>

<p><img src=""https://i.stack.imgur.com/Cb8W5.png"" alt=""enter image description here""></p>

<p>Add an <strong>Invert</strong> adjustment layer, then a <strong>Curves</strong> adjustment layer. Tweak the Curves until everything you'd like to be solid/opaque is white, and everything you want fully transparent is black. You may have to tweak this a few times to get the amounts right.</p>

<p><img src=""https://i.stack.imgur.com/LeGeq.png"" alt=""enter image description here""></p>

<p>Now <kbd>CTRL</kbd>+<kbd>A</kbd> to select the entire image and <kbd>CTRL</kbd>+<kbd>SHIFT</kbd>+<kbd>C</kbd> to copy the combined greyscale result. Create a layer mask on your original layer. Now <kbd>ALT</kbd>+<kbd>Click</kbd> in the layer mask icon to enter direct edit mode. Now paste the black and white image you just copied into there.</p>

<p><img src=""https://i.stack.imgur.com/iARQ4.png"" alt=""enter image description here""></p>

<p>Now click back on your original layer to exit the layer mask direct edit and hide all your adjustment layers. </p>

<p>There you have it! If you find your finished result isn't fully opaque (solid) in the areas you like it, you can either tweak the curves and do it again (you'll need more white in those areas), or just duplicate the result/layer a few times until it becomes less transparent (example below).</p>

<p><img src=""https://i.stack.imgur.com/hYng9.png"" alt=""enter image description here""> </p>

<p>This also works on black backgrounds, just don't use the Invert layer filter.</p>
","21686"
"How to open or save as ico in Photoshop CS6","444264","","<p><a href=""http://www.telegraphics.com.au/svn/icoformat/trunk/dist/README.html"">This plugin to open and save as .ico</a> in Photoshop has been around for a while, but I can't seem to make it work for CS6. According to <a href=""http://forums.adobe.com/message/4453679"">this question in the Adobe Forums</a>, the plug-in works if installed in <code>C:\Program Files\Adobe\Adobe Photoshop CS6 (64 Bit)\Required\Plug-Ins\File Formats</code> but it's not doing anything. Do you know of any alternative plugins for CS6? I'm using win seven 64 bits.</p>

<p>EDIT: The plugin does work, just not for images that are bigger than <code>256px x 256px</code>. </p>
","<p>The full path is <code>C:\Program Files\Adobe\Adobe Photoshop CS6 (64 Bit)\Required\Plug-Ins\File Formats</code>. Unless it's in <code>File Formats</code>, it won't show up in the export options.</p>
","9432"
"How to change the color of the artboard in Adobe Illustrator?","432470","","<p>It is practically impossible to edit a white illustration on the default white artboard background. </p>

<p>Hiding the artboard makes the whole work area receive the artboard's white color.</p>

<p><strong>Is there a way to change the color of the artboard in Illustrator CC?</strong></p>
","<p>The easiest way to see white artwork in Illustrator is by opening the <strong>View Menu</strong> and selecting <strong>Show Transparency Grid</strong>. This gives your white artwork something to contrast with. You can adjust the color of the grid by going to File -> Document Setup.</p>
","66564"
"Batch export Photoshop layers to individual PNG files","424525","","<p>I am a web dev and competent in Fireworks, but not so much in Photoshop.</p>

<p>I have just received a layered PSD file to turn into a web page.  Can anyone tell me the easiest way to export all layers to individual png files?</p>

<p>There are lots of layers and doing this manually seems wrong.</p>

<p>I have seen <a href=""http://jhilwig.com/LayerCompsToFiles_w_PNG/"" rel=""noreferrer"">this</a> but it does seem there should be native functionality for this in PS.</p>

<p>I have access to Photoshop CS4. Any pointers appreciated.</p>
","<h2>Method 1: The Built-In Script from Adobe</h2>

<p><code>File &gt;&gt; Scripts &gt;&gt; Export layers to files...</code></p>

<p><img src=""https://i.stack.imgur.com/Pw3am.png"" alt=""enter image description here""></p>

<p>Here are some related questions...</p>

<p><a href=""https://graphicdesign.stackexchange.com/questions/1/exporting-layers-in-photoshop"">Exporting individual layers in Photoshop, keeping their sizes</a></p>

<p><a href=""https://graphicdesign.stackexchange.com/questions/1729/export-layers-to-files-exports-only-4-png-files-from-100-layers"">Export Layers to Files exports only 4 png files from 100 layers</a></p>

<hr>

<h2>Method 2: Custom Script</h2>

<p>I spent some time and wrote my own script file to automate this process.
<strong>This process is much faster than the built-in script mentioned above.</strong></p>

<h2><strong><a href=""https://github.com/jwa107/Photoshop-Export-Layers-to-Files-Fast"" rel=""noreferrer"">Get the script now on Github!</a></strong></h2>

<p><strong>Additional Information</strong></p>

<p>I ran this script on a 100 layer, 450MB file in under 60 seconds. Running the built-in script on the same file takes me about 30 minutes.</p>

<p>When testing with nest layer groups, I found that my script runs in about 90 seconds whereas the built-in script takes about 27 minutes (and actually exports it wrong). </p>

<p>Please note that these results will vary depending on the complexities of the files as well as the hardware on your computer and the version of Photoshop. <a href=""https://github.com/jwa107/Photoshop-Export-Layers-to-Files-Fast/wiki/Tests-Windows-7-i7-by-Skjorn"" rel=""noreferrer"">Additional performance data</a>.</p>

<p>This script has (over the past few years) gotten various improvements from <a href=""https://github.com/jwa107/Photoshop-Export-Layers-to-Files-Fast/graphs/contributors"" rel=""noreferrer"">various contributors.</a> If you run into any issues with the script. You can files issues with the script <a href=""https://github.com/jwa107/Photoshop-Export-Layers-to-Files-Fast/blob/master/README.md#contact"" rel=""noreferrer"">here</a>.</p>

<p>Please read through the <a href=""https://github.com/jwa107/Photoshop-Export-Layers-to-Files-Fast#photoshop-export-layers-as-images"" rel=""noreferrer"">read-me</a> for any additional, additional information.</p>

<p><em>Disclaimer: This script is not associated with Adobe in any way. Please use script at your own risk -- always make a back-up of your PSD before using. I am not responsible for any damaged or lost data.</em></p>
","1962"
"How to create vector graphics In Photoshop?","397442","","<p>I know people prefer using CorelDraw or Adobe Illustrator, but <strong>I want to know if there is a technique I can follow to use Adobe Photoshop to make vector Images</strong>.</p>
","<p><strong>TL;DR:</strong> <strong>Photoshop can not create true vector images.</strong> This is a very common misconception. </p>

<p>Think of it like a car. -- Can you go 4-wheeling with a Toyota Prius? Sure you <em>can</em>! Is it going to do all the things a Jeep Wrangler can do? Heck no. There's a <em>reason</em> you <em>need</em> to use a 4-wheel drive vehicle to go 4-wheeling, just as there's a <em>reason</em> you <em>need</em> to use a vector application to create vector files.</p>

<hr>

<p>Regardless of how you create a file and save it, Photoshop <strong>always</strong> saves both vector and <em>raster</em> information. This is unlike any true vector application. </p>

<p>You <strong>can't</strong> create vector <strong>files</strong> with Photoshop. You can only create raster files with vector containers/edges. This means you may have a vector square and its edges will remain sharp and crisp, however if that square has a gradient fill. That gradient fill is <em>raster entirely</em> and it will suffer upon some scaling.</p>

<p>Applications such as Illustrator, Corel, Xara, actually can contain only 100% resolution independent vector data. It's not a matter of ""people preferring"" to use a vector application. It's <strong>required</strong> if you want a true vector format in the end.</p>

<p>This is not to say that the vector <strong>tools</strong> within Photoshop are overall inferior, they are not. Yes you <em>can</em> draw with the vector tools in Photoshop and create vector content. But in order to get the real benefit of that vector content in Photoshop, you have to use Photoshop for all future alterations. When you enlarge or transform a vector container <em>within</em> Photoshop, Photoshop interpolates the interior raster data to suit the transformation. That interpolation <strong>does not</strong> happen outside of Photoshop. So, after exporting/saving you can scale something like a Photoshop EPS, the vector edges will scale and remain crisp because they are vector, but the interpolation of the raster data does <strong>not</strong> happen outside of Photoshop. So ""broken pixels"" are <em>entirely</em> possible with a Photoshop EPS even though you used vector tools. This issue arises when you <em>save</em> the file or <em>export</em> it. In all vector-capable formats - PDF, EPS, PSD - Photoshop creates a raster file with embedded vector data. Photoshop does <em>not</em> create a vector file. This is <strong>entirely unlike</strong> actual vector-based applications. </p>

<p>For production purposes, this difference may be largely unimportant if you are already working at a high ppi in Photoshop. But a user should be aware that simply using Photoshop's vector tools and saving as an EPS/PDF <strong>does not create vector files</strong> using <em>any</em> currently available version of Photoshop (CC2017 is the most recent).</p>

<p>I realize some users <em>desperately</em> want Photoshop to create vector files because that means they don't need to learn a new application to generate a new file format. However, there's <strong>no way</strong> around it. If you want actual vector files, you <strong>must</strong> use an actual vector application. Photoshop is and always has been a <em>raster</em> application, hence ""photo"" in its name.</p>
","17873"
"How to convert a video file into an animated GIF in Photoshop?","360462","","<p>I was trying to convert an MP4 into an animated GIF for an answer on here.</p>

<p>I tried opening the file directly in Photoshop, and then clicking on the timeline menu and choosing both:</p>

<ul>
<li><p><em>Convert Frames &rarr; Flatten Frames into Clips</em> and</p></li>
<li><p><em>Convert Frames &rarr; Convert to Frame Animation</em></p></li>
</ul>

<p><img src=""https://i.stack.imgur.com/VVqIO.jpg"" alt=""Photoshop timeline menu""></p>

<p>But neither of them worked. They appeared to just flatten it into a single image.</p>

<p><strong>How can I create an animated GIF from a video file in Adobe Photoshop?</strong></p>
","<h2>To Convert the Video File into a Compatible Structure for the Animated GIF File Format</h2>

<ol>
<li><p>Open Photoshop without opening the video file.</p></li>
<li><p>Go to <em>File &rarr; Import &rarr; Video Frames to Layers</em>.</p>

<p><img src=""https://i.stack.imgur.com/6B0Yd.png"" alt=""""></p></li>
<li><p>In the options that appear, make sure the ""Make Frame Animation"" checkbox is ticked.</p>

<p><img src=""https://i.stack.imgur.com/AcG3L.jpg"" alt=""""></p>

<p>At this stage you can also select only a specified range of the video and only import every 2nd, 3rd, 4th, nth frame. Useful for many reasons, the most obvious being to reduce file size.</p></li>
</ol>

<h2>To Save / Output an Animated GIF from the Generated Frames</h2>

<ol>
<li><p>Go to <em>File &rarr; Save for Web...</em> (or <em>File &rarr; Export &rarr; Save for Web (Legacy)...</em> in newer versions)</p></li>
<li><p>Choose one of the GIF options from the preset menu, or choose the GIF option in the dropdown list underneath the presets and adjust the options based on your needs.</p>

<p><img src=""https://i.stack.imgur.com/KXYo0.png"" alt=""""> </p></li>
<li><p>Click ""Save"", give it a name, and enjoy. </p></li>
</ol>
","46657"
"What resolution should a large format artwork for print be?","348703","","<p>For wall sized graphics and large banners (e.g 3m x 5m), what is an acceptable PPI for print.</p>

<p>As i understand it 300 PPI is the typical for 'small' artworks (esp. for clean text resolution), however for small artworks the audience usually engages at a much closer distance. Therefore in the interests of keeping a bitmap file down to a resonable size can you get away with a much reduced PPI for a large format/banner print?</p>
","<p>In general you should use vector graphics in the artwork wherever practical, and deliver final artwork to the printer in PDF or other vector format. Your finished print will then be limited only by the output resolution of the print device.</p>

<p>This is particularly important with text and line art — visible rasterization in the finished print will be very obvious and look amateurish.</p>

<p>While a PDF can contain photographic images, they will have a fixed resolution, and while 300 ppi is a good rule of thumb for publications and small posters viewed at close range, there's no way you'll achieve anything close to that at the dimensions you're talking about. Certainly you should aim for as high as possible, but I don't think there's a hard-and-fast lower limit. I've certainly ended up with around 75ppi in photographic elements of 2m high event banners, which looked fine at relative distance. I never felt the need to do any interpolated upscaling of the raster images.</p>

<p>So, again in general, your workflow would be:</p>

<ul>
<li>produce raster elements in Photoshop and output as TIFF files</li>
<li>create complex vector elements like logos or illustration in Illustrator and output as EPS or PDF files</li>
<li>compose the final artwork in InDesign, linking in the raster and vector files, adding text and simple vector elements like colour blocks.</li>
<li>output the composite PDF from InDesign, ensuring that raster elements are output at their native resolution, i.e. not downsampled to a particular output resolution.</li>
</ul>
","492"
"How to make an adjustment layer to affect only one layer or one group of layers in Photoshop?","346348","","<p>In Photoshop I am trying to apply a hue/saturation to just one or a group of layers instead of the entire lot of layers using the ""Create new fill or adjustment Layer"" button. Is this possible, and if so how?</p>
","<p>Click the third icon from the left, on the bottom of the Adjustment Layer panel (just to the left of the eyeball) to clip the adjustment layer to the one below:</p>

<p><img src=""https://i.stack.imgur.com/pX973.png"" alt=""Clip icon""><br>
""Clip"" means it will affect only the layer immediately below.</p>

<p>You can also do this by hovering the mouse on the line between the two layers, hold down Alt or Option, and when you see the cursor change to a double circle with a tiny, left-pointing arrow, click.</p>

<p><img src=""https://i.stack.imgur.com/CGd8W.png"" alt=""Clipping cursor""></p>

<p>To have an adjustment layer affect only the layers in a group, put the adjustment layer at the top of the group and change the group's blend mode to ""Normal"" (as the default is ""Pass Through"").</p>
","2678"
"How to modify the corner radius on rounded rectangle in Illustrator?","344091","","<p>I always ended up just creating a new rounded rectangle if the existing one don't work. Is there a way to modify the corner radius without having to create a new shape?</p>

<p>I know I can modify the bezier handle manually one-by-one, but I can't figure out how to do this in a more accurate way for all 4 corners.</p>
","<p>In the new Adobe Illustrator CC, you can use 2 easy methods to change the corner radius of a rounded corner rectangle that has already been drawn:</p>

<h1>1. By moving the round handles</h1>

<p>Simply hold and drag the round blue handles in each corner.</p>

<p><a href=""https://i.stack.imgur.com/RDClr.jpg""><img src=""https://i.stack.imgur.com/RDClr.jpg"" alt=""How to change the corder radius of a rounded rectangle""></a></p>

<h1>2. By going in the Shape Options (more precise)</h1>

<p>You can change the border radius of all four corners with precision by using the Shape Options and simply enter a new measurement for your corners. </p>

<p>To change only one corner or give a different corner radius value to each of them, click the chain in the middle and fill the corner radius field for each corner.</p>

<p><a href=""https://i.stack.imgur.com/SizP3.jpg""><img src=""https://i.stack.imgur.com/SizP3.jpg"" alt=""How to change numerically the corners of a rounded rectangle""></a></p>
","58233"
"Is there a free 'Helvetica Neue' alternative?","267041","","<p>Does anyone know any other fonts similar to Helvetica Neue (free for commercial use)? </p>

<p>I'm working on a big website project where 'Helvetica Neue' is used heavily. I need a font that looks almost the same, is free for personal and commercial use, and looks good even when used with copytext (e.g. fontsize for copytext = 11px, for headlines = 16px).</p>

<p>Also there should be a condensed-font style included (if possible).</p>
","<p>I still think that <strong>for web</strong>, the best free option out there is <a href=""http://www.dafont.com/liberation-sans.font"">Liberation Sans</a>. It renders perfectly with @font-face. </p>

<p><img src=""https://i.stack.imgur.com/MV53L.jpg"" alt=""enter image description here""></p>

<p>But you can get <a href=""http://www.linotype.com/1266/neuehelvetica-family.html"">Helvetica Neue for web</a> from Fonts.com for web use for a fair price too. I would probably use <strong>font-family:""Helvetica Neue, Helvetica, Liberation Sans, Arial, sans-serif"";</strong> so those pcs with the font installed can see it, and those who don't have it can see a replacement.</p>
","15464"
"Helvetica Neue Equivalent on Google Fonts?","266368","","<p>Does anybody know a font on <a href=""http://www.google.com/fonts"">Google Fonts</a> that is very similar to Helvetica Neue?</p>
","<p>That's the thing about Helvetica, there isn't really anything quite like it. We are talking about one of the (if not <em>the</em>) most beautiful font in existence.</p>

<p>You could settle for <em>Open Sans</em> or <em>Source Sans Pro</em> but it won't be the same. But you probably already know that as there are only 121 fonts to choose from.</p>
","8830"
"Is there a DIN font free alternative?","257341","","<p>I need a websafe alternative to DIN font. It needs to be free for commercial use. Anyone know of a good one?</p>
","<p><em>The situation has changed since this question was first asked in 2012.</em></p>

<p>There is now an OFL-licensed, completely version of DIN called <a href=""http://www.1001fonts.com/alte-din-1451-mittelschrift-font.html"">Alte DIN</a>.</p>

<p>This is legal because DIN 1451 is a product of the German government and is so in the public domain, only the individual interpretations of it by various font foundries are protected and copyrighted. Thankfully Peter Weigel traced it for us! :)</p>

<p><em>Original answer:</em></p>

<p>I don't know how close you need to come to the DIN typeface, but I found a couple possibles on Google Web Fonts. Using the letters <code>aGgQqlJ</code> to narrow down the letter shape matches, I found:</p>

<p>Wire One - <a href=""https://fonts.google.com/specimen/Wire+One"">https://fonts.google.com/specimen/Wire+One</a></p>

<p>The lowercase letter shapes are quite similar. The overall font is a bit more more condensed than DIN and some of the capital letter shapes are different.</p>

<p>Abel - <a href=""https://fonts.google.com/specimen/Abel"">https://fonts.google.com/specimen/Abel</a></p>

<p>Also, not an exact match but the feel is quite similar.</p>
","7179"
"Reduce file size without losing quality","250198","","<p>I would like to save files in Photoshop but keep them as small as possible. </p>

<p>I use Save for Web (and Devices) and save as a JPEG. Here are the settings I used: </p>

<p><img src=""https://i.stack.imgur.com/tvD9w.jpg"" alt=""Settings""></p>

<p>I really do not want to lower the quality settings because I use text and sometimes I see artifacts if the setting is too low. </p>

<p>This produces file sizes of several hundred kilobytes depending on size of image. While this isn't a huge issue these images are used for the web and smaller is better. What are techniques without reducing quality to reduce the file size? </p>

<p><em>Update:</em></p>

<p>To add some more information here: </p>

<p>Many of the images I use and create get sent via email. This severally limits what I can do with placing of text using HTML and CSS over the image. </p>

<p>Also I use a variety of fonts. Some I could use for the web using CSS's <code>@font-face</code> but you can run into large file sizes and in some cases you cannot upload the font to the web legally. I could use a service like <a href=""https://typekit.com/"" rel=""noreferrer"">Typekit</a> but again many fonts I use are not available with Typekit. </p>

<p>Here is an example image:</p>

<p><img src=""https://i.stack.imgur.com/TIfEj.jpg"" alt=""Example Image""></p>
","<p>Choice of the best compression method depends on your image content. If you're trying to save image with a lots of colors and smooth transitions between them, your choice would rather be JPEG. Otherwise, if you've got some lineart, text, image with a couple of colors you should try PNG instead.</p>

<p>Specific compression scheme, parameters, color reduction etc. depend on the specific case. There are some images you can safely save with JPEG compression ""slider"" set to 30 or 40 without making artifacts apparent. Some other require settings 80 or more. Your eye should be the judge.</p>

<p>When we speak about JPEG compression, don't hesitate to try to use e.g. ""Progressive"" option or to set ""Blur"" to non zero value (subtle blur can mask severe compression artifacts).</p>

<p>In the case of PNG, you should try to reduce ammount of used colors as much as possible (use PNG-8 for that). When some ""smoothing"" is required try different dithering algorithms.</p>

<p>Here is a couple of examples:</p>

<p><img src=""https://i.stack.imgur.com/o7i1e.jpg"" alt=""JPEG, Progressive, Quality: 40, Blur: 0.18"">
<img src=""https://i.stack.imgur.com/eQJFM.jpg"" alt=""JPEG, Optimized, Quality: 60, Blur: 0"">
<img src=""https://i.stack.imgur.com/DC0pQ.jpg"" alt=""JPEG, Progressive, Quality: 60, Blur: 0"">
<img src=""https://i.stack.imgur.com/9fDwu.png"" alt=""PNG-8, Dithering: diffuse, 256 colors""></p>

<p>Left to right, top to bottom, their parameters are:</p>

<ol>
<li>JPEG, Progressive, Quality: 40, Blur: 0.18, Size: 9 672 bytes</li>
<li>JPEG, Optimized, Quality: 60, Blur: 0, Size: 16 898 bytes</li>
<li>JPEG, Progressive, Quality: 60, Blur: 0, Size: 11 104 bytes</li>
<li>PNG-8, Dithering: diffuse, Colors: 256, Size: 4 528 bytes</li>
</ol>

<p>Compare them visually and then take a good look at their respective data sizes. First pair is about 9.7 kB vs. 16.9 kB. Second is 11.1 kB vs. 4.5 kB. All that by (IMHO) negligible visual difference.</p>
","8618"
"What's the pixel dimensions of a presentation slide for Open Office / Libre Office Impress?","233023","","<p>What's the dimensions of a presentation slide in pixels? </p>

<p>I'm having a hard time trying to get it right. I keep guessing and checking and it's taking too long. I googled some results and they're a bit off as well.</p>

<p>The other issue is that I'm using <code>.opd</code> format; the format proprietary to open office / libre office in windows 7.</p>

<p>I'm just trying to design a decent background for my presentation.</p>
","<p>Inside Libre Office / Open Office Impress</p>

<ol>
<li>File -> Export as JPEG</li>
<li>Open the .jpg export reveals the PX Dimensions</li>
</ol>

<p>1058px x 794px at 72 DPI</p>
","2758"
"Photoshop a low-res image to make it appear higher-res","232858","","<p>I want to enlarge an image to a bigger size. This will cause pixelation. So I want to apply some treatment to it in Photoshop that will suppress some of this pixelation. Of course I cannot generate new pixel information, only smoothen it etc. so that the pixelation is not so much apparent in full views and prints. Example, one effect popular with photographers is to copy the image into a second layer, set its blending mode to overlay or soft light etc., then apply a blur to it. This somewhat smoothens the image. But it also changes its appearance into a glowy kind of look (which is the aim, usually). I want a treatment that will fake the appearance of a higher-res smooth image without too many side-effects.</p>

<p>Any tricks of this kind that anyone knows of?</p>
","<p>In general, enlarge the image using Bicubic interpolation (sometimes, depending on the image, ""Bicubic Smoother"" works better, but usually straight Bicubic is more satisfactory), then either use Smart Sharpen to bring back the edge contrast, or copy the layer, set the blend mode of the copy to Overlay, and run <code>Filter &gt; Other &gt; High Pass</code>.</p>

<p>Sometimes you can get a better result if you increase the size by a smaller amount, apply a sharpen (not too much!), then increase it some more, apply another sharpen, etc., until you reach the size you want. This takes patience and a lot of trial and error to make it work for any give image, so I don't recommend it except in extreme cases, but once in a while it will allow you to push enlargement beyond where you can go without that intermediate sharpen.</p>

<p>My experience is that the best approach varies according to the image, the amount of upsizing and the result you're looking for. There is a limit to how far you can scale any image before the result becomes too fuzzy to be useful, and the definition of what is useful depends entirely on your application. For graphic design work it is almost never worthwhile to upsize an image more than about 10%.</p>
","5207"
"Flip type when its on a path, AI CS5","223094","","<p>I'm putting some type on a path, a circle; but when I do it, the type is upside down. How can I flip it so it reads the right way up? See image below:</p>

<p><img src=""https://i.stack.imgur.com/s9G0y.png"" alt=""Type upside down on a circle""></p>
","<p>I remember struggling with this in CS3. I think the same fix will still apply in CS5. </p>

<h2>So here's what to do...</h2>

<hr>

<ol>
<li>First you create the type as you did in your example.</li>
<li>You should see 3 small stripes outside of your circle. ( 2 with a small square on it, and 1 without the square) These are just indicators for where the text starts and ends
<img src=""https://i.stack.imgur.com/mHWZy.png"" alt=""enter image description here""></li>
<li>grab the selection tool, and drag the stripe without the dash inside of the circle.
<img src=""https://i.stack.imgur.com/RtMoX.png"" alt=""enter image description here""></li>
</ol>

<hr>

<p>now your type should be on the inside of your circle, and facing the right direction :D</p>

<p>Hope this helped ;)</p>
","7627"
"I can't save my files as a .png in Photoshop CS6","220809","","<p>Im creating an app icon for my iOS app, but there is no option for me to save my file as a <code>.png</code> file. The only format for app icons is a <code>.png</code> file. Does anybody know how to solve this?</p>
","<p>Ensure your document is 8-bit RGB. (<code>Image &gt; Mode</code>)</p>

<p>If that doesn't help, hold down the <kbd>Option/alt</kbd> key and choose <code>File &gt; Save as...</code> this will save a copy and remove any non-png allowed formatting.</p>

<p>Chances are there's simply something about the image which is not allowed in the PNG format. However, using <code>File &gt; Save for Web</code> should allow PNG saving in almost all cases. </p>

<p>You really haven't provided <strong>any</strong> details beyond <em>""My Adobe don't work.""</em></p>
","36046"
"How do I change a single layer to grayscale in Photoshop CS4?","216904","","<p>I know you can have the whole image turn grayscale: <code>Image &gt; Mode &gt; Grayscale</code>, but what if I only want to make specific layers grayscale? There's gotta be an easier way than pulling out the layers you want to turn grayscale to a new image, grayscaling, and then pasting them back in.</p>
","<p>Depends...on why you want to go greyscale. </p>

<p>To create identical layer in greyscale...</p>

<p><code>Layer &gt; Duplicate Layer &gt; Hue/Saturation &gt; DeSat</code></p>

<p>To create adjustable greyscale layer...</p>

<p><code>Layer &gt; Duplicate Layer &gt; New Adjustment Layer &gt; Hue/Saturation &gt; DeSat &gt; (when done) Merge Layer</code></p>

<p>For tons more control...</p>

<p><code>Layer &gt; New Adjustment Layer &gt; Black &amp; White</code> You can tweak every color channel in greyscale. Very cool.</p>

<p>For FABULOUS toning of B/W images with a little less work than B/W layer. (This is my secret, guard with your life)</p>

<p><code>Layer &gt; New Adjustment Layer &gt; Hue/Saturation &gt; Blend Mode Color:</code></p>

<p><code>Layer &gt; New Adjustment Layer &gt; Hue/Saturation &gt; Sat -100 &gt;</code></p>

<p>Go back to first Hue/Sat Layer (the one in color blend mode) double click on layer window to open then tweek the Hue. Viola, instant Zone system!</p>

<p>To answer your question, click on the layer you want to greyscale and use any of these methods, then select your adjustment layers and active layer and merge down through <code>Layer &gt; Merge Down</code> or on a Mac <kbd>Cmd</kbd>+<kbd>E</kbd>.</p>
","3757"
"Point vs Pixel: What is the difference?","214124","","<p>What is the difference between points and pixels?</p>
","<p>A pixel is a single square 'picture element' (hence pix-el), i.e. a single dot in your image. A 10x10 image is made up of a set of pixels in a grid 10 wide by 10 high, totaling 100 pixels.</p>

<p>The 'point' (pt) on the other hand is a unit of length, commonly used to measure the height of a font, but technically capable of measuring any length. In applications, 1pt is equal to exactly 1/72th of an inch; in traditional print <em>technically</em> 72pt is 0.996264 inches, although I think you'll be forgiven for rounding it up!</p>

<p>How many pixels = 1pt depends on the resolution of your image. If your image is 72ppi (pixels per inch), then one point will equal exactly one pixel.</p>
","207"
"How to import a picture file to an existing psd in Photoshop CS5?","209349","","<p>I need to import other picture file to an existing psd in Photoshop frequently. However,  I do only know one complicated way to do this: </p>

<ol>
<li><p>Open the file with Photoshop.</p></li>
<li><p><code>Windows-&gt;Float All in Windows</code></p></li>
<li><p>With Move select the imported file and drag it to the psd file with mouse.</p></li>
</ol>

<p>This method require floating all in windows. Are there any other better method to import picture file in Photoshop CS5?</p>

<p>Thanks.</p>
","<p>Hit File, then select Place. You can select files from the file manager and place them on the canvas.</p>
","531"
"How do I stop Illustrator from snapping to pixel increments?","206501","","<p>I am working in Illustrator (15.0.2 (CS5) or 16.0.0 (CS6)) and when I try to move objects small distances, they snap to the nearest two pixels on some invisible grid. I can't find anything in the preferences. Here are some screen shots:</p>

<p><img src=""https://i.stack.imgur.com/7IZF6.jpg"" alt=""move issue""></p>
","<p>For new objects, turn off ""Align to Pixel Grid"" on the Transform panel.</p>

<p><img src=""https://i.stack.imgur.com/yLj2b.png"" alt=""transform panel""></p>

<p>For existing objects, select them first, then turn off Align to Pixel Grid using the checkbox at bottom of Transform panel.</p>
","6007"
