title,viewcount,title,body,body,acceptedanswerid
"Honda Accord radio anti-theft code not working...what am I doing wrong and what should I do?","564734","","<p>I had to remove the battery so I can replace the driver's side low beam headlight.
I didn't bother to buy a settings saver because I found the security code in my Honda's packet (I bought this car used and luckily the owner was pretty organized with documentation and maintenance records).</p>

<p>Initially when I turned on the car...I see 1:01 on the clock. Then when I turned the radio on I see ""CODE"". So I used the preset buttons (1 ... 6) to punch in my code. However, every time I enter it I see ""Err"". First ""Err1"", then ""Err2""...then eventually ""Erre""!</p>

<p>I also went onto this website: <a href=""https://radio-navicode.honda.com/framepage.aspx?theme=Honda"" rel=""noreferrer"">https://radio-navicode.honda.com/framepage.aspx?theme=Honda</a>
to verify that I have the right security code (I used the radio serial number on the documentation card to retrieve the radio security code from the website) and indeed it is correct.</p>

<p>One other thing that I read to try is to hold down Preset 1 and Preset 6 buttons...and then turn the car on. Supposedly I should see the radio serial number displayed. However this did not work. I wanted to do this so that I can verify the radio serial number. I also wanted to do this because in case this radio has a different serial number I can use this serial to retrieve the security code from the website.</p>

<p>Now, I'm kind of stuck. Any Honda (2003 Accord) owners out there? What am I doing wrong? What should I do next?</p>
","<p>So, I called the dealer and they gave me more confidence that trying to get the serial number of the radio is the way to go.
The dealer suggested pressing 1 &amp; 6 on the radio again.</p>

<p>After MANY attempts of trying different ways to do this, I found the following to work:</p>

<ol>
<li>Turn on the car</li>
<li>Make sure the radio is off...if not off, turn off. Should just see the clock</li>
<li>Press and hold preset button 1 &amp; 6 down simultaneously for 15 - 20 seconds</li>
<li>While still holding those buttons, press the power button</li>
<li>You should now see ""U"" and a 4 digit number(ex: Uxxxx), then it should toggle and show ""L"" and a 4 digit numbers (ex:Lyyyy).</li>
<li>Your radio's serial number is xxxxyyyy</li>
<li>Now go to <a href=""https://radio-navicode.honda.com/framepage.aspx?theme=Honda"">https://radio-navicode.honda.com/framepage.aspx?theme=Honda</a>, enter the appropriate information to retrieve the access code!</li>
</ol>

<p>It turned out that the card that I have when I purchased this used car had the WRONG serial number and access code. I don't know if the previous owner had another Honda or not...maybe the card goes with another car.</p>
","7764"
"How should I remove a paint scuff on my vehicle?","518228","","<p>The painted edge of a side mirror on another car recently scraped the side of my vehicle, leaving a scuff of paint about half a meter long.</p>

<p>There is no indentation or scratch, but the other vehicle left its mark behind in a very difficult-to-remove paint scuff.</p>

<p>I can remove it by carefully scratching with fingernails, so I am sure it will come off, but I'm not sure how best to fully remove it, as any paint-removing chemicals surely will damage the coat I <em>don't</em> want to remove.</p>

<p>What do you recommend for removing paint scuffs like this?</p>
","<p>If it's deep enough that merely wiping it doesn't remove it, the scuff is deeper than just the very top surface of your paint.  First, try Meguiars Scratch-x with a microfiber cloth.  Rub it in. Try two or three passes to see if this removes the scuff mark.  Doing so by hand won't remove any of your paint unless its been compromised (cracked, flaking, peeling, etc).</p>

<p>If this doesn't work, have a pro detailer take a pass with an random orbital (or rotary if they know what they're doing) polisher + some compound.  This will take it right out and leave the paint pretty shiny.  The problem with this is, it will be shinier than the rest of your car and you may be tempted to just have them do the whole thing. </p>
","336"
"What actually happens when there is not enough oil in a car engine?","479952","","<p>When a car is topped up with oil, it clear to most people that you are supposed to fill it to the recommended amount as specified by the manufacturer (normally on a dip stick). </p>

<p><strong><em>What exactly are all of the disadvantages to running an engine when the oil becomes too low?</em></strong></p>
","<p>Engine oil does much more for an engine than lubricate. It provides cooling, cleaning, and a bunch of other chores. You already know engine function is degraded when you run out of oil. Let's see if we can run it down to make more sense for you how it happens. </p>

<p>Let's say, for lack of argument, your engine is running with very little to no oil. The engine oil light is on as the engine is running. Antifreeze is up to snuff, but that won't stop overheating for too long. Here is what happens:</p>

<p>As whatever limited oil is in the engine is pushed around, it becomes hotter and hotter. It becomes hotter because the oil isn't allowed enough time to cool down a little before it is required to go back into the engine and do its thing. As this happens, the oil will wear out faster. Fully synthetic oil will last longer than dino (refined) oil, but it will suffer defeat sooner or later as well. Several reactions happen to the oil, to include oxidation, thermal degradation, and compressive heating. Mind you, all of these things are created under normal use conditions (and thus the reason we change oils when we should), but under extreme conditions as you've suggested, <em>it all happens much faster</em>.</p>

<p>This is a great image which describes what happens from the <a href=""http://www.machinerylubrication.com/Read/475/oil-breakdown"">Machinery Lubrication website</a> -</p>

<p><a href=""https://i.stack.imgur.com/wTvDl.gif""><img src=""https://i.stack.imgur.com/wTvDl.gif"" alt=""enter image description here""></a></p>

<p>All of this breakdown creates the regular: tar; sludge; varnish; soot; etc. All of these things start depositing on the internals of your engine, such as the rings, bearings, cylinder walls ... anywhere oil would normally flow. If you go back to your chemistry teachings, you'll probably remember that a large portion of oil is carbon. All of the previously mentioned nasty substances are actually a carbon byproducts. As these carbon substances continue to deposit, any part which comes in contact with them gets wear on them as carbon can become quite hard and/or sticky under the right circumstances. This starts creating more friction on these parts. So now instead of cooling/lubricating/cleaning, the oil has broken down is now heating (due to more friction), creating deposits, and making the engine a <em>really filthy place</em>. You should realize it is now doing <em>everything</em> it was originally meant to replace. </p>

<p>Every machined surface within the engine is susceptible to the increased wear. As the oil continues to break down at an ever increasing rate, the temperature inside the engine on these machines surfaces continue to get hotter and hotter. Wear occurs faster and faster until something gives. Most of the times in these situations, the first thing to go is a rod or main bearing. If the backside of the rod bearing is strong enough when this happens, you can throw a rod. </p>

<p>Throwing a rod is basically where the friction on the bearing at the rod journal of the crankshaft is strong enough to overcome the strength of the rod itself and it has a catastrophic plastic deformation of the metal. The piston can go down the bore and will not return. It can go out the bottom and then gets flung around inside of the oil pan, or the rod itself will break and force itself and/or the piston out the side of the engine block. </p>

<p>At this point, there is no coming back from it (in most cases). The engine is done and will need to be replaced.</p>

<p>If you continue to run the engine with very low oil, <em>destruction will occur</em> ... and no ... I'm not being melodramatic about it.</p>

<p><strong>EDIT:</strong> Here are a couple of videos which describe what happens when you don't change the oil in your vehicle. This is what happens with oil when there isn't enough of it ... with lack of oil, it doesn't take 130k miles to look like this.</p>

<p><a href=""https://youtu.be/KC-SxrsgEwo"">https://youtu.be/KC-SxrsgEwo</a></p>

<p><a href=""https://youtu.be/oIkxlWpJ6bk"">https://youtu.be/oIkxlWpJ6bk</a></p>
","24563"
"what is the difference between DOT3 and DOT4 brake fluids?","422701","","<p>What is the difference between DOT3 and DOT4 brake fluids?</p>

<p>What could possibly go wrong if I use a (4 times cheaper) DOT3 brake fluid instead of the DOT4 which manufacturer recommends (but allows adding ""some"" DOT3 occasionally)?</p>

<p>What will happen if I just use only DOT3? </p>
","<p>If the manual is saying small amounts of DOT3 can be used, what they are most likely saying is if you find yourself with low brake fluid and only DOT3 is available, it is better to use that than to not have brake fluid.</p>

<p>Once you get back home though you need to get the recommended DOT4 back in the system by bleeding the system and filling with DOT4.</p>

<p>As already stated, DOT4 handles higher heat.  If your car is calling for DOT4, that means that the manufacturer does not feel comfortable that the braking system will not raise the brake fluid above a temperature that DOT3 can handle.</p>

<p>Another point to make here is there are two boiling temperatures for brake fluid, Dry and Wet.</p>

<p>When you've just replaced your brake fluid and the system has been properly bled, you are working at the Dry boiling temperature.  Over time, water works its way into the system through age, heat cycling, through the hoses, etc.  You are then working at your Wet boiling point for the fluid.</p>

<p>So again, if you get stuck in a spot where you need to put some new brake fluid into the system and all you have available is DOT3, most likely at that point your DOT4 has degraded some and the fresh DOT3 will be close to where the DOT4 is at, but this won't stay true, the DOT3 will degrade once in the lines so the above statement of replace it as soon as possible holds true.</p>
","1021"
"What causes an engine to burn oil?","408776","","<p>What are the different problems that can cause an engine to burn oil and in general how difficult / expensive is each one to repair?  How do you diagnose each potential cause?</p>

<p>I found this article which describes some of the problems:</p>

<p><a href=""http://www.agcoauto.com/content/news/p2_articleid/233"">Why Does My Engine Use Oil</a></p>

<p>I've seen three things so far:</p>

<ul>
<li>Bad Piston Rings</li>
<li>Bad PCV</li>
<li>Valve Guide Seals</li>
</ul>

<p>Regarding diagnosing oil consumption and smoke the above article says the following:</p>

<blockquote>
  <p>With older vehicles this was typically accompanied with a puff of
  smoke from the exhaust. With modern vehicles, the catalytic converter
  usually prevents smoke. Smoke in the exhaust is vaporized by the
  converter. Unfortunately, this may drastically raise the temperature
  and damage the converter, over time.</p>
</blockquote>
","<p>Towards the diagnosis end of things, there are some general guidelines to follow:</p>

<p>If you are seeing smoke coming from your exhaust, what color is the smoke? </p>

<ul>
<li>If it's blue, then it's oil </li>
<li>If it's black, it means you are running rich (too much fuel).</li>
<li>If it's white, the car may be burning antifreeze or (quite rare) auto-trans fluid.</li>
</ul>

<p>Since it's blue smoke you are seeing, you can know that oil is the problem. What can cause oil smoke?</p>

<ul>
<li><p>If the smoke only comes at start-up and quickly goes away, it can be valve seals and/or valve guides. This is because while the car sits for extended periods of time, the oil has time to seep past the valve seal and collect on top of the valve (or if the valve is in the open position, it could run past and on top of the piston). When you go to start your car, the oil is then burned, giving the tell tale puff of blue smoke. <strong>COST TO FIX:</strong> There is moderate cost involved with this, depending on the vehicle/engine. If just the seals, this can be accomplished most of the time with keeping the engine mostly together and replacing the seals. Most of the cost here is labor. If the valve guides, this requires an engine tear down. Your heads will have to be taken apart and new guides installed. There is a lot more labor here and a bit more in parts.</p></li>
<li><p>If you see smoke as you are decelerating, this too is a possible sign of valve seals and/or valve guides. This is because as you decelerate, there is a large vacuum build up within the intake tract. There is enough vacuum to pull oil past the valve seal if it's worn. <strong>COST TO FIX:</strong> Same as above.</p></li>
<li><p>If you see smoke while accelerating, this is a sign your oil control rings are worn. These are the bottom rings used in the ring pack. When they are worn (or the cylinders are worn past tolerance), oil can flow past the rings as the piston travels down the cylinder. The oil control rings normally will scrape the cylinder of the oil, pushing it back down into the crank case. <strong>COST TO FIX:</strong> There fix is quite expensive, as it requires a complete engine rebuild to fix.</p></li>
<li><p>If a PCV is bad, you normally won't see burning oil. What you'll see is seals and gaskets failing. This can cause a loss of oil (and a very dirty engine bay). It's one of those things which can sneak up on you if you aren't paying attention. While a bad PCV is not a good thing, don't look here for a reason you're seeing oil smoke coming out the tail pipe. <strong>COST TO FIX:</strong> If you catch it before it becomes an issue, it's actually quite cheap to fix ... just replace the valve. If you see leaks at seals or gaskets, your expense goes way up, but it depends on which seal or gasket is leaking. Easy to get to seals or gaskets will cost much less, because the labor is much less. The converse holds true - Labor is a determining factor here.</p></li>
<li><p>If you are seeing blue smoke which goes away after an oil change, but slowly comes back as you get closer to your scheduled maintenance, this could be a sign you have an internal fuel leak which is thinning the oil. As the oil gets thinner it passes by the oil control rings easier, causing your vehicle to smoke. An easy way to check this is by pulling the dipstick and smelling the oil. If you smell fuel, this may be the issue. This can be caused by an injector which is stuck open, or possibly an internal failure of a fuel pressure valve which would allow the gas to escape to where it doesn't belong. <strong>COST TO FIX:</strong> Diagnosis of what is going on will take a little bit of money. This could be a very low cost fix, to a moderate cost, depending on the actual cause. </p></li>
</ul>

<p>If you are not seeing smoke, but you're seeing the oil drop lower and lower as time moves on, this may be a ""sort of"" normal oil usage in your vehicle. Take for instance my '06 Chevrolet Silverado. Its engine is an LS variant. As these engines get up in age, it is common for them to use more oil. You don't see it from the exhaust, but it uses it up, none the less. The engine still runs great and the gas mileage has stayed about the same. </p>

<p>Your vehicle could also be losing oil via leakage (or seepage). As engines get up in mileage, this is a very common thing. If you see spots on the driveway where you park the car, this could very well be the issue. Be mindful that vehicles will loose more oil during operation than they will just sitting in your driveway.</p>

<p><strong>EDIT:</strong> In deference to your edit - I can see where an up-to-temperature catalytic convertor might make some difference in smoke from the tail pipe. This does not hold true, though, for start-up smoke (puff of blue smoke), as the cat is not hot enough to make a difference. It also won't make any difference once the catalyst is covered in oil suit or if there is too much oil for the cat to deal with. Sooner or later when oil gets burnt in this manner, you'll see the blue smoke. You probably have to put new cats on at that point, as well.</p>
","12654"
"Should I resurface or replace my rotors everytime I replace brake pads?","383597","","<p>I have heard it is proper practice to replace or resurface your brake rotors every time your do a brake pad replacement.  Does this need to be done every single time or is it overkill?  Maybe it is just something easy to do, might as well replace while you are in there type of thing?</p>
","<p>The decision to replace is largely based on the thickness.  The repair manual should tell you the minimum thickness, below which you should replace the rotors when doing the repair.  Use a pair of calipers and measure the rotor thickness, if you're below this number you need to replace the rotors.</p>

<p>You may also wish to replace the rotors if you have particularly heavy use planned and you are getting close to the limit.  For example, if you live in the mountains, do a lot of towing, are planning to attend track days...</p>

<p>You definitely need to get them resurfaced if they are warped or damaged.  Usually you can feel if they are warped through the brake pedal when stopping -- instead of a smooth stop it will kind of vibrate or pulsate when braking at higher speeds.  It's very noticeable.  This can be measured with a dial gauge and checked against the repair manual's recommendations for ""runout"".  You will need a dial gauge, and some sort of a mount to hold the gauge steady while you spin the rotor.</p>

<p>Damage is usually caused by the old brake pads wearing completely through and tend to leave a very rough surface on the disc.  These should definitely be turned, if possible.</p>

<p>Before having a damaged or warped set of rotors turned, check their thickness.  If they're close to the minimum, resurfacing them will leave you with rotors that are too thin.</p>

<p>If you're at this point, you should have rotors that are thick enough and not damaged.  Many people recommend resurfacing of them so the pads and rotors can better mate and wear into each-other.  I tend to agree with this, but I have replaced pads on cars that I drive less spiritedly without resurfacing them, and have not had problems.</p>
","93"
"Steering wheel shakes at high speeds","375413","","<p>the steering wheel sometimes shakes at high speeds around 70 miles per hour. It does not always happen. Some day when I am driving at 70, I feel no shakes. some day it shakes badly at the same speed. Also, if I drive slower or faster a speed range (usually between 68 and 75), it never shakes.</p>

<p>I did the following, but still the wheel shakes sometimes:</p>

<ol>
<li>I had the left wheel bearing replaced a month ago. The mechanic told me it needs to be replaced. </li>
<li>Tires are fine (not perfect, but not bad either). I had them rotated a month ago.</li>
<li>I had the front rotars and pads replaced a month ago. When I brake, it does NOT shake.</li>
</ol>

<p>This shaking wheel problem has been around for quite some time (almost two years). What service does the car need?</p>

<p>Update: I had the tires balanced, and it is a little bit better now. It is not perfect yet. I was told that the tires are kinda cheap, low quality tires that are not perfectly round. </p>
","<p>Issues involving steering wheel vibrations problems <em>usually</em> are most noticeable at one or two narrow speed ranges (5-10mph and 60-70mph), and will decrease significantly, and in some cases, even disappear outside of these ranges. The amount of vibration caused by worn tires will often be seen over a broader speed range if the tire is worn more. The severity of the vibration is directly related to the vehicles speed. Also, the speed range at which the vibration is felt is also directly related to the amount of wear the tires have endured. At low speeds sometimes a ""wobbles"" can be felt. These are mostly caused by bent wheels, tires with shifted belts (also referred to as ""runout""), and suspension/alignment issues.</p>

<ul>
<li><p><strong>Tire or Wheel</strong></p>

<ul>
<li><em>Quality</em>

<ul>
<li>A quick indication of either a poor quality wheel or tire is usually seen by the use of a lot of weights used when balancing the wheel/tire combination. When using a higher end tire on a ""straight"" wheel you should need somewhere around .5oz of weight per wheel. Tires of inferior quality are often seen with weaker tread layers and belt seating. and may simply just be out of round.</li>
</ul></li>
<li><em>Damage</em>

<ul>
<li>Broken Belt

<ul>
<li>When a belt is broken inside of a tire it will cause the tire to ""bounce"" since it is unable to keep it's form. Think of a tire without a broken belt as a baseball, and the tire with a broken belt as a stress ball. Below is an image of a tire with a broken belt. You can see the bottom of the tread is 100% worn while the top of the tire still has tread left. This was caused by the ""bouncing"" condition.
<img src=""https://i.stack.imgur.com/2hlYk.jpg"" alt=""enter image description here""></li>
</ul></li>
<li>Slipped Belt

<ul>
<li>With a slipped belt in a tire it will cause the tire to ""wobble"" and the steering wheel to shake. Here is a image of a severely slipped belt.
<img src=""https://i.stack.imgur.com/NylA5.jpg"" alt=""beltslip""></li>
</ul></li>
</ul></li>
</ul></li>
<li><p><strong>Wheel Balance</strong> <em>(out of round, bent, excessive wear, uneven tread, etc)</em></p>

<ul>
<li>Usually, neither tires nor wheels are perfect. This is the reason why wheels are balanced whenever tires are replaced and then, rebalanced periodically as they wear. Driving with unbalanced wheels long enough can and will cause flat spots in the tire, which will then always vibrate. Performing a static balance is just not good enough. Balance should always be checked at driving speeds this is known as dynamic balancing. The wheels are removed from the vehicle and one by one put on a Balancing Machine where the mechanic will enter in the appropriate measurements and then the machine will spin the wheel and printout location and amount of weight needed in order to properly balance the wheel. Also, if the wrong type of weights for your wheel type are used, they are likely to come off, giving you an instant balance problem.
Read more: <a href=""http://mbworld.org/forums/wheels-tires-suspension-brakes-forum-sponsored-tire-rack/111691-causes-wheel-vibration.html#ixzz2agpFwcz5"" rel=""noreferrer"">http://mbworld.org/forums/wheels-tires-suspension-brakes-forum-sponsored-tire-rack/111691-causes-wheel-vibration.html#ixzz2agpFwcz5</a></li>
</ul></li>
<li><p><strong>Suspension &amp; Alignment</strong></p>

<ul>
<li><em>Suspension</em>

<ul>
<li>Excessively worn suspension components will cause effect the way in which the tire contacts the road. This is due to the fact that if any component (ball-joint, tie-rod, wheel bearing, etc) has excessive play it makes the position  because it may make maintaining proper alignment impossible. It may also cause other problems not related to wheel balance and wear.</li>
</ul></li>
<li><em>Alignment</em>

<ul>
<li>Maladjusted Camber will <em>not</em> directly cause a vibration, but it <em>can</em> cause uneven and/or rapid tire wear. In turn effect the balance/smoothness of a tires rotation. A lot of mechanics will <em>insist</em> that an improper toe adjustment will <em>not</em> be the cause of a steering wheel vibration, but I remain skeptical. Even if I'm wrong it <em>will</em> still certainly causes rapid and uneven tire wear. Caster has no effect on tire wear <em>but</em> it will effect steering wheel's ability to return after making a turn. Bad alignment is the cause of many tread wear problems that will create vibration issues even if the wheels are perfectly balanced.</li>
</ul></li>
</ul></li>
</ul>
","6446"
"What is the difference between normal, platinum, iridium plugs?","373889","","<p>What is the difference (besides price) between normal, platinum, and iridium spark plugs?</p>
","<p>Copper conducts better and is generally used in higher-performance/modified engines. In dedicated race cars resistor-less copper plugs are used.</p>

<p>Iridium and platinum plugs are chosen for their longevity only. You <em>shouldn't</em> gap iridiums because of potential damage to the tips. For that reason and their inferior conductivity, they aren't used in modified engines. Keep in mind their price, as well.</p>

<p>Any claims of more power or fuel efficiency of one type over another are pretty much baseless unless you were using the wrong plugs to begin with. Stick with what your owner's manual calls for unless you have a reason to upgrade/modify. For example, if you have a turbocharged car but are running more boost you might gap your plugs a little smaller to accommodate. The claims by parts stores to upgrade to the Triple-Spark Ultimate Unobtainium plugs are just upsells.</p>
","3629"
"When do brake rotors really need to be replaced?","342789","","<p>I need to replace my rear brake pads.  A mechanic suggested I also replace my rotors because they are rusted around the edges.  The rotors are in fact quite rusted, however, there is no rust on the actual surface that touches the pads.  Running my fingers over the surface of the rotors, there does not appear to be any buildup of brake pad deposits and the surface is relatively smooth.  There is however one small circular scratch around one of the rotors.  While the pads are ready to be replaced, they are still within standard tolerances, so it's not like there is metal-on-metal going on.  The mechanic warned that replacing the pads without replacing the rotors at the same time would be a waste because the rusted rotors will just eat up the new pads.  I find that hard to believe given that the rust is just on the extreme edges of the rotors, which are parts that do not appear to touch the pads.  The brakes do not appear to make any abnormal noises at all.  Therefore, according to <a href=""https://mechanics.stackexchange.com/questions/3340/how-do-i-know-if-i-need-new-brakes"">this post</a>, it doesn't seem like the rotors need to be replaced.</p>

<p><strong>Is rust on the parts of the rotors that do not touch the pads enough to require replacement?</strong>  Is there a way I can tell on my own if they need replacement?</p>
","<p>It's not required that you replace your brake rotors at the same time you replace your brake pads, but there are many reasons why it's highly recommended.</p>

<p>Primarily, it's not the rust you should worry about, there most likely always going to be some rust around the edges, that's not at all out of the ordinary. The main problem is that your rotors are most likely grooved, and putting fresh pads on grooved rotors is going to wear the pads faster. Using those grooved brake rotors could also cause your wheels to wobble once you add new brake pads.</p>

<p>This is one of those instances where it makes more sense to spend a little more money to eliminate the possibility of a huge headache down the road. It's up to you whether you want to gamble.</p>
","6207"
"What is the pin or keycode for ELM327 bluetooth OBDII adapter?","312846","","<p>The infamous ELM327 OBDII device came without any paper, just a crappy CD with no document related to the device (only some software and drivers thrown on the CD almost randomly).</p>

<p>I tried the following codes without being able to pair it with my HTC Desire HD:</p>

<ul>
<li><code>0000, ..., 9999</code></li>
<li><code>1234, 2345, 3456, 4567, 5678, 6789, 7890</code></li>
</ul>

<p>What other PINs should I try?</p>
","<p>Is it the one pictured at the <a href=""http://www.elm327-bluetooth.com/"" rel=""nofollow"">Elm327 Bluetooth</a> website?  </p>

<p>If so then the passcode should be 1234 although technically they say that the passcode is </p>

<blockquote>
  <p>"" 1234 ""</p>
</blockquote>

<p>It's been a while since I paired a bluetooth device but I think you only get 4 digits to work with, not 6, and I think only numerics are allowed so no spaces either, which brings us back to ""1234""... which you've already tried.<br>
Have a read over the website above and check out the Bluetooth User Manual page, the instructions don't exactly match connecting to a phone like you are trying to do, but maybe they'll give a clue to a step you might have missed or something.<br>
Sorry I couldn't be of more help.</p>
","2347"
