title,viewcount,title,body,body,acceptedanswerid
"How to correct a mistake made when writing a check?","245438","","<p><em>I think I know the answer to this, but I'm not sure, and it's a good question, so I'll ask:</em></p>

<p><strong>What is the accepted/proper way to correct a mistake made on a check?</strong></p>

<p>For instance, I imagine that in any given January, some people accidentally date a check in the previous year.</p>

<p>Is there a way to correct such a mistake, or must a check be voided (and wasted)?  Pointers to definitive information (U.S., Canada, and elsewhere) are helpful.</p>
","<p>From working in a bank:
Void the check and write a new one.</p>

<p>Any change, even if initialed, could be considered suspicious, and cause for the bank to refuse to accept the check (they may still accept it at their discretion).  It's better to be safe than sorry, so write out a new check that is correct.</p>
","5454"
"Should I pay off my credit card online immediately or wait for the bill?","228469","","<p>I'm a college student and I just got my first credit card (through Chase). The only reason I got the card is to try and build my credit score. I also have a checking account with Chase, and they let me pay off my credit card any time I want.</p>

<p>For example, right now I have a balance of $92 on my credit card, but my bill won't come until September 2, and the payment isn't actually due until September 27. But through their website I could go ahead and pay it off with money from my checking account.</p>

<p>My question is, is it better for my credit score if I pay off that $92 balance right now, or should I wait for the bill, or does it not matter either way?</p>
","<p>It does not matter.
Your credit score is affected by late payments, by credit usage and by age of credit.</p>

<p>DO NOT PAY LATE. </p>

<p>Paying early is only good in that it means you don't pay late.</p>

<p>Your credit usage is calculated by percentage of the credit you have that you actually use.  Keep your usage to under 20% of your limit and you look great as a credit risk as you have lots of buffer. </p>
","3052"
"Can I trust the Motley Fool?","219800","","<p>A while back I checked out <a href=""http://www.fool.com"">The Motley Fool</a> while doing some research on mutual funds. I found their educational content to be a great overview of what to look for and started exploring. While The Motley Fool has a lot of great content, I'm not entirely comfortable with their incessant up-selling. </p>

<p>They always so eager to tell me about some ""insiders"" stock of the day that they are sure is just about to explode tomorrow if only I will give them some of my valuable personal information. Is this a scam? Are they just using their legacy educational content to bait people into their premium services? Are their premium services even any good? The Motley Fool once had a fair amount of Internet street cred.</p>

<p>Are The Motley Fool's stock picks and services worth giving any mind share to or are they just another Jim Cramer loudly shouting ticker symbols to sell advertisements?</p>
","<p>The Motley Fool is generally regarded as relatively legit, at least in that they're not likely to do anything outright fraudulent and they definitely have reasonably in-depth content to provide you. </p>

<p>The Motley Fool makes a fair amount of money off the subscriptions, though, and they do hawk them quite violently. If I didn't have a generally good opinion of them to begin with, I'd have been completely put off as well. It's pretty shameful.</p>

<p>I don't think it's worth hundreds of dollars a year, but then again, I don't look at investing as a second career like the Fool likes to suggest, either.</p>
","6352"
"How do I send money from account to account using an ATM, within India?","217745","","<p>I would like to know how to transfer money from an account to another account, using an ATM within India, which banks allow to transfer money.</p>

<p>If we cannot transfer money from account to account in India, how can I send money online within India without confirmation of account such as required by Paypal. Is there any other service known to you which allow such kind of service.</p>

<p>I am not able to use paypal because they send two small amount of money for confirmation of bank account,since I don't know how much money has been put by paypal as I don't have passbook and I have to go to bank which is not possible, similar is the case of my friend who wants money to be transferred.</p>

<p>What can be done?</p>
","<p>ATM to ATM transfer is not possible. Do you mean to say account to account transfer using an ATM machine?  </p>

<p>Online transfer between account or between an account and credit card is possible.<br>
Almost every Bank offers Online transfers using Internet Banking.  </p>

<p>The person wishing to initiate a Debit must subscribe to Internet Banking. Once you login to Internet Banking, you would need to add beneficiary Account [account where you need to transfer funds]. Adding of Beneficiary at times takes a Day for the Beneficiary to be activated. Once the Beneficiary is activated, you can transfer funds. The funds are credited to Beneficiary account within 2 hrs.</p>

<p>If the both the accounts are in same bank, then some Bank's ATM's [HDFC / Citi etc] allow you to transfer funds between account using the Bank's ATM. </p>
","12517"
"Ontario harmonized sales tax (HST) transition benefit rebate cheques / OSTTB: Who, when, how much?","191151","","<p>As part of <a href=""https://money.stackexchange.com/questions/65/when-does-ontarios-hst-come-into-effect"">introducing the HST this July 1st, 2010</a>, the government of Ontario promised to issue special HST rebates to people meeting certain criteria, in order to ease the transition to the new tax.</p>

<ul>
<li>Who will receive the special HST rebates?</li>
<li>How much are the special HST rebates worth?</li>
<li>When will the special HST rebate cheques be mailed?</li>
<li>Should those entitled do anything to ensure they receive their rebates?</li>
<li>In the case of a couple, who are the rebate cheques made payable to?</li>
</ul>

<h2>ANSWERS ARE BELOW.</h2>

<p><strong>Got a follow-up question?&nbsp; First, <a href=""https://money.stackexchange.com/questions/tagged/hst"">browse more HST-related questions by clicking here</a>.<br>
If after browsing you find your question wasn't asked already, click ""Ask Question"" at the top of the page.  Thanks!</strong>
<br></p>
","<p>I found the information I was looking for at the <strong>Ontario Ministry of Finance.</strong> Refer to <a href=""http://www.fin.gov.on.ca/en/budget/ontariobudgets/2009/chpt3.html#table2"" rel=""nofollow noreferrer"">table 2 in the Ontario Budget 2009: Chapter III: Reforming Ontario's Tax and Pension Systems</a>.  Here's an excerpt with my emphasis added:</p>

<blockquote>
  <p><img src=""https://i.stack.imgur.com/aSAjx.png"" alt=""Table 2 - Ontario Sales Tax Transition Benefit"">  </p>
  
  <p><strong>Benefits would be delivered to
  eligible Ontario tax filers aged 18
  and over in each of June 2010,
  December 2010 and June 2011, totalling
  a maximum of $300 for single people
  and $1,000 for single parents and
  couples.</strong> Each maximum benefit would be
  reduced by five per cent of the
  recipients’ previous year’s adjusted
  family net income over $80,000 for
  single individuals and over $160,000
  for families. <strong>To qualify for the two
  benefits in 2010, a 2009 tax return
  would have to be filed, and a 2010 tax
  return would have to be filed for the
  June 2011 benefit.</strong> About 6.5 million
  individuals and families in Ontario
  would receive sales tax transition
  benefits.</p>
  
  <p>A single person with no children and
  income of up to $80,000 would receive
  a benefit of $100 in each of June
  2010, December 2010 and June 2011. The
  maximum benefit would be reduced by
  five per cent of income over $80,000,
  so a single person with income of
  $81,000, for example, would receive
  three benefits of $50 each. Single
  people with income over $82,000 would
  not receive a benefit.</p>
  
  <p>A family with income of up to $160,000
  would receive three benefits: $330 in
  June 2010, $335 in December 2010 and
  $335 in June 2011. The maximum
  benefits would be reduced by five per
  cent of family income over $160,000,
  so a family with income of $163,000,
  for example, would receive one benefit
  payment of $180 and two benefit
  payments of $185 each. Families with
  income over $166,700 ($166,600 for the
  June 2010 benefit) would not receive a
  benefit.<br>
  ...</p>
</blockquote>

<p>On the last point now in the question, regarding who gets the rebates in the case of a couple, I found the answer at the Ontario Ministry of Revenue (second link below):</p>

<blockquote>
  <p>To qualify for the OSTTB, you are required to file a 2009 income tax return for the June
  2010 and December 2010 payments, and a 2010 return for the June 2011 payment. If both
  you and your spouse or common-law partner file a tax return, <strong>the benefit payments will
  be made to the individual whose return is assessed by the CRA first.</strong></p>
</blockquote>

<p>Information at the Ontario Ministry of Revenue:</p>

<ul>
<li><a href=""http://www.rev.gov.on.ca/en/taxchange/families.html#transitionpay"" rel=""nofollow noreferrer"">Tax Benefits for Families</a>, and</li>
<li><strong><a href=""http://www.rev.gov.on.ca/en/credit/sttb/index.html"" rel=""nofollow noreferrer"">Ontario Sales Tax Transition Benefit</a> &nbsp;&larr;</strong> <em>good definitive information here!</em></li>
</ul>

<p>Here's some of the basic eligibility information from the second link (OSTTB) just above:</p>

<blockquote>
  <p>For the June 2010 benefit payment you
  must:</p>
  
  <ul>
  <li><p>be a resident of Canada on
  December 31, 2009 and file a 2009
  income tax return by April 30, 2011;
  or if you were not a resident of
  Canada on December 31, 2009, provide a
  statement of 2009 world income to CRA,
  by April 30, 2011</p></li>
  <li><p>be 18 years of age or older or
  have a spouse or common-law partner or
  live with your dependant child on May
  31, 2010</p></li>
  <li><p>be a resident of Ontario on May
  31, 2010.</p></li>
  </ul>
  
  <p>... etc ...</p>
</blockquote>

<h3>So, <i>file your income tax return</i> to make sure you're in the system for the OSTTB rebates!</h3>

<p><br>
If you haven't filed your income tax return for 2009 yet, you can download the Ontario income tax forms package at <a href=""http://www.cra-arc.gc.ca/formspubs/t1gnrl/on-eng.html"" rel=""nofollow noreferrer"">Canada Revenue Agency - Ontario - 2009 General Income Tax and Benefit package.</a>.  </p>

<p>Canada Revenue Agency also has a good list of <strong><a href=""http://www.cra-arc.gc.ca/bnfts/rltd_prgrms/fq_sttb-eng.html"" rel=""nofollow noreferrer"">Ontario Sales Tax Transition Benefit Questions and Answers</a></strong> available.  Check it out!</p>

<p><br>
<strong>Got a follow-up question?&nbsp; First, <a href=""https://money.stackexchange.com/questions/tagged?tagnames=hst&amp;sort=active&amp;pagesize=50"">browse more HST-related questions by clicking here</a>.<br>
If your question wasn't asked already, click ""Ask Question"" at the top of the page.  Thanks!</strong></p>
","1298"
"What happens if I deposit a check and forget to endorse it with my signature on the back?","184757","","<p>What if I deposit a check into a Bank of America ATM but forget to endorse it with my signature on the back of the check?</p>
","<p>If a bank employee catches it then typically they would call you and ask you to come in to sign the check. If they can't get a hold of you they would probably mail it back to you. There is a chance that they won't catch in which case it would just be deposited into your account like any other check.</p>
","10571"
"What is the purpose of endorsing a check?","161984","","<p>Why do you need to sign a check on the back when you deposit it to your account?</p>
","<p>I actually had to go to the bank today and so I decided to ask.</p>

<p>The answer I was given is that a check is a legal document (a promise to pay).  In order to get your money from the bank, you need to sign the check over to them.  By endorsing the check you are attesting to the fact that you have transferred said document to them and they can draw on that account.</p>
","3681"
"Why is there a delay on credit card transactions showing up on my online statement?","150648","","<p>If I make a purchase with my credit card there is a delay of a few days before it shows up on my online statement.</p>

<p>If I make a purchase with my debit card it usually is displayed that day.</p>

<p>Why the delay with a credit card statement?</p>
","<p>It all depends on the merchant. When you charge your card the information goes through but it waits for the merchant to send the info/confirm the charge before it shows up on your online activity.</p>

<p>For example: I use Intuit to accept CC payments. When I charge an Amex the info is sent to Amex on the spot which is why your credit limit updates immediately but Amex then waits for a confirmation. Intuit actually handles the entire process which is probably how all CC processing services work.</p>

<p>When you use your debit card in a debit transaction you are withdrawing cash from your checking account, which is in part why debit transactions do not have the same security as credit.</p>

<p>Another note about debit cards and referring to mhoran_psprep comment - <code>""it takes 2 or three days for the debit card transaction to appear""</code> this is because you are using your debit card as a credit transaction, many bank cards offer this and it can come with added benefits. See - <a href=""http://moneyning.com/credit-cards/credit-vs-debit-transactions-with-your-atm-card/"">Credit vs Debit Transactions with Your ATM Card</a> </p>
","15999"
"Can foreigners holding US tourist visa create a bank account in USA?","146049","","<p>I am not a US citizen and want to visit USA as a tourist. </p>

<p>Since withdrawing money from my home-country bank account will cost much, it is better to open an new bank account in US (after arriving) and  transfer some money from my home-country bank account to it.</p>

<p>The money is not too  much, less than 50 thousand us dollars.</p>

<p>Can foreigners holding US tourist visa create a bank account in USA?</p>
","<p>The answer is, unfortunately, along the lines of ""it depends"". It does depend a little on the bank - I've had a US bank account for years before moving to the US, and I didn't have an SSN or any status when I opened the account. What I did have however was an address in the US that they could send the statements to, and proof that I was living abroad (oh, and US citizen wife that had an account with the same bank).</p>

<p>Not all banks will open a bank account for a foreigner with no status in the US, but it is generally possible. You will have to check with several banks and basically have paperwork showing your foreign address and proof of id (passport, possibly a drivers license as well).</p>
","7673"
"Are BIC and SWIFT code the same things?","140994","","<p>I'm helping a friend with submitting an expenses claim to a US organisation we're both involved with. As the money is coming from a US bank, we can't just give them an IBAN and a BIC and be done with it. Instead, we've got to supply full swift details.</p>

<p>My bank publishes <a href=""http://www.lloydstsb.com/contact_us/frequently_asked_questions_contact_us.asp#swift"">their swift code</a>. Comparing that to the BIC on my statement, it's similar, but different. (The BIC I've been told is 3 characters longer, and the 4th character from the end is not the same as the last character in the Swift code.)</p>

<p>Answers.com <a href=""http://wiki.answers.com/Q/What_is_the_difference_between_SWIFT_and_BIC_codes"">claims</a> that Swift and BIC codes are the same thing, and that's what my friend was told when she asked her bank for its swift details. My bank however disagrees...</p>

<p>That makes me think that some banks have their Swift and BIC codes be the same, but that isn't required. Anyone know if that's the case?</p>
","<p><a href=""http://en.wikipedia.org/wiki/IBAN"" rel=""noreferrer"">IBAN</a> -> is International Bank Account Number. The number is constructed in such a way that it uniquely identifies your account in the world. I.e. it has a country in it, Bank (and branch) and the actual account number. This is an international standard adopted by the EU, Australia and NZ. Going forward it would be sufficient to just quote the IBAN for payment without any other details.</p>

<p>BIC, <a href=""http://en.wikipedia.org/wiki/SWIFT_Code"" rel=""noreferrer"">SWIFT Code</a>, SWIFT BIC, SWIFT ID [all mean the same] is a Bank Identifier Code [More correctly Business Identifier Code] that is again an International standard and used on all International payments. The SWIFT BIC is constructed as  </p>

<ul>
<li>4 Chars Bank Code [As issued by SWIFT]   </li>
<li>2 Chars of Country Code [ISO Country Code standard]   </li>
<li>2 Chars of Location Code [Issued by SWIFT in consultation with country]   </li>
<li>3 Chars of Branch Code decided by the individual Bank [This is optional]</li>
</ul>

<p>Hence SWIFT BIC can be 8 Chars or 11 Chars. The additional 3 Chars help bank identify the Branch where the account is held and where the payment needs to be made.</p>

<p>So LOYDGB2L is the main head office </p>

<ul>
<li>BIC LOYD-> Lloyds TSB</li>
<li>GB-> Great Britain</li>
<li>2L->London</li>
</ul>

<p>If your branch is, say, in Canary Wharf, the SWIFT BIC would be LOYDGB21 [21-> Canary Wharf] with a 3 digit branch added.</p>
","8718"
