title,viewcount,title,body,body,acceptedanswerid
"How do you calculate the prefix, network, subnet, and host numbers?","383465","","<p>Example:</p>

<p>IP: 128.42.5.4</p>

<p>In binary: 10000000 00101010 00000101 00000100</p>

<p>Subnet: 255.255.248.0</p>

<p>How could you determine the prefix, network, subnet, and host numbers?</p>
","<h2>Calculating the Netmask Length (also called a prefix):</h2>

<p>Convert the dotted-decimal representation of the netmask to binary.  Then,  count the number of contiguous 1 bits, starting at the most significant bit in the first octet (i.e. the left-hand-side of the binary number).</p>

<pre><code>255.255.248.0   in binary: 11111111 11111111 11111000 00000000
                           -----------------------------------
                           I counted twenty-one 1s             -------&gt; /21
</code></pre>

<p>The prefix of 128.42.5.4 with a 255.255.248.0 netmask is /21.</p>

<h2>Calculating the Network Address:</h2>

<p>The network address is the logical AND of the respective bits in the binary representation of the IP address and network mask.  Align the bits in both addresses, and perform a logical AND on each pair of the respective bits.  Then convert the individual octets of the result back to decimal.</p>

<p>Logical AND truth table:</p>

<p><img src=""https://i.stack.imgur.com/e5tIQ.png"" alt=""Logical AND""></p>

<pre><code>128.42.5.4      in binary: 10000000 00101010 00000101 00000100
255.255.248.0   in binary: 11111111 11111111 11111000 00000000
                           ----------------------------------- [Logical AND]
                           10000000 00101010 00000000 00000000 ------&gt; 128.42.0.0
</code></pre>

<p>As you can see, the network address of 128.42.5.4/21 is 128.42.0.0</p>

<h2>Calculating the Broadcast Address:</h2>

<p>The broadcast address converts all host bits to 1s...</p>

<p>Remember that our IP address in decimal is:</p>

<pre><code>128.42.5.4      in binary: 10000000 00101010 00000101 00000100
</code></pre>

<p>The network mask is:</p>

<pre><code>255.255.248.0   in binary: 11111111 11111111 11111000 00000000
</code></pre>

<p>This means our host bits are the last 11 bits of the IP address, because we find the host mask by inverting the network mask:</p>

<pre><code>Host bit mask            : 00000000 00000000 00000hhh hhhhhhhh
</code></pre>

<p>To calculate the broadcast address, we force all host bits to be 1s:</p>

<pre><code>128.42.5.4      in binary: 10000000 00101010 00000101 00000100
Host bit mask            : 00000000 00000000 00000hhh hhhhhhhh
                           ----------------------------------- [Force host bits]
                           10000000 00101010 00000111 11111111 ----&gt; 128.42.7.255
</code></pre>

<h2>Calculating subnets:</h2>

<p>You haven't given enough information to calculate subnets for this network; as a general rule you build subnets by reallocating some of the host bits as network bits for each subnet.  Many times there isn't one right way to subnet a block... depending on your constraints, there could be several valid ways to subnet a block of addresses.</p>

<p>Let's assume we will break 128.42.0.0/21 into 4 subnets that must hold at least 100 hosts each...</p>

<p><img src=""https://i.stack.imgur.com/wHlF8.png"" alt=""subnetting""></p>

<p>In this example, we know that you need at least a /25 prefix to contain 100 hosts; I chose a /24 because it falls on an octet boundary.  Notice that the network address for each subnet borrows host bits from the parent network block.</p>

<h3>Finding the required subnet masklength or netmask:</h3>

<p>How did I know that I need at least a /25 masklength for 100 hosts?  Calculate the prefix by backing into the number of host bits required to contain 100 hosts.  One needs 7 host bits to contain 100 hosts.  Officially this is calculated with:</p>

<p><em>Host bits</em> = Log<sub>2</sub>(Number-of-hosts) = Log<sub>2</sub>(100) = 6.643</p>

<p>Since IPv4 addresses are 32 bits wide, and we are using the host bits (i.e. least significant bits), simply subtract 7 from 32 to calculate the minimum subnet prefix for each subnet... 32 - 7 = 25.</p>

<h3>The lazy way to break 128.42.0.0/21 into four equal subnets:</h3>

<p>Since we only want four subnets from the whole 128.42.0.0/21 block, we could use /23 subnets.  I chose /23 because we need 4 subnets... i.e. an extra two bits added to the netmask.</p>

<p>This is an equally-valid answer to the constraint, using /23 subnets of 128.42.0.0/21...</p>

<p><img src=""https://i.stack.imgur.com/nKRVg.png"" alt=""subnetting, 2nd option""></p>

<h2>Calculating the host number:</h2>

<p>This is what we've already done above... just reuse the host mask from the work we did when we calculated the broadcast address of 128.42.5.4/21...  This time I'll use 1s instead of <code>h</code>, because we need to perform a logical AND on the network address again.</p>

<pre><code>128.42.5.4      in binary: 10000000 00101010 00000101 00000100
Host bit mask            : 00000000 00000000 00000111 11111111
                           ----------------------------------- [Logical AND]
                           00000000 00000000 00000101 00000100 -----&gt; 0.0.5.4
</code></pre>

<h2>Calculating the maximum possible number of hosts in a subnet:</h2>

<p>To find the maximum number of hosts, look at the number of binary bits in the host number above.  The easiest way to do this is to subtract the netmask length from 32 (number of bits in an IPv4 address).  This gives you the number of host bits in the address.  At that point...</p>

<p><em>Maximum Number of hosts</em> = 2**(32 - netmask_length) - 2</p>

<p>The reason we subtract 2 above is because the all-ones and all-zeros host numbers are reserved.  The all-zeros host number is the network number; the all-ones host number is the broadcast address.</p>

<p>Using the example subnet of 128.42.0.0/21 above, the number of hosts is...</p>

<p><em>Maximum Number of hosts</em> = 2**(32 - 21) - 2 = 2048 - 2 = 2046</p>

<h2>Finding the minimum netmask which contains two IP addresses:</h2>

<p>Suppose someone gives us two IP addresses and expects us to find the longest netmask which contains both of them; for example, what if we had:</p>

<ul>
<li>128.42.5.17</li>
<li>128.42.5.67</li>
</ul>

<p>The easiest thing to do is to convert both to binary and look for the longest string of network-bits from the left-hand side of the address.</p>

<pre><code>128.42.5.17     in binary: 10000000 00101010 00000101 00010001
128.42.5.67     in binary: 10000000 00101010 00000101 01000011
                           ^                           ^     ^
                           |                           |     |
                           +--------- Network ---------+Host-+
                             (All bits are the same)    Bits
</code></pre>

<p>In this case the minimum netmask would be /25</p>

<p>NOTE: If you try starting from the right-hand side, don't get tricked just because you find one matching column of bits; there could be unmatched bits beyond those matching bits.  Honestly, the safest thing to do is to start from the left-hand side.</p>
","7117"
"Why and how are Ethernet Vlans tagged?","263548","","<p>I hear about VLAN tagging, but I don’t quite understand the concept.   I know a trunk cannot accept untagged packets without configuring a native VLAN, and that access ports only accept untagged packets.  But I don’t understand why packets need to be tagged or untagged.  What purpose does it serve?</p>
","<p>If you have more than one VLAN on a port (a ""trunk port""), you need some way to tell which packet belongs to which VLAN on the other end. To do this you are ""tagging"" a packet with a VLAN tag (or VLAN header if you like). In reality a VLAN tag is inserted in the Ethernet frame like this:</p>

<p><img src=""https://i.stack.imgur.com/kXT9j.png"" alt=""VLAN Header""></p>

<p>The 802.1Q (dot1q, VLAN) tag contains a VLAN-ID and other things explained in the <a href=""http://standards.ieee.org/getieee802/download/802.1Q-2011.pdf"">802.1Q Standard</a>. The first 16 bits contain the ""Tag Protocol Identifier"" (TPID) which is 8100. This also doubles as the EtherType 0x8100 for devices that don't understand VLANs.</p>

<p>So a ""tagged"" packet contains the VLAN information in the Ethernet frame while an ""untagged"" packet doesn't. A typical use case would be if you have one port from a router to a switch which multiple customers are attached to:</p>

<p><img src=""https://i.stack.imgur.com/O9OF2.png"" alt=""VLAN Trunking""></p>

<p>In this example customer ""Green"" has VLAN 10 and Customer ""Blue"" has VLAN 20. The ports between switch and customers are ""untagged"" meaning for the customer the arriving packet is just a normal Ethernet packet.</p>

<p>The port between router and switch is configured as a trunk port so that both router and switch know which packet belongs to which customer VLAN. On that port the Ethernet frames are tagged with the 802.1Q tag.</p>
","6485"
"The slash after an IP Address - CIDR Notation","229521","","<p>What does the <code>""/16""</code> means in here : <code>""192.168.0.0/16""</code>, for example.</p>
","<p>A simple explanation:</p>

<p>The <code>/&lt;number&gt;</code> is how a computer can quickly calculate what is part of its network and what is not.  It represents the bit length of the subnet mask, as indicated above.  The subnet mask is like masking when painting.  You place a mask over what you DO NOT want to paint on.  The subnet mask is a way to calculate the network portion of the address space and the host address space.  The network address space is assigned to you, the host address space you define which device receives what address in the host space.</p>

<p>A computer performs binary math of ANDing the IP address and the network mask.</p>

<p>IP Address 10.10.15.10/16</p>

<p>Step 1)
Translate the IP address 4 octets into binary: 00001010.00001010.00001111.00001010<br><br>
Step 2)
Translate the Subnet mask 4 octets into binary, which is easy using <a href=""http://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing"">CIDR</a>: 11111111.11111111.00000000.00000000<br><br>
Step 3) 
Perform the ANDing operation on the two addresses.  This will give you the Network Address for the subnet.</p>

<p>ANDing rules are as follows:</p>

<ul>
<li>1 AND 1 = 1</li>
<li>0 AND 1 = 0</li>
<li>0 AND 0 = 0</li>
<li>1 AND 0 = 0</li>
</ul>

<pre>
         00001010.00001010.00001111.00001010
     AND 11111111.11111111.00000000.00000000
         ———————————————————————————————————
         00001010.00001010.00000000.00000000
</pre>

<p>Step 4)
Convert it back to decimal: 10.10.0.0</p>

<p>So now  a computer knows that any address from 10.10.0.0 to 10.10.255.255 is part of its network and any other address is not.</p>

<p>It's like a binary network gang thing, you are in or you are not.</p>
","3873"
"Multi-Mode and Single-Mode Fiber Differences","183364","","<p>When cabling a network using fibre, what is the difference between single-mode and multi-mode fibre? When should I be using one or the other? Are there compatibility and/or speed concerns with either?</p>
","<p>Main difference:
Singlemode fiber has a lower power loss characteristic than multimode fiber, which means light can travel longer distances through it than it can through multimode fiber. Not surprising, the optics required to drive singlemode fiber are way more expensive, especially considering any varying circumstances. </p>

<p>When to use each:
Both singlemode and modern multimode fiber can handle 10G speeds.  The most important thing to consider is the distance requirement.  Within a data center, it's typical to use multimode which can get you 300-400 meters.  If you have very long runs or are connecting over longer distance, single mode can get you 10km, 40km, 80km, and even farther - you just need to use the appropriate optic for the distance required, and again, the prices go up accordingly.</p>

<p>Compatibility issues:
They are not compatible.  You cannot mix multimode and singlemode fiber between two endpoints.  The optics are not compatible either.</p>

<p>There's a lot more to say about fiber, in general, but I hope this answers your immediate question.</p>
","497"
"How to find the port a device is connected to, based on IP, on a Cisco Catalyst switch","169536","","<p>On a Cisco Catalyst switch, I need to find what port an end device is connected to.</p>

<p>I have the IP address/host name.</p>

<p>How do I quickly find the port?</p>
","<p>The answer depends on whether the switch is a <a href=""http://www.cisco.com/web/about/ac123/ac147/archived_issues/ipj_1-2/switch_evolution.html"">Layer 2 or a Layer 3</a> switch.  That is to say, is the switch only switching and relaying traffic on to a different device for routing, or, is it doing the routing decisions itself via SVIs (switched virtual interfaces).</p>

<p>On a layer 3 switch, the port can be found by using a few simple commands on the device.  However on a layer 2 switch, you have to log into both the switch and whatever device is doing the routing to locate the port.</p>

<p>In either case, the commands are the same, just run on two different boxes for the layer 2 switch.  </p>

<hr>

<h2>On a Layer 3 switch:</h2>

<ul>
<li><p>Log into the switch and issue the following command (where <em>ipaddress</em> is the ip address of the host you are trying to locate:</p>

<pre><code>show ip arp *ipaddress*
</code></pre></li>
<li><p>The output should look similar to below, and give you the mac-address of the device (I've highlighted the mac-address below in bold).</p>

<pre><code>LYKINS-1861#show ip arp 172.20.1.100
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  172.20.1.100            0   **28cf.da1d.1b05**  ARPA   Vlan10
</code></pre></li>
<li><p>Now issue one of the following commands (where <em>mac-address</em> is the hardware address from previous step).  Depending on the Cisco platform, sometimes the command is listed in either form.</p>

<pre><code>show mac address-table address *mac-address*
show mac-address-table address *mac-address*
</code></pre></li>
<li><p>The output should look similar to  below, the port you are looking for should be listed as the Destination Port:</p>

<pre><code>LYKINS-1861#show mac-address-table address 28cf.da1d.1b05
Destination Address  Address Type  VLAN  Destination Port
-------------------  ------------  ----  --------------------
28cf.da1d.1b05          Dynamic      10     **FastEthernet0/1/1**
</code></pre></li>
</ul>

<hr>

<h2>On a Layer 2 switch:</h2>

<ul>
<li><p>Find out what device is doing the routing for this switch (you may have to look at the network documentation). Sometimes it is a ""<a href=""http://www.cisco.com/en/US/tech/tk389/tk815/technologies_configuration_example09186a00800949fd.shtml"">Router on a Stick</a>"", where the Layer 2 VLANs are being trunked up to the router for the Layer 3 decisions.</li></p></li>
<li><p>Log into the routing device, and issue the following command (where <em>ipaddress</em> is the ip address of the host you are trying to locate:</p>

<pre><code>show ip arp *ipaddress*
</code></pre></li>
<li><p>The output should look similar to below, and give you the mac-address of the device (listed below in bold).</p>

<pre><code>LYKINS-1861#show ip arp 172.20.1.100
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  172.20.1.100            0   **28cf.da1d.1b05**  ARPA   Vlan10
</code></pre></li>
<li><p>Now log into the Layer 2 switch</p></li>
<li><p>On that device issue one of the following commands (where <em>mac-address</em> is the hardware address from previous step).  Depending on the Cisco platform, sometimes the command is listed in either form.</p>

<pre><code>show mac address-table address *mac-address*
show mac-address-table address *mac-address*
</code></pre></li>
<li><p>The output should look similar to  below, the port you are looking for should be listed as the Destination Port:</p>

<pre><code>LYKINS-1861#show mac-address-table address 28cf.da1d.1b05
Destination Address  Address Type  VLAN  Destination Port
-------------------  ------------  ----  --------------------
28cf.da1d.1b05          Dynamic      10     **FastEthernet0/1/1**
</code></pre></li>
</ul>
","597"
"How can I reset a VPN tunnel on a Cisco ASA?","120639","","<p>On a site-to-site VPN using a ASA 5520 and 5540, respectively, I noticed that from time to time traffic doesn't pass any more, sometimes just there's even missing traffic just for one specific traffic selection / ACL while other traffic over the same VPN is running. It happens even though there's a constant ping running. The reason might be that it runs over a satellite link which isn't perfectly stable.</p>

<p>How can I reset the VPN to the working state, instead of reloading one of the ASAs?</p>
","<p>The VPN can be reset by entering</p>

<pre><code>clear ipsec sa peer &lt;remote-peer-IP&gt;
</code></pre>

<p>on one side. The following traffic will cause the IPSEC tunnel to be reestablished.</p>

<p>You can do it on your side, entering the remote IP. Or login to the remote site, but possibly you have to do it outside the VPN, so using a different interface, for example using the public IP instead of the IP to which you connect through the tunnel.</p>

<p>There will be a short VPN outage while reestablishing the tunnel. After entering that command, ensure that the tunnel is up again, such as doing a ping through it.</p>
","645"
"Why only port 80 for web services?","77210","","<p>Why isn't it sensible to dedicate more than one TCP/IP port to http? Although admittedly naive, isn't it somehow intuitive to think that server performance could somehow be increased?</p>
","<p>Port 80 is a <em>well-known</em> port, which means it is well-known as the location you'll normally find HTTP servers. You can find it documented in the <a href=""http://www.rfc-editor.org/rfc/rfc2616.txt"">HTTP/1.1 RFC</a>.</p>

<p>Having a default is useful precisely because you don't have to type it into your web browser with the URI.
If you run an HTTP server (or in fact any service) on a non-standard port, you force the client to remember which arbitrary 16-bit number you chose and type it in.</p>

<p>In addition to this unfriendliness, there is no performance benefit: a port is just one part of the <code>(dst ip:port, src ip:port)</code> 4-tuple which uniquely identifies a TCP connection. If two connections share a <code>dst ip:port</code>, that doesn't mean they share some system resource - they can reside in different threads, or different processes.</p>

<p>Now, if you have logically different services which both <em>happen</em> to use HTTP, there is no <em>problem</em> with running them on different ports. It just makes the URI a little uglier.</p>
","1986"
"How does gratuitous ARP work?","73299","","<p>Does gratuitous ARP work like a normal ARP request?</p>

<p>Why is gratuitous ARP used for HSRP?</p>
","<p>Gratuitous ARP is a sort of ""advance notification"", it updates the ARP cache of other systems before they ask for it (no ARP request) or to update outdated information.</p>

<p>When talking about gratuitous ARP, the packets are actually special ARP request packets, not ARP reply packets as one would perhaps expect. Some reasons for this are explained in <a href=""http://tools.ietf.org/html/rfc5227#section-3"">RFC 5227</a>.</p>

<p>The gratuitous ARP packet has the following characteristics:</p>

<ul>
<li>Both source and destination IP in the packet are the IP of the host issuing the gratuitous ARP</li>
<li>The destination MAC address is the broadcast MAC address (<code>ff:ff:ff:ff:ff:ff</code>)
<ul>
<li>This means the packet will be flooded to all ports on a switch</li>
</ul></li>
<li>No reply is expected</li>
</ul>

<p>Gratuitous ARP is used for some reasons:</p>

<ul>
<li>Update ARP tables after a MAC address for an IP changes (failover, new NIC, etc.)</li>
<li>Update MAC address tables on L2 devices (switches) that a MAC address is now on a different port</li>
<li>Send gratuitous ARP when interface goes up to notify other hosts about new MAC/IP bindings in advance so that they don't have to use ARP requests to find out</li>
<li>When a reply to a gratuitous ARP request is received you know that you have an IP address conflict in your network</li>
</ul>

<p>As for the second part of your question, <strong>HSRP</strong>, <strong>VRRP</strong> etc. use gratuitous ARP to update the MAC address tables on L2 devices (switches). Also there is the option to use the burned-in MAC address for HSRP instead of the ""virtual""one. In that case the gratuitous ARP would also update the ARP tables on L3 devices/hosts.</p>
","7716"
"Is it safe to use any wifi channel in the 2.4GHz band?","67624","","<p>It seems that everything I read about wifi says there are only three usable channels in the 2.4 GHz band; however, there are eleven 2.4Ghz wifi channels allowed in the US.</p>

<p>If everyone is using 1, 6 or 11, wouldn’t it make sense to use an unused channel, say, channel 3 for my wifi infrastructure?  Or to put the question differently, why can’t I use channels other than 1, 6 and 11?</p>
","<p>The 2.4GHz band is one of many portions of radio spectrum, called the Industrial, Scientific and Medical (ISM) bands that are allocated for unlicensed use.  As long as you operate within the power and antenna limits, you can pretty much do what you want.  So the short answer is, you can.  But there are very good reasons why you shouldn’t.</p>

<p>Part of the confusion regarding wifi channels comes from the allocation of the frequency spectrum.  The ISM band was first allocated in 1958, before most of us were born and well before anyone even imagined wireless networking.  The channel definitions were made before wifi was invented, and they assumed 5 MHz spacing.</p>

<p>802.11b and g transmissions require 22MHz bandwidth. Because they’re 22MHz wide, the signal covers two channels above and below the center frequency. So if you use channel 6, your signal spreads across channels 4-8. There is only room in the entire band for three 22MHz wide signals (in the US) without overlapping if they center on channels 1, 6 and 11. </p>

<p>If you transmit your wifi signal between two of these channels, say centered on channel 3, two things happen: your signal interferes with other wifi users on 1 and 6, and their signals interfere with you.  This will greatly increase the number of data errors, which in turn will cause retransmissions and significantly reduce your throughput. </p>

<p>It’s as if there are a number of parallel bicycle lanes, and you try to drive a bus down one of them.  Although you drive down one lane, your bus will occupy several of the adjacent lanes. If someone happens to be driving their bus in one of those adjacent lanes when your bus goes by, well…it won’t be pretty. </p>

<p>If you only want to use one access point in a remote area with no other wifi signals, then you can probably get a away with using a different channel.   But in most urban commercial environments, the 2.4GHz band is pretty crowded. If you use an overlapping channel, you are likely to experience (and cause) interference. If your wireless system is large with many access points, then you will need all three non-overlapping channels to get good coverage.   Using something other than 1, 6 or 11 will limit the density of your access points, further reducing throughput.</p>

<p>In summary, it’s good practice to use 1, 6 and 11 to get the maximum use of the radio spectrum with a minimum of interference.</p>
","6939"
"TCPDump - Filter by MAC Address","67307","","<p>I would like to display all traffic for or from a specific MAC address.
For that I tried </p>

<pre><code>sudo tcpdump host aa:bb:cc:11:22:33
</code></pre>

<p>It does not work and returns me an error</p>

<pre><code>tcpdump: pktap_filter_packet: pcap_add_if_info(en0, 1) failed: pcap_add_if_info: pcap_compile_nopcap() failed
</code></pre>

<p>I don't know how to interpret this error message and I don't know how to solve the problem.</p>

<p>Any help ?</p>
","<p>You have used the following as your packet filter: <code>host aa:bb:cc:11:22:33</code></p>

<p>As it stands, this is looking for an IP or hostname but you are giving it a MAC address.</p>

<p>To use a MAC address, you need to include the <code>ether</code> packet filter primitive.</p>

<p>In your case, the following should work:</p>

<pre><code>sudo tcpdump ether host aa:bb:cc:11:22:33
</code></pre>

<p>Or, if it needs you to specify the interface, then it would be something like: </p>

<pre><code>sudo tcpdump -i eth0 ether host aa:bb:cc:11:22:33
</code></pre>
","19741"
