title,viewcount,title,body,body,acceptedanswerid
"How do you determine how long a hike will take?","237353","","<p>Is there a general rule of thumb for converting miles to hours when looking at a potential hike? For example, how long does it take an average person walking at an average speed to walk a mile on the following types of trails:</p>

<ul>
<li>a mostly flat, easy trail</li>
<li>a moderate trail, with some elevation changes</li>
<li>a strenuous hike, with significant elevation change or difficult terrain</li>
</ul>

<p>I'm thinking of a day hike on maintained trails with people that are neither experienced hikers nor completely out of shape. Basically, the number you'd put in a book or website listing trails and approximate hiking times. But it sounds like even that might be too hard to come up with for a general case.</p>
","<p>You could use Naismith's rule which goes as follows:</p>

<p>Allow 1 hour for every 3 miles (5 km) forward, plus 1 hour for every 2000 feet (600 metres) of ascent.</p>

<p>A lot of hikers in the UK use this as a guide of course bear in mind terrain and altitude! and of course this is not appropriate at higher altitudes.</p>

<p>Some <a href=""http://www.goxplore.net/guides/Naismith%27s_Rule"">sites</a> recommend corrections to the above:</p>

<p>Gentle descent: subtract 10 minutes for every 1000ft / 300m of descent
Steep descent: add 10 minutes for every 1000ft / 300m of descent</p>
","712"
"How far would you need to fall for it to be fatal?","200956","","<p>A little grim this but I was discussing <a href=""https://outdoors.stackexchange.com/questions/8126/bouldering-vs-aid-climbing-vs-free-climbing-vs-free-solo-climbing"">free soloing</a> with a non-climber in work and I said</p>

<blockquote>
  <p>""Well once you get over a certain height you're not going to survive a
  fall anyway so anything over this doesn't really make much of a
  difference.""</p>
</blockquote>

<p>... which got me thinking, how high is too high? </p>

<p>I'd guess it's reasonably low. So does anyone have any <strong>empirical evidence</strong> of how high a fall a human being can fall and survive (though not necessarily walk away from)?</p>
","<p>It's not the fall that gets you, it's the sudden stop at the end.  The most detailed data on the effects of large accelerations (or equivalently, decelerations) on the human body comes from research into spaceflight and aircraft ejection systems.  There is a very detailed <a href=""http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19930020462.pdf"">paper from NASA here</a>, from which figure 5 (p. 36) is most useful.</p>

<p>The summary is:</p>

<ul>
<li>it depends a lot on where and which way up you land - feet-first onto a soft surface is best (pretty obvious)</li>
<li>For a hard surface, assuming you don't land on your head, up to about 12m/s impact velocity, you are almost certain to survive (corresponding to a fall from a height of just over 7m).  Though ""survive"" is likely to involve life-changing injuries at the top of this range</li>
<li>Between 12 and 17m/s you may or may not survive (corresponding to about 7m - 12m)</li>
<li>Over 17m/s you are almost certain not to survive (corresponding to over 12m)</li>
</ul>
","8118"
"How long does water need to be boiled for to kill all bacteria / viruses?","161664","","<p>This has come up a few times in a few other questions, but I've heard varying opinions from different people in a number of answers and comments on here - some saying that just boiling for a moment is enough, others saying that to be sure you should boil for around 10 minutes, and others saying it doesn't matter how long you boil for because some bacteria can survive it with no problem.</p>

<p>So in short, how long should you boil water you've collected for to ensure it's safe to drink? (I'm discounting filtering like metals which boiling won't remove.) It'd be good if answers could be referenced / backed up since people do seem to have different ideas on the subject!</p>
","<p>The EPA recommends boiling for one minute for most people, and three minutes for anyone above one mile in elevation.</p>

<p>reference - <a href=""http://water.epa.gov/drink/emerprep/emergencydisinfection.cfm#method"">http://water.epa.gov/drink/emerprep/emergencydisinfection.cfm#method</a></p>

<p>That is what I have always done when backpacking. I don't boil for 10-20 minutes because it will kill my fuel supply and waste too much of the water. If I were camping and had plenty of fuel I might boil longer to be safe.</p>
","1119"
"How much should your backpack weigh?","122919","","<p>For a multi-day backpacking trip, what is the ideal weight of a backpack? </p>

<p>And what is that max weight that no sane human should go over?</p>
","<p>The ideal weight is zero. The less weight you carry the more you will enjoy your outing.</p>

<p>That being said, one should try to minimize their weight within reason. There exist different schools (Ultralight, super-ultralight, etc.) on what one should carry and how much it should weight. </p>

<p><a href=""http://www.rei.com/learn/expert-advice/ultralight-backpacking.html"">REI suggest</a> the following categories:</p>

<blockquote>
  <ul>
  <li>minimalist - Under 12 pounds (~5.5kg)</li>
  <li>ultralight - Around 20 pounds (~9kg)***</li>
  <li>lightweight - Up to 30 pounds (~13.5kg)</li>
  <li>plush/deluxe - Over 30 pounds</li>
  </ul>
</blockquote>

<p>*** Typically, in the UL community ultra light is defined as under 10 pounds (~4.5kg). With the popularity of the ultra light movements some big manufactures and stores started branding certain equipment as <em>ultralight</em> although they would be considered too heavy by many UL backpackers.</p>

<p>It is easier to compare packing weights by dividing the weight of items which will remain constant over the course of the trip and the ones who will vary such as consumable items (food, water, etc.).</p>

<p>The constant weight is called the base weight. Super Ultralight (SUL) backpackers aim for a base weight of under 5lbs (2.3 kg). Often this is very dependent on the trip location and weather.</p>

<p>On the other extreme, soldiers can carry from 40-90+ lbs (~18–40+kg) on missions.</p>

<p>My subjective suggestion is the following: I would aim for a <strong>base weight of under 15 lbs (~6.8 kg)</strong>. With food and water included I would aim for under 30lbs (~13.5 kg) and at 20 lbs (~9 kg) I'm a happy hiker heading to town.</p>

<p>It's important to bear in mind that water weights 2.2lbs (1 kg) per liter and is a big factor in the total weight. Depending on the availability of reliable water sources your total backpack weight may be greatly affected. Food usually is about 2 lbs (nearly 1 kg) per day. Food and water should make for 50%+ of your weight.</p>
","9488"
"What is this knee pain when going downhill?","117486","","<p>I can hike uphill practically all day.  However as very soon after I start a descent, pain builds on the outside of my knee.  What is causing this and can I do anything to prevent/mitigate it (other than Ibuprofen)?</p>

<p>Edit:  I talked to my doc and the location of the pain is very important in the cause.  Note that this is pain on the outside (side) of the knee specifically, as opposed to pain in the knee or below/under the kneecap.</p>
","<p>Talked to my doc today during a visit for something else.  It's <a href=""http://www.sportsinjuryclinic.net/sport-injuries/knee-pain/iliotibial-band-syndrome"">Iliotibial Band Syndrome</a>.  The band of connective tissue that runs along the outside of the knee becomes irritated and inflamed.  It's often caused by over-pronation and poor gait which is exacerbated on the weight bearing leg (not the landing leg) when going downhill.  Once injured, the only good solution is rest and anti-inflammatory medication while it heals.</p>

<p>There are specific exercises and stretches that will work to prevent the injury.  Specifically you have to stretch the band itself and build the muscles above the knee </p>

<p>Pain from excess force on the downhill would usually present below or in the kneecap, not to the side.</p>
","3857"
"How to warm up your cold toes and fingers?","114976","","<p>In winter your hand and feet (especially toes and fingers) may get painfully cold or you may even stop feeling them. How can you warm them up?</p>

<p>This usually happens, when it's below 0°С or when it's slightly above 0°С and your hands/feet are wet.
This can happen if you are not properly dressed/booted or you are not moving enough (e.g. sitting in a camp after a day hike).</p>

<p>(Question inspired by a question on <a href=""https://outdoors.stackexchange.com/questions/3823/winter-camping-how-to-warm-up-your-boots-in-the-morning"">warming up your boots in the morning</a>)</p>
","<p>I'm answering my own question to share some knowledge.</p>

<p>First, cold toes/fingers is serious. You start feeling discomfort, then a little pain, then you stop feeling them and forget about them, then you get them amputated. So you should <strong>constantly check if you can still feel toes and fingers</strong>, and if not, start to warm them up.</p>

<p>Second, I find most effective and easy the following method of heating:</p>

<ul>
<li>To warm up toes, <strong>swing your leg back-and-forward 30-50 times</strong>. The movement is done with the whole leg (including the thigh), as wide as possible, and it should be powerful.</li>
<li>To warm up your fingers, make similar motion with your arms, except that you can go 360-degree.</li>
</ul>

<p>Remember to make your full 30-50 swings before saying ""blah, it's not working"";)</p>

<p>What happens is you warm blood is driven by centripetal force to flow to the extreme parts of your legs/arms: toes and fingers. Normally they don't get much blood in cold conditions, because your body regulation mechanisms try to keep more warmth at the center of the body by thinning peripherial vessels (it's an overreaction).</p>

<p>If you weren't feeling your fingers/toes before starting this, warming up might be very painful. So it's better to do 20, small pause to let heat reach frozen tissues, a little screaming, another 20;)</p>

<p>Note: if you weren't feeling your toes or fingers for a long time, things may have gone beyond simple treatment. I'm not sure this method is advised in such situation, because it provides fast heating, and all recommendations for treating serious frostbites prescribe slow heating (also see <a href=""https://outdoors.stackexchange.com/questions/42/what-do-i-do-to-prevent-and-treat-frostbite"">this question about frostbites</a>).</p>
","3840"
"What are areas of the body which lose heat more quickly, and how can I reduce that loss?","103351","","<p>What are the higher heat loss areas of the body and how can I reduce heat loss in those areas?</p>
","<p><em>My <a href=""https://outdoors.stackexchange.com/questions/681/what-are-the-high-heat-loss-areas-of-the-body-and-how-can-i-reduce-loss/690#690"">original answer</a> to this question sparked a surprisingly intense debate, so I'm rewriting it to clarify a few points and offer a more holistic answer.</em></p>

<p>Let me start by saying that every square inch of skin on the human body is capable of allowing heat to escape. That is to say, if you wear a jacket with no pants, your legs will lose more heat than your torso -- but if you wear pants with no jacket, your torso will lose more heat than your legs. Both areas are capable of losing heat -- and will do so more quickly when exposed. Therefore, any part of your body that's more exposed to the cold than another part has the potential to lose more heat than other than parts that are less exposed.</p>

<p>This is fairly obvious, but I mention it for completeness' sake. This generally means that you should try to cover yourself as much as possible, especially larger skin surfaces like the torso.</p>

<p>However, the point that I think the OP is trying to get at is that -- all else being equal -- <strong>every square inch of exposed human skin does NOT lose heat at the same rate</strong>. That is to say, <strong>some areas of skin lose heat faster than others.</strong> If you were to stand in the cold totally naked, some parts of you would lose heat more quickly than others. This is an indisputable, biological fact. Allow me to explain:</p>

<p>Human blood serves many functions -- one of which is <a href=""http://en.wikipedia.org/wiki/Human_blood#Thermoregulation"" rel=""nofollow noreferrer"">thermoregulation</a>. As an evolutionary adaption, humans have areas on their body that are especially suited for releasing heat, in order to cool us off when we get too hot. In these areas, there is a high volume of blood flow, and that blood passes very close to the skin. These areas are:</p>

<ul>
<li>The skull</li>
<li>The groin</li>
<li>The armpits</li>
<li>Some might also say the extremities, like fingers and toes.</li>
</ul>

<p>In these areas, there is a lot of blood flowing around, and the skin is fairly thin, allowing heat to escape from the blood more quickly than in other areas.</p>

<p>Therefore, if you are in a desperate survival situation where you risk hypothermia, these are the areas of the body you should focus on keeping the warmest. </p>

<p><strong>Armpits</strong> are fairly easy to keep warm, just keep your elbows down and they'll be insulated by your torso and upper arm. </p>

<p>It's important to keep warm, dry underwear in order to keep your <strong>groin</strong> warm as well. </p>

<p>And yes, <strong>YOU SHOULD WEAR A HAT.</strong> While you might not lose the ""majority"" of body heat through your head, it is one of the areas of skin that loses heat most quickly and it should be one of the main things you focus on keeping warm.</p>

<p>The extremities are also important to keep warm. I have friends that go out jogging in the winter wearing shorts and a t-shirt. They don a warm beanie and gloves right before they go out, and those are all it takes to keep them warm in freezing temperatures.</p>

<p><strong>In summary:</strong>
If you have clothes or ways to protect every inch of skin on your body, you should do that. I thought this was basic common sense, but people were squabbling so I'll reiterate. </p>

<p>However, if you only have limited means of protection and you need to focus on warming only a small area of your body, you're best off focusing on the four areas listed above.</p>
","722"
"How to avoid exploding rocks","101590","","<p>It seems that every tutorial I read and show I watch shows people using rocks for everything from a cooking surface to boiling water.  However, I have had rocks crack in half on me, and I've always been warned that they can explode from rapidly expanding moisture embedded within them.</p>

<p>How much of a risk is this and how is it best avoided?  A nice flat rock is a great cooking surface in the woods, so if there's a safe way to use them, I would like to.</p>
","<p>There's two main things that generally cause this, the first being the moisture content in the rock and the second being the type of rock. If the rock is wet and you heat it rapidly, any water will turn to steam and put pressure on the rock, forcing shards of it to break off rapidly. Secondly the type of rock matters, layered rocks such as sandstone are much more likely to split and perhaps explode because of the weaker bonds between their layers. As pointed out below, watch out for very smooth rocks - a sign that they may have been on a river bed at some point in their lives and therefore have water trapped deep in them.</p>

<p>If you choose hard, dry, un-layered rocks then you should be fine. When in doubt, you can build your fire on top of the rock the first night and heat it up safely covered to drive out whatever moisture may be trapped.</p>
","802"
"How do I tie a sleeping bag to my backpack?","78654","","<p>I recently upgraded to a modern backpack and I'm stumped as to how to tie accessories down to it.  My previous backpack had tie-down points on the bottom of the pack that I could attach long straps to, which allowed me to tie down my sleeping back, tent, and a small sleeping pad.</p>

<p>My <a href=""http://www.gregorypacks.com/products/mens/technical/83/z-55"">new pack</a> lacks these generic tie-down anchors, and instead has two (smallish) straps on the bottom.  They're perhaps large enough for my tent, but certainly not large enough for my sleeping bag.</p>

<p>There's a waterproof ""top lid"" that can bind down, it's not impossible to stuff the sleeping bag between the pack and the top lid and cinch it down, but this is sort of awkward and top-heavy.</p>

<p>What's the proper strategy here?  Any tips for attaching my sleeping bag and tent to my pack?</p>

<p><strong>Edit</strong>:  I'm not totally opposed to putting my tent and sleeping bag <em>in</em> the pack, especially for short and light trips, but on a multi-week outing, I may end up with the lion's share of the gear and food to haul, depending on the company.  If there's a clever way to have stuff outside my pack, it would be nice to have the option.</p>
","<p>If your sleeping bag, or its compression bag, doesn't have straps around the outside, you'll need at least four pieces of twine to strap your bag down. Two to loop around the sleeping bag, and two more to link the loops on your bag to the loops on your backpack.</p>

<p>Make sure the pieces intended for linking the sleeping bag to the backpack are tied down by the pieces looping the sleeping bag.</p>

<p>It gets trickier if you want your bag <em>and</em> your tent to hang off those straps. The bag and the tent will have to be either lashed together or containerized, first. But then the same idea applies.</p>
","213"
"How dangerous is a band of coyotes to a lone, unarmed human?","60965","","<p>There's a delightful thrill to the call of a band of coyotes when you're alone in the dark woods. Do they present a danger? That is, have healthy coyotes (that is, not rabid) been known to attack or show aggressiveness to a lone human?</p>
","<p>In general they are not considered dangerous because they rarely attack humans. You should not run away from coyotes as they will consider you a prey if you do. Under <em>extreme</em> circumstances they may circle an individual or a group. Making noise generally keeps them at bay or at a distance.</p>

<p>In 2009, there was, unfortunately, a <a href=""http://www.outsideonline.com/outdoor-adventure/natural-intelligence/Canis-Soup.html"">fatality in Cape-Breton Nova-Scotia</a>. This was the second recorded fatality in North America.</p>

<p>From <a href=""http://novascotia.ca/natr/wildlife/nuisance/coyotes-faq.asp#25"">Nova-Scotia website</a>:</p>

<blockquote>
  <p>Coyotes are wild and generally avoid people. However, they should be treated as potentially dangerous. Do not approach a coyote.</p>
</blockquote>

<p>also according to Nova-Scotia website:</p>

<blockquote>
  <p>The attack in Cape Breton is the first case of this nature in Nova Scotia. There was a fatal case reported in the United States (California) in 1981 (Timm, Baker, Bennett and Coolahan 2004).</p>
</blockquote>

<p>Coyotes in Eastern Canada are known to be bigger and are sometimes called coyote wolves (locally) in opposition to their smaller counterparts.</p>
","4657"
