title,viewcount,title,body,body,acceptedanswerid
"What does STM mean on a Canon lens?","364150","","<p>The <a href=""http://www.usa.canon.com/cusa/consumer/products/cameras/ef_lens_lineup/ef_40mm_f_2_8_stm"" rel=""nofollow noreferrer"">Canon EF 40mm f/2.8</a> has a designation of STM on the lens. What does this mean? What are the advantages of having it and does it replace an older technology?</p>

<p>We have a <a href=""https://photo.stackexchange.com/questions/496/what-do-all-those-cryptic-number-and-letter-codes-in-a-lens-name-mean"">terminology thread</a> that usually covers these questions but this is not yet addressed in it.</p>
","<p>STM stands for <b>St</b>epper <b>M</b>otor and is a applied to a new range of Canon lenses which feature a new design of focus motors which, along with a new iris mechanism are designed to eliminate (auditory) noise during video recording. </p>

<p>Canon haven't revealed any information about how the new design works but it's probably the same type of motor used in mirrorless camera lenses. It's a more precise version of a regular DC motor but still has the same direct connection to the lens focus group, which means manual focus has to be implemented using a <strong>focus-by-wire</strong> arrangement whereby moving the focus ring by hand sends a signal to the motor to move the focus group. </p>

<p>In comparison an ultrasonic motor (like Canon's USM) consists of a pair of concentric rings which vibrate at high frequency to rotate back and forth, an arrangement which permits the user to move the focus ring to directly move the lens element, achieving full time manual focus without damaging the motor.</p>

<p>Stepper motors are better at producing smooth, precise incremental movements, such as those required by contrast detect AF, and AF during video. Ultrasonic motors are better at jumping to the right focus point as part of a phase detection system. See <a href=""https://photo.stackexchange.com/questions/20474/what-is-the-practical-difference-between-phase-detect-and-contrast-based-autofoc"">What is the practical difference between phase-detect and contrast-based autofocus?</a></p>
","24111"
"How do I convert lens focal length (mm) to x-times optical zoom?","300038","","<p>What is the rule to convert the 'mm' notation to the 'optical zoom' notation? I searched a bit and found this one:</p>

<pre><code>optical zoom = maximum focal length / minimum focal length
</code></pre>

<p>For example a 18-55mm lens would have a 3x optical zoom, and a 18-200mm lens would have a 11x optical zoom. Is that right?</p>
","<p>The ""times zoom"" notation is simply the big number divided by the small one, so the examples you give are correct. <strong>""3x zoom"" simply means the longest focal length is three times the shortest.</strong></p>

<p>This number really isn't very useful, though. On point and shoot cameras, it became popular because the starting focal length was generally about the same across all models — a wide-normal field of view. That makes the times-zoom a reasonable indicator of how far one can zoom in to get a closer view of a distant subject. But with interchangeable lenses, a similar widest angle is rarely the case, so it's not really so useful on its own. <strong>There is no standard ""base"" number that the ""×"" starts from; you go from whatever the widest focal length on that particular lens happens to be.</strong> An 18-55mm and a 70-200mm are both about ""3x zoom"", but a very different range.</p>

<p>On the other hand, the zoom ratio does give you an idea of how much focal length flexibility the lens has, and usually higher numbers are a clue that there will be more compromise on image quality (and/or price, size, and weight). </p>

<p>Photography is a field with a lot of jargon and a lot of numbers to learn. That can be intimidating to would-be photographers who want to concentrate on images, not ""tech stuff"". A simple number, without any metric-system units, is far less intimidating than needing to learn all about <a href=""https://photo.stackexchange.com/questions/103/what-is-focal-length-and-how-does-it-affect-my-photos"">focal length</a> and <a href=""https://photo.stackexchange.com/questions/5917/what-is-angle-of-view-in-photography"">angle of view</a>, so I don't think the marketers are all wrong to focus on this number for basic cameras.</p>

<p>For interchangeable lens cameras, like digital SLRs or mirrorless compact system cameras, in some ways the complexity of using focal lengths is a selling point. Intermediate and advanced users may prefer to be given the straightforward facts instead of having to decode more-removed numbers like <em>times-zoom</em>. In some ways, <a href=""https://photo.stackexchange.com/questions/1592/why-do-we-talk-about-focal-length-when-frame-sizes-are-different"">giving the angle of view instead of focal length</a> might be preferable, but that hasn't really caught on — probably because it's really not very hard to get a sense for what different focal lengths mean for field of view on your own camera, once you get over the initial learning bump.</p>
","13718"
"What can be done using a 18-55mm lens?","266948","","<p>I have a Canon EOS 1000D with 18-55mm kit lens (entry level, as many say). Whenever I go out for a shoot, I always end up feeling handicapped because of the limited zoom range.</p>

<p>Most of my friends keep suggesting I get a 'good lens' sometime. I agree on the need for a long range lens, but I am not quite ready to quit on this lens <em>just</em> because of the zoom range. And I am also sure that good photography would still be possible with an 18-55mm lens.</p>

<p>I have tried shooting flowers, close-range portraits, still-life and I liked the photos it gave.</p>

<p>I need pointers about where this lens is most useful. How can I make it work wonders ?</p>
","<p>All <a href=""https://i.stack.imgur.com/YH0Li.jpg"" rel=""nofollow noreferrer""><strong>text in blue</strong></a> &lt;- <strong>like this</strong>, is linked to images - whether or not thumbnails are provided.<br>
 Thumbnails are not live linked. </p>

<p>All these things can be done with your kit lens:</p>

<ul>
<li><p>Learn to minimise depth of field in a given situation (max aperture, max zoom, foot zoom to fit) to see how much background defocusing you can achieve. Not an ideal lens for this but results will please you. Try selecting between two objects in mid distance but at different distances. Can you get pleasing differentiation.</p></li>
<li><p>Set lens to minimum aperture. Use tripod or place camera on a wall etc. Take photos at night of street lights etc. Note halo/coma effect. What photos can you [produce using this. </p></li>
<li><p>""Through the bars"": Find some ""bars"" - birdcage etc, put front lens element almost touching bars<br>
(as close as possible). Experiment with what you can achieve.<br>
Can you make the bars vanish? How can you use this ability?<br>
<a href=""http://public.fotki.com/RussellMc/srs/through-the-bars.html"" rel=""nofollow noreferrer""><strong>Larger version of ""through the bars"" here</strong></a>     / thumbnail below:</p>

<p>This was taken through cage bars. <strong>Can you see them?</strong> 
<img src=""https://i.stack.imgur.com/cOjZ4.jpg"" alt=""enter image description here""><br>
That used a 50 mm f1.8. What can you achieve?<br>
<a href=""https://i.stack.imgur.com/SOef2.jpg"" rel=""nofollow noreferrer""><strong>This photo</strong></a> was taken through a heavy mesh <a href=""https://i.stack.imgur.com/mknth.jpg"" rel=""nofollow noreferrer""><strong>as seen here</strong></a> at f6.3.</p></li>
</ul>

<p><img src=""https://i.stack.imgur.com/3biHu.jpg"" alt=""enter image description here""></p>

<p>In both cases this is achieved by placing the lens front element as close to the bars or mesh as you can manage so that they are well inside one focal-length of the lens centre and so are dispersed rather than focused. Your kit lens can achieve this same result allowing to to produce pictures of apparently uncaged beasties or birds or ... .  </p>

<ul>
<li><p>Super Macro: Do you have ANY other lenses. Using even an old lens from another camera that does not fit your mount, set spare lens to ""wide open"", invert so front elements of it and yours are adjacent and almost touching. Maybe tape together. Now point at something small and very close and well lit. Note massive macro effect possible. Experiment with focal length setting on each lens.</p></li>
<li><p>Set to small aperture, low ISO. Tripod or brace and photograph falling water and fountains. </p></li>
<li><p>Set to small aperture and low ISO and use flash. Photograph  fountains that have streams of drops or blobs of water in the air. Experiment with flash level and ISO. Be amazed.<br>
<a href=""http://public.fotki.com/RussellMc/srs/dsc07416-10000221.html"" rel=""nofollow noreferrer""><strong>Like this fountain shot - f/6.3 at 200mm, but your lens can do similar</strong></a><img src=""https://i.stack.imgur.com/qhZMn.jpg"" alt=""enter image description here"">  This used no flash. Add flash and use a smaller aperture and the background will darken or even vanish - jewels of water on  ""satin background."" </p></li>
<li><p>Small aperture, low ISO, exposure compensation up. Photograph people when standing close to them looking slightly downwards with large area of roomlight lit carpet etc behind them. ie camera sees target lit by flash plus even carpet etc area behind in distance and not well lit by flash. Play with exposure until person is well lit for a nice portait but background drops away to almost blackness - even in a well lit room - and no photoshopping.</p></li>
<li><p>Do you have rear curtain flash? Experiment  at night with people with lanterns and flashing lights etc. </p></li>
<li><p>Fun shots <a href=""http://public.fotki.com/RussellMc/srs/heads-up.html"" rel=""nofollow noreferrer""><strong>like this hair and water shot</strong></a> do not need special lenses etc - just lots of patience.<br>
(It took about 12 trials to get this right.)</p>

<p><img src=""https://i.stack.imgur.com/tmrYc.jpg"" alt=""enter image description here""></p></li>
<li><p>Silhouettes - bright background, dark foreground, expose for bright. Even higher contrast <a href=""http://public.fotki.com/RussellMc/srs/dsc08585-10000227-hracx.html"" rel=""nofollow noreferrer""><strong>than this</strong></a>  can be easily achieved. </p></li>
<li><p>Lie on the ground <a href=""http://public.fotki.com/RussellMc/srs/dsc07310-10000221.html"" rel=""nofollow noreferrer""><strong>like this</strong></a>, stand on chairs, climb trees, move in close,<br>
lean out of windows and trains<br>
<a href=""http://www.facebook.com/photo.php?fbid=164989176907919&amp;set=a.133775133362657.27663.100001905146167&amp;type=3&amp;theater"" rel=""nofollow noreferrer""><strong>Maybe like this - BUT carefully!</strong></a> !
<img src=""https://i.stack.imgur.com/EHjM6.jpg"" alt=""enter image description here""><br>
find interesting angles.<br>
None of these need special lenses but all add interest. <a href=""http://public.fotki.com/RussellMc/srs/pict733510190221r2.html"" rel=""nofollow noreferrer""><strong>This</strong></a> or <a href=""http://public.fotki.com/RussellMc/srs/pict2457.html"" rel=""nofollow noreferrer""><strong>this</strong></a> or <a href=""http://public.fotki.com/RussellMc/srs/pict2821m.html"" rel=""nofollow noreferrer""><strong>this</strong></a> or <a href=""http://public.fotki.com/RussellMc/srs/dsc08374-10000228.html"" rel=""nofollow noreferrer""><strong>this</strong></a> or <a href=""http://public.fotki.com/RussellMc/srs/pict1809.html"" rel=""nofollow noreferrer""><strong>this</strong></a> or <a href=""http://public.fotki.com/RussellMc/srs/pict9727zr2.html"" rel=""nofollow noreferrer""><strong>this</strong></a> or <a href=""http://public.fotki.com/RussellMc/srs/pict855910190223r.html"" rel=""nofollow noreferrer""><strong>this</strong></a> or <a href=""http://public.fotki.com/RussellMc/srs/pict731710190221.html"" rel=""nofollow noreferrer""><strong>this</strong></a> or <a href=""http://public.fotki.com/RussellMc/srs/dsc00005-10100227.html"" rel=""nofollow noreferrer""><strong>this</strong></a> or <a href=""http://public.fotki.com/RussellMc/srs/pict6803.html"" rel=""nofollow noreferrer""><strong>you get the idea</strong></a> <img src=""https://i.stack.imgur.com/duMZa.jpg"" alt=""enter image description here""></p></li>
</ul>

<p><a href=""http://public.fotki.com/RussellMc/srs/down-on-the-farm.html"" rel=""nofollow noreferrer"">etc - the aircraft is actually at 100 or so feet above the ground, </a><br>
 can be done with the kit lens. </p>

<p><img src=""https://i.stack.imgur.com/pCT5T.jpg"" alt=""enter image description here""></p>

<p>17mm - Ham it up.<br>
""Oh Mater ...""</p>

<p><img src=""https://i.stack.imgur.com/YH0Li.jpg"" alt=""enter image description here""></p>
","20941"
"Is camera flash actually harmful to infants or newborns?","256197","","<p>I just got a new off-camera flash, and the instruction manual says:</p>

<blockquote>
  <p><em>Never fire the flash unit closer than 1 meter from infants.</em></p>
</blockquote>

<p>This was a little startling to me, since one of the main reasons I bought the flash was to take photos of my newborn son.</p>

<p>On the other hand, <em>knowledgeable</em> sources on the internet seem to say otherwise:</p>

<p><a href=""http://www.medhelp.org/posts/Eye-Care/infant-flash-photo/show/432284"" rel=""noreferrer"">http://www.medhelp.org/posts/Eye-Care/infant-flash-photo/show/432284</a></p>

<blockquote>
  <p>Q: What long/short term risks are there to using camera flash in photographing a 2-month old?</p>
  
  <p>A: None, shoot away.  -- John C Hagan III, MD, FACS, FAAO   </p>
</blockquote>

<p><a href=""http://carefirst.staywellsolutionsonline.com/Library/AsktheExpert/Children/72,ATD011008"" rel=""noreferrer"">http://carefirst.staywellsolutionsonline.com/Library/AsktheExpert/Children/72,ATD011008</a></p>

<blockquote>
  <p>Q: Can a camera flash harm an infant's eyes?</p>
  
  <p>A: No, it cannot. Actually infants have more protection from a flash than adults since they are usually not interested in being photographed and do not look right at the camera. Also, they typically have smaller pupils. This means less light reaches the retinas. -- Don Bienfang, M.D.</p>
</blockquote>

<p><a href=""http://www.intelihealth.com/IH/ihtIH?d=dmtATD&amp;c=367698&amp;p="" rel=""noreferrer"">http://www.intelihealth.com/IH/ihtIH?d=dmtATD&amp;c=367698&amp;p=</a></p>

<blockquote>
  <p>Q: Can a camera flash harm an infant's vision?</p>
  
  <p>A: The flash of a camera, even if used to take many, many pictures of your newest family member, should not harm an infant's vision. Although the flash seems very bright, it actually isn't much different from normal daylight. -- Leann M. Lesperance, M.D., Ph.D.</p>
</blockquote>

<p>So what's going on here?  Are the makers of the flash just avoiding a lawsuit?  Is this a myth?  Or are the doctors just thinking about little on-camera flashes and neglecting to think about more powerful flashes?</p>

<p>(And if it's NOT a myth, can I assume that bounce flash is acceptable?)</p>
","<p>I think you've answered the question yourself pretty well, with citations and everything. There's little real risk, and the flash manufacturers are erring on the side of caution in order to protect themselves from litigation. To add to the background, here's a quote from the website of a <a href=""https://www.ormc.org/hospital_services/NICU_Parenting_Baby.aspx"" rel=""nofollow noreferrer"">neonatal intensive care unit</a> — if there'd be a case where it might matter, presumably at-risk newborns would be the most vulnerable. But they say:</p>

<blockquote>
  <p>We encourage you to take pictures of your baby. Flash cameras are allowed and will not harm your baby.</p>
</blockquote>

<p>For further citation, see <a href=""https://www.healthtap.com/user_questions/125560-can-a-camera-flash-really-damage-a-baby-s-eyes"" rel=""nofollow noreferrer"">this other Q&amp;A site</a>, where ophthalmologist Dr. Richard Bensinger (a graduate of the highly-regarded Johns Hopkins University School of Medicine) says:</p>

<blockquote>
  <p><em><strong>In brief</strong>: No effect</em>; the light from a flash is too unfocused and of low intensity that it cannot damage a baby's eyes.</p>
</blockquote>

<p>The question has other doctors saying the same thing, as well.</p>

<p><strong>Note that neither of these statements are couched in wishy-washy covering-all-bases language, but instead say unequivocally ""<em>no effect</em>"" and ""<em>will not harm your baby</em>"".</strong> </p>

<p>That said, I don't think being flashed right in the eyes with a bright flash is very <em>nice</em>, especially from up close. And I'm not even a baby. Bounce (or otherwise diffused) flash is the way to go for this and for a number of other reasons as well — it's an easy way to provide nicer-looking light and more natural shadows.</p>
","16412"
"How can I crop a single layer in Photoshop?","225092","","<p>Is it possible to crop a single layer, I can almost get the desired outcome using the eraser on a layer but surely it can be done with cropping?</p>
","<p>Use a layer mask. Tutorials galore exist on the topic already, eg: <a href=""http://helpx.adobe.com/photoshop/using/masking-layers.html"" rel=""noreferrer"">http://helpx.adobe.com/photoshop/using/masking-layers.html</a></p>

<p>Straight from Adobe:</p>

<blockquote>
  <p>You can add a mask to a layer and use the mask to hide portions of the layer and reveal the layers below. Masking layers is a valuable compositing technique for combining multiple photos into a single image or for making local color and tonal corrections.</p>
</blockquote>
","30957"
"Why does my Canon DSLR stop recording video automatically?","213042","","<p>I have read a few posts related to video recording using a DSLR so I decided to try my 60D for the first time. I've had the camera for about a year and a half but never tried recording a video.  </p>

<p>Anyway, after a few seconds the video recording stopped and a message was displayed on the LCD screen ""Recording was stopped automatically"" or something like that. </p>

<p>Does anyone know what the problem here is? Is this SD read-write spead related?</p>
","<p>I have the 60D myself, and haven't experienced this. My first guess would be the write speed of the SD-card. If the card isn't fast enough you can't record video. I can't remember the required speed, but it's  in the user manual.</p>

<p>Edit: Just checked the manual, and the required speed for 60D is Class 6 SD card (page 171 in the manual).</p>
","20181"
"How do I select all pixels that match an exact color value in Adobe Photoshop?","198807","","<p>Is there any way to select <em>all</em> pixels on the current layer that match a specific color value <strong><em>exactly</em></strong>?</p>

<p>My first instinct is <code>Select &gt; Color Range...</code>, but I cannot determine how to input a specific pixel color <em>by value</em>, without knowing ahead of time the location of a pixel of that color. The goal being to select pixels that match that specific color, or none if no pixels have that color.</p>
","<p>You can use the <strong>Magic Wand Tool</strong> with the following setting:</p>

<pre><code>Tolerance: 0
Anti-alias: unchecked
Contiguous: unchecked
Sample All Layers: *checked or unchecked* (See below)
</code></pre>

<p>The Magic Wand Tool also uses the ""Sample Size"" settings from the <strong>Eye Dropper</strong> tool, so you will have to switch to that tool and make sure it is set to ""Point Sample"" before using the Magic Wand Tool. Otherwise you could end up selecting more colors than you intended.</p>

<p>To select a color <em>by value</em>, the easist way is probably to make a new layer and fill some part of it with the color you wish to select, and then use the Magic Wand tool (set to sample all layers) and click on your color patch on the new layer.</p>

<p>Source:
<a href=""http://ask.metafilter.com/146706/This-Photoshop-is-driving-me-crazy#2104497"" rel=""noreferrer"">http://ask.metafilter.com/146706/This-Photoshop-is-driving-me-crazy#2104497</a></p>
","15497"
"What are the optimal JPEG settings for high-resolution Facebook photos?","197352","","<p>With the current facebook photo uploader, what are the optimal settings for uploading high-resolution photos. I process my images in Adobe Lightroom.</p>

<p>I'm aware of <a href=""https://photo.stackexchange.com/questions/352/what-are-the-optimal-jpeg-settings-for-facebook-photos"">a similar question asked in the past</a>, but this question is specifically about uploading photos using the <a href=""http://mashable.com/2012/03/22/facebook-high-resolution/"" rel=""nofollow noreferrer"">newer high-resolution photo uploader</a>.</p>
","<blockquote>
  <p>""To ensure that my photos display in the highest possible quality for
  display on Facebook, re-size your photo before you uploading""</p>
</blockquote>

<p>The supported sizes are:</p>

<p>Regular photos  720 px, 960 px, <strong>2048 px High Resolution</strong></p>

<p>Cover photos    851 px by 315 px (keep cover photos under 100K to avoid Facebook compression)</p>

<p>(JPEG with an sRGB colour profile)</p>

<p>Any other size will be re-sized by Facebook.
You also need to make sure to select the High Quality Option. </p>

<p>Source: <a href=""https://www.facebook.com/help/photos/photo-viewer"" rel=""nofollow noreferrer"">https://www.facebook.com/help/photos/photo-viewer</a>
Expand ""How can I make sure that my photos display in the highest possible quality?"" link for more detail.</p>

<p>Personal notes:</p>

<p>I use Lightroom 4 where I have a custom export with auto image sizing for web set up with compression settings I am happy with. I don't go with the 2048 px because I don't want my online photos to be this large and I upload the same photos to facebook, flickr, 500px and my website so I just found a ""happy"" optimum size which works for me and diplays relatively fast in places that do not have fast internet connection. </p>

<p>My preferred ""HQ"" setting in LR4 is Short Edge: 900 px, resolution 96 PPI, standard screen sharpening.  </p>

<p>It seems to work fine on Facebook. Take a look at <a href=""http://www.facebook.com/jakubsisakphotography"" rel=""nofollow noreferrer""><strong>my Fan Page.</strong></a> - all photos there are uploaded with the HQ setting on. </p>

<p>As a side note...
As for the COVER photo, I believe that it needs to be exactly 851x315 and less then 100K in file size.  (I also have an exporter in LR4 set up for just Facebook cover photo with the ""Limit size to 100K"" option set) This ensures crisp sharp cover photo image. I had several cover photos that did not comply with the standard and the cover page looked bad. </p>
","27712"
"Should I use JPG or TIFF for high-quality prints?","183058","","<p>I am putting together a photo book. I shot all the photos in RAW. The prints will be 300pi on 13x11 inch glossy paper. I am laying out the pages in InDesign, which doesn't allow me to import and place RAW images. </p>

<p>Should I convert the images to JPG or TIFF? I know TIFF is higher quality but is it really that much better? Is the difference noticeable?</p>
","<p>These two formats are different:</p>

<h2>JPEG general info</h2>

<ol>
<li>JPEG is used to store images on smaller disk space</li>
<li>JPEG compression algorithm changes image data while converting it. Amount of change can be controlled but not its location which is <em>always</em> around sharp colour changes</li>
<li>JPEG is primarily an RGB format</li>
<li>If you saved and opened the same image several times, you may end up with an unusable image. <strike>because for each save, the compression would generate some additional changes.</strike> Quality of the image should stay fine only if you'll use the same software with each save, <strong>always</strong> use same compression level and maybe just make some local image changes (a tiny portion of the image would get changed). In all other cases image quality will degrade.</li>
<li><strong>But</strong>: Photographic image material is especially well suited for JPEG format, because it contains lots of different colours and nuances. Since JPEG's compression changes these things they become rather <em>invisible</em> in the image. That's why the most prominent parts with JPEG artefacts are very sharp contrast changes as shown in the below image example.</li>
</ol>

<h2>TIFF general info</h2>

<ol>
<li>TIFF is primarily used in press</li>
<li>It's perfectly natural for a TIFF file to save image data in CMYK colour space which is used in press</li>
<li>TIFF can also compress image data but uses an algorithm that doesn't change source data (lossless compression)</li>
<li>TIFF format also supports <em>alpha</em> channel (transparency) which is also relevant in press</li>
<li>If you opened and saved the same TIFF file, you'll end up with exactly the same image as source. Nothing would change in terms of image data.</li>
</ol>

<h2>Saving</h2>

<p>If you want your images to stay as true to original as possible I'd rather go with TIFF format (with compression) because I can later open it, manipulate it, etc. and not take the risk that the resulting image (once again saved) would become useless with each save.</p>

<h2>Verdict</h2>

<p>Since RGB -> CMYK conversion used to be bad on prepress machines it was perfectly normal to prepare all images in CMYK format and saved in TIFFs. Since I used to do prepress a couple of decades ago I feel natural using TIFF whenever preparing anything for press/print because I can easily control the outcome.</p>

<p>Nowadays these things are more similar yet I'd still rather use TIFF/CMYK because of lossless (saved image is same as original) compression and output control.</p>

<p>You can more or less always tell that a certain image was saved as a JPEG because in areas with strong contrast you can see the JPEG compression artefacts. The stronger the compression the more JPEG <em>noise</em> or artefacts. If you'd use maximum JPEG quality these would be minimized but still not none. So some image is still distorted due to JPEG compression.</p>

<p>This is an example of an exaggerated JPEG artefact. First the original and then the low quality JPEG so you can see the difference.</p>

<p><img src=""https://i.stack.imgur.com/BNBh5.jpg"" alt=""Artefact free"">
<img src=""https://i.stack.imgur.com/1rf5B.jpg"" alt=""Artefact""></p>

<blockquote>
  <p><strong>sidenote</strong>: both of these images are JPEGs although the <em>original</em> is saved with maximum JPEG quality (22.5kb) and the bad one uses lowest possible JPEG quality (20.1kb). Size difference would be significant when images are big (or even huge) and contain lots of colours and nuances. But as previously stated, it's harder to see JPEG artefacts in nice gradients than around sharp contrast transitions. And since every lens is more or less soft at pixel level there are less sharp contrast/colour transitions that would enhance JPEG artefacts.</p>
</blockquote>
","10896"
"Is GPU or CPU more important for Photoshop and Lightroom?","178308","","<p>I'm looking to buy a laptop (for a spare) and I'm not ready to spend the amount I did on my first one. The machine will only be used for photo editing. Should I go for the dedicated graphics card or faster CPU? Has there been greater performance differences when using Photoshop with a better/more CPU or GPU?</p>

<p>Specifically I'm asking whether a dedicated GPU will offer a substantial jump in the performance of Photoshop and Lightroom over an integrated one, when compared with a faster CPU.</p>

<p><strong>Note:</strong> the question is about <em>comparing</em> hardware performance <em>specifically</em> of the GPU &amp; CPU when using PS &amp; LR (I've done my own tests &amp; research regarding SSDs, RAM, monitors etc. I'm not looking for help in buying a computer, I'll do that on my own...) <em>I'm asking the question here because I assume many people using this site have either experienced or researched the topic and I would like to see what the results were</em></p>
","<p>You are asking two very different questions, because Adobe Photoshop Lightroom and Adobe Photoshop of course do not have the same system requirements or use the same system resources.</p>

<h2>Adobe Photoshop Lightroom 4</h2>

<p><strong>Graphics Card:</strong></p>

<p>Lightroom does <em>not</em> currently utilize the GPU for performance improvements. It is outlined in the Lightroom documentation <a href=""http://helpx.adobe.com/lightroom/kb/optimize-performance-lightroom.html"" rel=""nofollow noreferrer"">here</a>. </p>

<blockquote>
  <p>Lightroom requires a video card that can run the monitor at its native resolution. Built-in, default cards that ship with most desktop or laptop systems typically suffice for Lightroom.</p>
</blockquote>

<p><strong>Processor:</strong></p>

<p>From <a href=""http://helpx.adobe.com/lightroom/kb/optimize-performance-lightroom.html"" rel=""nofollow noreferrer"">Adobe</a>:</p>

<blockquote>
  <p>The minimum system requirements to run Lightroom are just that: the minimum you need for Lightroom to operate. Additional RAM and a faster processor, in particular, can yield significant performance benefits. </p>
</blockquote>

<h2>Adobe Photoshop CS6</h2>

<p><strong>Graphics Card:</strong></p>

<p>Photoshop CS6 does utilize the graphics processing unit for enhanced performance.
<a href=""http://forums.adobe.com/thread/979969"" rel=""nofollow noreferrer"">Here</a> is some detail from Adobe staff:</p>

<blockquote>
  <p>Some features require a compatible video card to work; if the video card or its driver is defective or unsupported, those features will not work at all.  Other features use the video card for acceleration and if the card or driver is defective those features will run more slowly.</p>
</blockquote>

<p>Additional info <a href=""http://helpx.adobe.com/photoshop/kb/photoshop-cs6-gpu-faq.html"" rel=""nofollow noreferrer"">here</a>.</p>

<p><strong>Processor:</strong></p>

<p>From <a href=""http://helpx.adobe.com/photoshop/kb/optimize-performance-photoshop-cs4-cs5.html"" rel=""nofollow noreferrer"">Adobe</a>:</p>

<blockquote>
  <p>Photoshop CS5 and CS6 require a multicore Intel processor (Mac OS) or a 2 GHz or faster processor (Windows).
  Photoshop generally runs faster with more processor cores, although some features take greater advantage of the additional cores than others.</p>
</blockquote>

<h2>Recommendation</h2>

<p>If you have already maxed out your RAM and storage options, I would then decide which program speed and efficiency are more important to you. For example if you are a much heavier user of Lightroom, I would choose processor over GPU. If you are much heavier user of Photoshop, it is a harder decision, and really gets into the specific processor model and GPU model(which I won't go into here, and would be better suited for superuser.com). If it is a desktop model, I personally would go with the CPU over GPU since it is likely you can upgrade the GPU anyways.</p>

<p>To answer your secondary question, if you are using an older version of Photoshop that does not have heavy requirements on the GPU, you still need a graphics card to handle things like Windows and the actual display on your monitor, it just won't be used by Photoshop to offload the heavy tasks it does with many new features.</p>

<p>Additional information can be found in other questions already on this site:</p>

<ul>
<li><a href=""https://photo.stackexchange.com/questions/33973/what-laptop-specs-are-important-for-intensive-image-editing-work"">What laptop specs are important for intensive image editing work?</a></li>
<li><a href=""https://photo.stackexchange.com/questions/5795/what-should-i-consider-for-buying-a-photo-editing-computer"">What should I consider for buying a photo editing computer?</a></li>
<li><a href=""https://photo.stackexchange.com/questions/tagged/monitors"">https://photo.stackexchange.com/questions/tagged/monitors</a></li>
</ul>
","37807"
