title,viewcount,title,body,body,acceptedanswerid
"How do I get the size of a directory on the command line?","1477045","","<p>I tried to obtain the size of a directory (containing directories and sub directories) by using the <code>ls</code> command with option <code>l</code>. It seems to work for files (<code>ls -l file name</code>), but if I try to get the size of a directory (for instance, <code>ls -l /home</code>), I get only 4096 bytes, although altogether it is much bigger.</p>
","<p><code>du -sh file_path</code></p>

<p><strong>Explanation</strong></p>

<ul>
<li><code>du</code> command estimates file_path space usage</li>
<li><p>The options <code>-sh</code> are (from <code>man du</code>):</p>

<pre><code>  -s, --summarize
         display only a total for each argument

  -h, --human-readable
         print sizes in human readable format (e.g., 1K 234M 2G)
</code></pre>

<p>To check more than one directory and see the total, use <code>du -sch</code>:</p>

<pre><code>  -c, --total
         produce a grand total
</code></pre></li>
</ul>
","185765"
"How to correctly add a path to PATH?","1439693","","<p>I'm wondering where a new path has to be added to the <code>PATH</code> environment variable. I know this can be accomplished by editing <code>.bashrc</code> (for example), but it's not clear how to do this.</p>

<p>This way:</p>

<pre class=""lang-bsh prettyprint-override""><code>export PATH=~/opt/bin:$PATH
</code></pre>

<p>or this?</p>



<pre><code>export PATH=$PATH:~/opt/bin
</code></pre>
","<h3>The simple stuff</h3>

<pre><code>PATH=$PATH:~/opt/bin
PATH=~/opt/bin:$PATH
</code></pre>

<p>depending on whether you want to add <code>~/opt/bin</code> at the end (to be searched after all other directories, in case there is a program by the same name in multiple directories) or at the beginning (to be searched before all other directories).</p>

<p>You can add multiple entries at the same time. <code>PATH=$PATH:~/opt/bin:~/opt/node/bin</code> or variations on the ordering work just fine.</p>

<p>You don't need <code>export</code> if the variable is already in the environment: any change of the value of the variable is reflected in the environment.¹ <code>PATH</code> is pretty much always in the environment; all unix systems set it very early on (usually in the very first process, in fact).</p>

<p>If your <code>PATH</code> gets built by many different components, you might end up with duplicate entries. See <a href=""https://unix.stackexchange.com/questions/25605/how-to-add-home-directory-path-to-be-discovered-by-unix-which-command"">How to add home directory path to be discovered by Unix which command?</a> and <a href=""https://unix.stackexchange.com/questions/40749/remove-duplicate-path-entries-with-awk-command"">Remove duplicate $PATH entries with awk command</a> to avoid adding duplicates or remove them.</p>

<h3>Where to put it</h3>

<p>Note that <code>~/.bash_rc</code> is not read by any program, and <code>~/.bashrc</code> is the configuration file of interactive instances of bash. You should not define environment variables in <code>~/.bashrc</code>. The right place to define environment variables such as <code>PATH</code> is <code>~/.profile</code> (or <code>~/.bash_profile</code> if you don't care about shells other than bash). See <a href=""https://superuser.com/questions/183870/difference-between-bashrc-and-bash-profile/183980#183980"">What's the difference between them and which one should I use?</a></p>

<h3>Notes on shells other than bash</h3>

<p>In bash, ksh and zsh, <code>export</code> is special syntax, and both <code>PATH=~/opt/bin:$PATH</code> and <code>export PATH=~/opt/bin:$PATH</code> do the right thing even. In other Bourne/POSIX-style shells such as dash (which is <code>/bin/sh</code> on many systems), <code>export</code> is parsed as an ordinary command, which implies two differences:</p>

<ul>
<li><code>~</code> is only parsed at the beginning of a word, except in assignments (see <a href=""https://unix.stackexchange.com/questions/25605/how-to-add-home-directory-path-to-be-discovered-by-unix-which-command/25704#25704"">How to add home directory path to be discovered by Unix which command?</a> for details);</li>
<li><code>$PATH</code> outside double quotes <a href=""https://unix.stackexchange.com/questions/131766/why-does-my-shell-script-choke-on-whitespace-or-other-special-characters"">breaks if <code>PATH</code> contains whitespace or <code>\[*?</code></a>.</li>
</ul>

<p>So in shells like dash, <code>export PATH=~/opt/bin:$PATH</code> sets <code>PATH</code> to the literal string <code>~/opt/bin/:</code> followed by the value of <code>PATH</code> up to the first space.
<code>PATH=~/opt/bin:$PATH</code> (a bare assignment) <a href=""https://unix.stackexchange.com/questions/68694/when-is-double-quoting-necessary/68748#68748"">doesn't require quotes</a> and does the right thing. If you want to use <code>export</code> in a portable script, you need to write <code>export PATH=""$HOME/opt/bin:$PATH""</code>, or <code>PATH=~/opt/bin:$PATH export PATH</code> (or <code>PATH=$HOME/opt/bin:$PATH export PATH</code> for portability to even the Bourne shell that didn't accept <code>export var=value</code> and didn't do tilde expansion).</p>

<p>¹ <sub> This wasn't true in Bourne shells (as in the actual Bourne shell, not modern POSIX-style shells), but you're highly unlikely to encounter such old shells these days. </sub>  </p>
","26059"
"How to switch between users on one terminal?","1411894","","<p>I'd like to log in as a different user without logging out of the current one (on the same terminal). How do I do that?</p>
","<p>How about using the <code>su</code> command?</p>

<pre><code>$ whoami
user1
$ su - user2
Password:
$ whoami
user2
$ exit
logout
</code></pre>

<p>If you want to log in as root, there's no need to specify username:</p>

<pre><code>$ whoami
user1
$ su -
Password:
$ whoami
root
$ exit
logout
</code></pre>

<p>Generally, you can use <code>sudo</code> to launch a new shell as the user you want; the <code>-u</code> flag lets you specify the username you want:</p>

<pre><code>$ whoami
user1
$ sudo -u user2 zsh
$ whoami
user2
</code></pre>

<p>There are more circuitous ways if you don't have sudo access, like ssh username@localhost, but <code>sudo</code> is probably simplest, provided that it's installed and you have permission to use it.</p>
","3572"
"How to check OS and version using a Linux command","1185380","","<p>What is the Linux command to check the server OS and its version?</p>

<p>I am connected to the server using shell.</p>
","<h2>Kernel Version</h2>

<p>If you want kernel version information, use uname(1). For example:</p>

<pre><code>$ uname -a
Linux localhost 3.11.0-3-generic #8-Ubuntu SMP Fri Aug 23 16:49:15 UTC 2013 x86_64 x86_64 x86_64 GNU/Linux
</code></pre>

<h2>Distribution Information</h2>

<p>If you want distribution information, it will vary depending on your distribution and whether your system supports the <a href=""http://en.wikipedia.org/wiki/Linux_Standard_Base"">Linux Standard Base</a>. Some ways to check, and some example output, are immediately below.</p>

<pre><code>$ lsb_release -a
No LSB modules are available.
Distributor ID: Ubuntu
Description:    Ubuntu Saucy Salamander (development branch)
Release:    13.10
Codename:   saucy

$ cat /etc/lsb-release 
DISTRIB_ID=Ubuntu
DISTRIB_RELEASE=13.10
DISTRIB_CODENAME=saucy
DISTRIB_DESCRIPTION=""Ubuntu Saucy Salamander (development branch)""

$ cat /etc/issue.net
Ubuntu Saucy Salamander (development branch)

$ cat /etc/debian_version 
wheezy/sid
</code></pre>
","88647"
"How can I replace a string in a file(s)?","1131423","","<p>Replacing strings in files based on certain search criteria is a very common task. How can I </p>

<ul>
<li>replace string <code>foo</code> with <code>bar</code> in all files in the current directory?</li>
<li>do the same recursively for sub directories?</li>
<li>replace only if the file name matches another string?</li>
<li>replace only if the string is found in a certain context?</li>
<li>replace if the string is on a certain line number?</li>
<li>replace multiple strings with the same replacement</li>
<li>replace multiple strings with different replacements</li>
</ul>
","<h2>1. Replacing all occurrences of one string with another in all files in the current directory:</h2>

<p>These are for cases where you  <em>know</em> that the directory contains only regular files and that you want to process all non-hidden files. If that is not the case, use the approaches in 2.</p>

<p>All <code>sed</code> solutions in this answer assume GNU <code>sed</code>. If using FreeBSD or OS/X, replace <code>-i</code> with <code>-i ''</code>. Also note that the use of the <code>-i</code> switch with any version of <code>sed</code> has certain filesystem <a href=""http://lists.gnu.org/archive/html/bug-gnu-utils/2013-09/msg00000.html"" rel=""noreferrer"">security implications</a> and is inadvisable in any script which you plan to distribute in any way.</p>

<ul>
<li><p>Non recursive, files in this directory only:</p>

<pre><code>sed -i -- 's/foo/bar/g' *
perl -i -pe 's/foo/bar/g' ./* 
</code></pre>

<p>(the <a href=""https://unix.stackexchange.com/q/170013/22565""><code>perl</code> one will fail for file names ending in <code>|</code> or space)</a>).</p></li>
<li><p>Recursive, regular files (<strong>including hidden ones</strong>) in this and all subdirectories</p>

<pre><code>find . -type f -exec sed -i 's/foo/bar/g' {} +
</code></pre>

<p>If you are using zsh:</p>

<pre><code>sed -i -- 's/foo/bar/g' **/*(D.)
</code></pre>

<p>(may fail if the list is too big, see <code>zargs</code> to work around).</p>

<p>Bash can't check directly for regular files, a loop is needed (braces avoid setting the options globally):</p>

<pre><code>( shopt -s globstar dotglob;
    for file in **; do
        if [[ -f $file ]] &amp;&amp; [[ -w $file ]]; then
            sed -i -- 's/foo/bar/g' ""$file""
        fi
    done
)
</code></pre>

<p>The files are selected when they are actual files (-f) and they are writable (-w).</p></li>
</ul>

<h2>2. Replace only if the file name matches another string / has a specific extension / is of a certain type etc:</h2>

<ul>
<li><p>Non-recursive, files in this directory only:</p>

<pre><code>sed -i -- 's/foo/bar/g' *baz*    ## all files whose name contains baz
sed -i -- 's/foo/bar/g' *.baz    ## files ending in .baz
</code></pre></li>
<li><p>Recursive, regular files in this and all subdirectories</p>

<pre><code>find . -type f -name ""*baz*"" -exec sed -i 's/foo/bar/g' {} +
</code></pre>

<p>If you are using bash (braces avoid setting the options globally):</p>

<pre><code>( shopt -s globstar dotglob
    sed -i -- 's/foo/bar/g' **baz*
    sed -i -- 's/foo/bar/g' **.baz
)
</code></pre>

<p>If you are using zsh:</p>

<pre><code>sed -i -- 's/foo/bar/g' **/*baz*(D.)
sed -i -- 's/foo/bar/g' **/*.baz(D.)
</code></pre>

<p>The <code>--</code> serves to tell <code>sed</code> that no more flags will be given in the command line. This is useful to protect against file names starting with <code>-</code>. </p></li>
<li><p>If a file is of a certain type, for example, executable (see <code>man find</code> for more options):</p>

<pre><code>find . -type f -executable -exec sed -i 's/foo/bar/g' {} +
</code></pre>

<p><code>zsh</code>:</p>

<pre><code>sed -i -- 's/foo/bar/g' **/*(D*)
</code></pre></li>
</ul>

<h2>3. Replace only if the string is found in a certain context</h2>

<ul>
<li><p>Replace <code>foo</code> with <code>bar</code> only if there is a <code>baz</code> later on the same line:</p>

<pre><code>sed -i 's/foo\(.*baz\)/bar\1/' file
</code></pre>

<p>In <code>sed</code>, using <code>\( \)</code> saves whatever is in the parentheses and you can then access it with <code>\1</code>.  There are many variations of this theme, to learn more about such regular expressions, see <a href=""http://www.regular-expressions.info/"" rel=""noreferrer"">here</a>. </p></li>
<li><p>Replace <code>foo</code> with <code>bar</code> only if <code>foo</code> is found on the 3d column (field) of the input file (assuming whitespace-separated fields):</p>

<pre><code>gawk -i inplace '{gsub(/foo/,""baz"",$3); print}' file
</code></pre>

<p>(needs <code>gawk</code> 4.1.0 or newer). </p></li>
<li><p>For a different field just use <code>$N</code> where <code>N</code> is the number of the field of interest. For a different field separator (<code>:</code> in this example) use:</p>

<pre><code>gawk -i inplace -F':' '{gsub(/foo/,""baz"",$3);print}' file
</code></pre>

<p>Another solution using <code>perl</code>:</p>

<pre><code>perl -i -ane '$F[2]=~s/foo/baz/g; $"" = "" ""; print ""@F\n""' foo 
</code></pre>

<p>NOTE: both the <code>awk</code> and <code>perl</code> solutions will affect spacing in the file (remove the leading and trailing blanks, and convert sequences of blanks to one space character in those lines that match). For a different field, use <code>$F[N-1]</code> where <code>N</code> is the field number you want and for a different field separator use (the <code>$""="":""</code> sets the output field separator to <code>:</code>):</p>

<pre><code>perl -i -F':' -ane '$F[2]=~s/foo/baz/g; $""="":"";print ""@F""' foo 
</code></pre></li>
<li><p>Replace <code>foo</code> with <code>bar</code> only on the 4th line:</p>

<pre><code>sed -i '4s/foo/bar/g' file
gawk -i inplace 'NR==4{gsub(/foo/,""baz"")};1' file
perl -i -pe 's/foo/bar/g if $.==4' file
</code></pre></li>
</ul>

<h2>4. Multiple replace operations: replace with different strings</h2>

<ul>
<li><p>You can combine <code>sed</code> commands:</p>

<pre><code>sed -i 's/foo/bar/g; s/baz/zab/g; s/Alice/Joan/g' file
</code></pre>

<p>Be aware that order matters (<code>sed 's/foo/bar/g; s/bar/baz/g'</code> will substitute <code>foo</code> with <code>baz</code>).</p></li>
<li><p>or Perl commands</p>

<pre><code>perl -i -pe 's/foo/bar/g; s/baz/zab/g; s/Alice/Joan/g' file
</code></pre></li>
<li><p>If you have a large number of patterns, it is easier to save your patterns and their replacements in a <code>sed</code> script file:</p>

<pre><code>#! /usr/bin/sed -f
s/foo/bar/g
s/baz/zab/g
</code></pre></li>
<li><p>Or, if you have too many pattern pairs for the above to be feasible, you can read pattern pairs from a file (two space separated patterns, $pattern and $replacement, per line):</p>

<pre><code>while read -r pattern replacement; do   
    sed -i ""s/$pattern/$replacement/"" file
done &lt; patterns.txt
</code></pre></li>
<li><p>That will be quite slow for long lists of patterns and large data files so you might want to read the patterns and create a <code>sed</code> script from them instead. The following assumes a <em>&lt;space></em> delimiter separates a list of <em>MATCH&lt;space>REPLACE</em> pairs occurring one-per-line in the file <em><code>patterns.txt</code></em> :</p>

<pre><code>sed 's| *\([^ ]*\) *\([^ ]*\).*|s/\1/\2/g|' &lt;patterns.txt |
sed -f- ./editfile &gt;outfile
</code></pre>

<p>The above format is largely arbitrary and, for example, doesn't allow for a <em>&lt;space></em> in either of <em>MATCH</em> or <em>REPLACE</em>. The method is very general though: basically, if you can create an output stream which looks like a <code>sed</code> script, then you can source that stream as a <code>sed</code> script by specifying <code>sed</code>'s script file as <code>-</code>stdin. </p></li>
<li><p>You can combine and concatenate multiple scripts in similar fashion:</p>

<pre><code>SOME_PIPELINE |
sed -e'#some expression script'  \
    -f./script_file -f-          \
    -e'#more inline expressions' \
./actual_edit_file &gt;./outfile
</code></pre>

<p>A POSIX <code>sed</code> will concatenate all scripts into one in the order they appear on the command-line. None of these need end in a <code>\n</code>ewline.</p></li>
<li><p><code>grep</code> can work the same way:</p>

<pre><code>sed -e'#generate a pattern list' &lt;in |
grep -f- ./grepped_file
</code></pre></li>
<li><p>When working with fixed-strings as patterns, it is good practice to escape regular expression <em>metacharacters</em>. You can do this rather easily:</p>

<pre><code>sed 's/[]$&amp;^*\./[]/\\&amp;/g
     s| *\([^ ]*\) *\([^ ]*\).*|s/\1/\2/g|
' &lt;patterns.txt |
sed -f- ./editfile &gt;outfile
</code></pre></li>
</ul>

<h2>5. Multiple replace operations: replace multiple patterns with the same string</h2>

<ul>
<li><p>Replace any of <code>foo</code>, <code>bar</code> or <code>baz</code> with <code>foobar</code></p>

<pre><code>sed -Ei 's/foo|bar|baz/foobar/g' file
</code></pre></li>
<li><p>or</p>

<pre><code>perl -i -pe 's/foo|bar|baz/foobar/g' file
</code></pre></li>
</ul>
","112024"
"Using 'sed' to find and replace","1007761","","<p>I know this question has probably been answered before.  I have seen many threads about this in various places, but the answers are usually hard to extract for me.  I am looking for help with an example usage of the 'sed' command.</p>

<p>Say I wanted to act upon the file ""hello.txt"" (in same directory as prompt).  Anywhere it contained the phrase ""few"", it should be changed to ""asd"".  What would the command look like?</p>
","

<p><code>sed</code> is the <a href=""https://www.gnu.org/software/sed/manual/sed.txt"" rel=""noreferrer"" title=""manpage""><strong>s</strong>tream <strong>ed</strong>itor</a>, in that you can use <code>|</code> (pipe) to send <em>standard streams</em> (STDIN and STDOUT specifically) through <code>sed</code> and alter them programmatically on the fly, making it a handy tool in the Unix philosophy tradition; but can edit files directly, too, using the <code>-i</code> parameter mentioned below.<br>
<strong>Consider the following</strong>:</p>

<pre class=""lang-sh prettyprint-override""><code>sed -i -e 's/few/asd/g' hello.txt
</code></pre>

<p><code>s/</code> is used to <strong>s</strong>ubstitute the found expression <code>few</code> with <code>asd</code>:</p>

<blockquote>
  <p>The few, the brave.</p>
  
  <hr>
  
  <p>The asd, the brave.</p>
</blockquote>

<p><code>/g</code> stands for ""global"", meaning to do this for the whole line. If you leave off the <code>/g</code> (with <code>s/few/asd/</code>, there always needs to be three slashes no matter what) and <code>few</code> appears twice on the same line, only the first <code>few</code> is changed to <code>asd</code>:</p>

<blockquote>
  <p>The few men, the few women, the brave.</p>
  
  <hr>
  
  <p>The asd men, the few women, the brave.</p>
</blockquote>

<p>This is useful in some circumstances, like altering special characters at the beginnings of lines (for instance, replacing the greater-than symbols some people use to quote previous material in email threads with a horizontal tab while leaving a quoted algebraic inequality later in the line untouched), but in your example where you specify that <em>anywhere</em> <code>few</code> occurs it should be replaced, make sure you have that <code>/g</code>.</p>

<p>The following two options (flags) are combined into one, <code>-ie</code>:</p>

<p><code>-i</code> option is used to edit <strong>i</strong>n place on the file <code>hello.txt</code>.</p>

<p><code>-e</code> option indicates the <strong>e</strong>xpression/command to run, in this case <code>s/</code>.</p>

<p>Note: It's important that you use <code>-i -e</code> to search/replace. If you do <code>-ie</code>, you create a backup of every file with the letter 'e' appended.</p>
","159369"
"Zip all files in directory?","864653","","<p>Is there a way to zip all files in a given directory with the <code>zip</code> command? I've heard of using <code>*.*</code>, but I want it to work for extensionless files, too.</p>
","<p>You can just use <code>*</code>; there is no need for <code>*.*</code>. File extensions are not special on Unix. <code>*</code> matches zero or more characters—including a dot. So it matches <code>foo.png</code>, because that's zero or more characters (seven, to be exact).</p>

<p>Note that <code>*</code> by default doesn't match files beginning with a dot (neither does <code>*.*</code>). This is often what you want. If not, in bash, if you <code>shopt -s dotglob</code> it will (but will still exclude <code>.</code> and <code>..</code>). Other shells have different ways (or none at all) of including dotfiles.</p>

<p>Alternatively, <code>zip</code> also has a <code>-r</code> (recursive) option to do entire directory trees at once (and not have to worry about the dotfile problem):</p>

<pre><code>zip -r myfiles.zip mydir
</code></pre>

<p>where <code>mydir</code> is the directory containing your files. Note that the produced zip will contain the directory structure as well as the files. As peterph points out in his comment, this is usually seen as a good thing: extracting the zip will neatly store all the extracted files in one subdirectory.</p>

<p>You can also tell zip to not store the paths with the <code>-j</code>/<code>--junk-paths</code> option.</p>

<p>The <code>zip</code> command comes with documentation telling you about all of its (many) options; type <code>man zip</code> to see that documentation. This isn't unique to zip; you can get documentation for most commands this way.</p>
","57014"
"How do I grep for multiple patterns?","832506","","<p>I want to find all lines in several files that match one of two patterns. I tried to find the patterns I'm looking for by typing </p>

<pre><code>grep (foo|bar) *.txt
</code></pre>

<p>but the shell interprets the <code>|</code> as a pipe and complains when <code>bar</code> isn't an executable.</p>

<p>How can I grep for multiple patterns in the same set of files?</p>
","<p>First, you need to protect the pattern from expansion by the shell. The easiest way to do that is to put single quotes around it. Single quotes prevent expansion of anything between them (including backslashes); the only thing you can't do then is have single quotes in the pattern.</p>

<pre><code>grep 'foo*' *.txt
</code></pre>

<p>If you do need a single quote, you can write it as <code>'\''</code> (end string literal, literal quote, open string literal).</p>

<pre><code>grep 'foo*'\''bar' *.txt
</code></pre>

<p>Second, grep supports two syntaxes for patterns. The old, default syntax (<a href=""https://en.wikipedia.org/wiki/Regular_expression#POSIX_basic_and_extended"">basic regular expressions</a>) doesn't support the alternation (<code>|</code>) operator, though some versions have it as an extension, but written with a backslash.</p>

<pre><code>grep 'foo\|bar' *.txt
</code></pre>

<p>The portable way is to use the newer syntax, <a href=""https://en.wikipedia.org/wiki/Regular_expression#POSIX_extended"">extended regular expressions</a>. You need to pass the <code>-E</code> option to <code>grep</code> to select it. On Linux, you can also type <code>egrep</code> instead of <code>grep -E</code> (on other unices, you can make that an alias).</p>

<pre><code>grep -E 'foo|bar' *.txt
</code></pre>

<p>Another possibility when you're just looking for any of several patterns (as opposed to building a complex pattern using disjunction) is to pass multiple patterns to <code>grep</code>. You can do this by preceding each pattern with the <code>-e</code> option.</p>

<pre><code>grep -e foo -e bar *.txt
</code></pre>
","37316"
"How to install a deb file, by dpkg -i or by apt?","743621","","<p>I have a deb package for installation.</p>

<p>Shall I install by <code>dpkg -i my.deb</code>, or by apt?</p>

<p>Will both handle the software dependency problem well?</p>

<p>If by apt, how can I install from the deb by apt?</p>
","<p>When you use <code>apt</code> to install a package, internally it uses <code>dpkg</code>. When you install a package using apt, it first creates a list of all the dependencies and downloads it from the repository.</p>

<p>Once the download is finished it calls <code>dpkg</code> to install all those files, satisfying all the dependencies.</p>

<p>So if you have a <code>.deb</code> file:</p>

<ul>
<li><p>You can install it using <code>sudo dpkg -i /path/to/deb/file</code> followed by <code>sudo apt-get install -f</code>. </p></li>
<li><p>You can install it using <code>sudo apt install ./name.deb</code> (or <code>/path/to/package/name.deb</code>). <br/>With old <code>apt-get</code> versions you must first move your deb file to <code>/var/cache/apt/archives/</code> directory. For both, after executing this command, it will automatically download its dependencies.</p></li>
<li><p>Install <code>gdebi</code> and open your .deb file using it (<em>Right-click</em> -> <em>Open with</em>). It will install your .deb package with all its dependencies.</p>

<p><em>(<strong>Note</strong>: APT maintains the package index which is a database of available packages available in repo defined in <code>/etc/apt/sources.list</code> file and in the <code>/etc/apt/sources.list.d</code> directory. All these  methods will fail to satisfy the  software dependency if the dependencies required by the deb is not present in the package index.)</em></p></li>
</ul>

<p><hr>
<strong>Why to use <code>sudo apt-get install -f</code> after <code>sudo dpkg -i /path/to/deb/file</code></strong> (mentioned in first method).</p>

<p>From <code>man apt-get</code></p>

<pre><code> -f, --fix-broken
           Fix; attempt to correct a system with broken dependencies in place.
</code></pre>

<p>When <code>dpkg</code> install a package and package dependency is not satisfied, it leaves the package in <code>unconfigured</code> state and that package is considered as broken. </p>

<p><code>sudo apt-get install -f</code> command tries to fix this broken package by installing the missing dependency. </p>
","159114"
"How do I find out what hard disks are in the system?","685132","","<p>I need to know what hard disks are available, including ones that aren't mounted and possibly aren't formatted. I can't find them in <code>dmesg</code> or <code>/var/log/messages</code> (too much to scroll through). I'm hoping there's a way to use <code>/dev</code> or <code>/proc</code> to find out this information, but I don't know how. I am using Linux.</p>
","<p>This is highly platform-dependent. Also different methods may treat edge cases differently (“fake” disks of various kinds, RAID volumes, …).</p>

<p>On modern udev installations, there are symbolic links to storage media in subdirectories of <code>/dev/disk</code>, that let you look up a disk or a partition by serial number (<code>/dev/disk/by-id/</code>), by UUID (<code>/dev/disk/by-uuid</code>), by filesystem label (<code>/dev/disk/by-label/</code>) or by hardware connectivity (<code>/dev/disk/by-path/</code>).</p>

<p>Under Linux 2.6, each disk and disk-like device has an entry in <code>/sys/block</code>. Under Linux since the dawn of time, disks and partitions are listed in <code>/proc/partitions</code>. Alternatively, you can use <a href=""http://ezix.org/project/wiki/HardwareLiSter"">lshw</a>: <code>lshw -class disk</code>.</p>

<p>Linux also provides the <a href=""http://linux.die.net/man/8/lsblk""><code>lsblk</code></a> utility which displays a nice tree view of the storage volumes (since util-linux 2.19, not present on embedded devices with BusyBox).</p>

<p>If you have an <code>fdisk</code> or <code>disklabel</code> utility, it might be able to tell you what devices it's able to work on.</p>

<p>You will find utility names for many unix variants on the <a href=""http://bhami.com/rosetta.html"">Rosetta Stone for Unix</a>, in particular the “list hardware configuration” and “read a disk label” lines.</p>
","4563"
