title,viewcount,title,body,body,acceptedanswerid
"How do I generate a random int number in C#?","1465948","","<p>How do I generate a random int number in C#?</p>
","<p>The <a href=""https://msdn.microsoft.com/en-us/library/system.random%28v=vs.110%29.aspx"" rel=""noreferrer""><code>Random</code> class</a> is used to create random numbers. (Pseudo-random that is of course.).</p>

<p>Example:</p>

<pre><code>Random rnd = new Random();
int month = rnd.Next(1, 13); // creates a number between 1 and 12
int dice = rnd.Next(1, 7);   // creates a number between 1 and 6
int card = rnd.Next(52);     // creates a number between 0 and 51
</code></pre>

<p>If you are going to create more than one random number, you should keep the <code>Random</code> instance and reuse it. If you create new instances too close in time, they will produce the same series of random numbers as the random generator is seeded from the system clock.</p>
","2706537"
"Password must be 8 characters including 1 uppercase letter, 1 special character, alphanumeric characters","1433346","","<p>I want a regular expression to check that </p>

<blockquote>
  <p>a password must be eight characters including one uppercase letter, one special character and alphanumeric characters.</p>
</blockquote>

<p>And here is my validation expression which is for eight characters including one uppercase letter, one lowercase letter, and one number or special character.</p>

<pre><code>(?=^.{8,}$)((?=.*\d)|(?=.*\W+))(?![.\n])(?=.*[A-Z])(?=.*[a-z]).*$""
</code></pre>

<p>How I can write it for a password that must be eight characters including one uppercase letter, one special character and alphanumeric characters?</p>
","<p>The regular expression you are after will most likely be huge and a nightmare to maintain especially for people who are not that familiar with regular expressions.</p>

<p>I think it would be easier to break your regex down and do it one bit at a time. It might take a bit more to do, but I am pretty sure that maintaining it and debugging it would be easier. This would also allow you to provide more directed error messages to your users (other than just <code>Invalid Password</code>) which should improve user experience.</p>

<p>From what I am seeing you are pretty fluent in regex, so I would presume that giving you the regular expressions to do what you need would be futile.</p>

<p>Seeing your comment, this is how I would go about it:</p>

<ul>
<li><p>Must be eight characters Long: You do not need a regex for this. Using the <code>.Length</code> property should be enough.</p></li>
<li><p>Including one uppercase letter: You can use the <code>[A-Z]+</code> regular expression. If the string contains at least one upper case letter, this regular expression will yield <code>true</code>.</p></li>
<li><p>One special character: You can use either the <code>\W</code> which will match any character which is not a letter or a number or else, you can use something like so <code>[!@#]</code> to specify a custom list of special characters. Note though that characters such as <code>$</code>, <code>^</code>, <code>(</code> and <code>)</code> are special characters in the regular expression language, so they need to be escaped like so: <code>\$</code>. So in short, you might use the <code>\W</code>.</p></li>
<li><p>Alphanumeric characters: Using the <code>\w+</code> should match any letter and number and underscore.</p></li>
</ul>

<p>Take a look at <a href=""http://www.regular-expressions.info/reference.html"" rel=""noreferrer"">this</a> tutorial for more information.</p>
","9478035"
"How do I get a consistent byte representation of strings in C# without manually specifying an encoding?","1111905","","<p>How do I convert a <code>string</code> to a <code>byte[]</code> in .NET (C#) without manually specifying a specific encoding?</p>

<p>I'm going to encrypt the string. I can encrypt it without converting, but I'd still like to know why encoding comes to play here.</p>

<p>Also, why should encoding be taken into consideration? Can't I simply get what bytes the string has been stored in? Why is there a dependency on character encodings?</p>
","<h2>Contrary to the answers here, you DON'T need to worry about encoding <strong><em>if</em></strong> the bytes don't need to be interpreted!</h2>

<p>Like you mentioned, your goal is, simply, to <em>""get what bytes the string has been stored in""</em>.<br>
(And, of course, to be able to re-construct the string from the bytes.)</p>

<h3>For those goals, I honestly do <em>not</em> understand why people keep telling you that you need the encodings. You certainly do NOT need to worry about encodings for this.</h3>

<p>Just do this instead:</p>

<pre><code>static byte[] GetBytes(string str)
{
    byte[] bytes = new byte[str.Length * sizeof(char)];
    System.Buffer.BlockCopy(str.ToCharArray(), 0, bytes, 0, bytes.Length);
    return bytes;
}

static string GetString(byte[] bytes)
{
    char[] chars = new char[bytes.Length / sizeof(char)];
    System.Buffer.BlockCopy(bytes, 0, chars, 0, bytes.Length);
    return new string(chars);
}
</code></pre>

<p>As long as your program (or other programs) don't try to <em>interpret</em> the bytes somehow, which you obviously didn't mention you intend to do, then there is <strong>nothing</strong> wrong with this approach! Worrying about encodings just makes your life more complicated for no real reason.</p>

<h2>Additional benefit to this approach:</h2>

<h3>It doesn't matter if the string contains invalid characters, because you can still get the data and reconstruct the original string anyway!</h3>

<p>It will be encoded and decoded just the same, because you are <em>just looking at the bytes</em>.</p>

<p>If you used a specific encoding, though, it would've given you trouble with encoding/decoding invalid characters.</p>
","10380166"
"What is the best way to iterate over a Dictionary in C#?","1034409","","<p>I've seen a few different ways to iterate over a Dictionary in C#.  Is there a standard way?</p>
","<pre class=""lang-cs prettyprint-override""><code>foreach(KeyValuePair&lt;string, string&gt; entry in myDictionary)
{
    // do something with entry.Value or entry.Key
}
</code></pre>
","141098"
"Adding values to a C# array","995630","","<p>Probably a really simple one this - I'm starting out with C# and need to add values to an array, for example:</p>

<pre><code>int[] terms;

for(int runs = 0; runs &lt; 400; runs++)
{
    terms[] = value;
}
</code></pre>

<p>For those who have used PHP, here's what I'm trying to do in C#:</p>

<pre><code>$arr = array();
for ($i = 0; $i &lt; 10; $i++) {
    $arr[] = $i;
}
</code></pre>
","<p>You can do this way -</p>

<pre><code>int[] terms = new int[400];
for (int runs = 0; runs &lt; 400; runs++)
{
    terms[runs] = value;
}
</code></pre>

<p>Alternatively, you can use Lists - the advantage with lists being, you don't need to know the array size when instantiating the list.</p>

<pre><code>List&lt;int&gt; termsList = new List&lt;int&gt;();
for (int runs = 0; runs &lt; 400; runs++)
{
    termsList.Add(value);
}

// You can convert it back to an array if you would like to
int[] terms = termsList.ToArray();
</code></pre>

<p><strong>Edit:</strong> <a href=""https://stackoverflow.com/a/365658/495455"">a) <strong>for</strong> loops on List&lt;T> are a bit more than 2 times cheaper than <strong>foreach</strong> loops on List&lt;T>, b) Looping on array is around 2 times cheaper than looping on List&lt;T>, c) looping on array using <strong>for</strong> is 5 times cheaper than looping on List&lt;T> using <strong>foreach</strong> (which most of us do).</a></p>
","202854"
"Get int value from enum in C#","991182","","<p>I have a class called <code>Questions</code> (plural). In this class there is an enum called <code>Question</code> (singular) which looks like this.</p>

<pre><code>public enum Question
{
    Role = 2,
    ProjectFunding = 3,
    TotalEmployee = 4,
    NumberOfServers = 5,
    TopBusinessConcern = 6
}
</code></pre>

<p>In the <code>Questions</code> class I have a <code>get(int foo)</code> function that returns a <code>Questions</code> object for that <code>foo</code>. Is there an easy way to get the integer value off the enum so I can do something like this <code>Questions.Get(Question.Role)</code>?</p>
","<p>Just cast the enum eg.</p>

<pre><code>int something = (int)Question.Role;
</code></pre>

<p>The above will work for the vast majority of enums you see in the wild, as the default underlying type for an enum is int.</p>

<p>However as cecilphillip  points out, enums can have different underlying types.
If an enum is declared as an uint, long or ulong then it should be cast to the type of the enum.</p>

<p>e.g. for</p>

<pre><code>enum StarsInMilkyWay:long {Sun = 1, V645Centauri = 2 .. Wolf424B = 2147483649};
</code></pre>

<p>you should use</p>

<pre><code>long something = (long)StarsInMilkyWay.Wolf424B;
</code></pre>
","943407"
"Cast int to enum in C#","921475","","<p>How can an <code>int</code> be cast to an <code>enum</code> in C#?</p>
","<p>From a string:</p>

<pre><code>YourEnum foo = (YourEnum) Enum.Parse(typeof(YourEnum), yourString);
// the foo.ToString().Contains("","") check is necessary for enumerations marked with an [Flags] attribute
if (!Enum.IsDefined(typeof(YourEnum), foo) &amp;&amp; !foo.ToString().Contains("",""))
  throw new InvalidOperationException($""{yourString} is not an underlying value of the YourEnum enumeration."")
</code></pre>

<p>From an int:</p>

<pre><code>YourEnum foo = (YourEnum)yourInt;
</code></pre>

<p><strong>Update:</strong></p>

<p>From number you can also</p>

<pre><code>YourEnum foo = (YourEnum)Enum.ToObject(typeof(YourEnum) , yourInt);
</code></pre>
","29485"
"Convert int to string?","881707","","<p>How can I convert an <code>int</code> datatype into a <code>string</code> datatype in C#?</p>
","<pre><code>string myString = myInt.ToString();
</code></pre>
","3081919"
"C# DateTime to ""YYYYMMDDHHMMSS"" format","874107","","<p>I want to convert a C# DateTime to ""YYYYMMDDHHMMSS"" format. But I don't find a built in method to get this format? Any comments?</p>
","<p><code>DateTime.Now.ToString(""yyyyMMddHHmmss""); // case sensitive</code></p>
","3025389"
"Create Excel (.XLS and .XLSX) file from C#","865799","","<p>How can I create an Excel Spreadsheet with C# without requiring Excel to be installed on the machine that's running the code?</p>
","<p>You can use a library called ExcelLibrary. It's a free, open source library posted on Google Code:</p>

<p><a href=""http://code.google.com/p/excellibrary/"" rel=""noreferrer"">ExcelLibrary</a></p>

<p>This looks to be a port of the PHP ExcelWriter that you mentioned above. It will not write to the new .xlsx format yet, but they are working on adding that functionality in.</p>

<p>It's very simple, small and easy to use. Plus it has a DataSetHelper that lets you use DataSets and DataTables to easily work with Excel data.</p>

<p>ExcelLibrary seems to still only work for the older Excel format (.xls files), but may be adding support in the future for newer 2007/2010 formats. </p>

<p>You can also use <a href=""https://github.com/JanKallman/EPPlus"" rel=""noreferrer"">EPPlus</a>, which works only for Excel 2007/2010 format files (.xlsx files).</p>

<p>There are a few known bugs with each library as noted in the comments. In all, EPPlus seems to be the best choice as time goes on. It seems to be more actively updated and documented as well.</p>

<p>Also, as noted by @АртёмЦарионов below, EPPlus has support for Pivot Tables and ExcelLibrary may have some support (<a href=""http://code.google.com/p/excellibrary/issues/detail?id=98&amp;q=pivot&amp;colspec=ID%20Type%20Status%20Priority%20ReportedBy%20Owner%20Summary%20Opened"" rel=""noreferrer"">Pivot table issue in ExcelLibrary</a>)</p>

<p>Here are a couple links for quick reference:<br/>
<a href=""http://code.google.com/p/excellibrary/"" rel=""noreferrer"">ExcelLibrary</a> - <a href=""http://www.gnu.org/licenses/lgpl.html"" rel=""noreferrer"">GNU Lesser GPL</a><br/>
<a href=""https://github.com/JanKallman/EPPlus"" rel=""noreferrer"">EPPlus</a> - <a href=""https://github.com/JanKallman/EPPlus/blob/master/LICENSE"" rel=""noreferrer"">GNU Lesser General Public License (LGPL)</a></p>

<p><b>Here some example code for ExcelLibrary:</b></p>

<p>Here is an example taking data from a database and creating a workbook from it. Note that the ExcelLibrary code is the single line at the bottom:</p>

<pre><code>//Create the data set and table
DataSet ds = new DataSet(""New_DataSet"");
DataTable dt = new DataTable(""New_DataTable"");

//Set the locale for each
ds.Locale = System.Threading.Thread.CurrentThread.CurrentCulture;
dt.Locale = System.Threading.Thread.CurrentThread.CurrentCulture;

//Open a DB connection (in this example with OleDB)
OleDbConnection con = new OleDbConnection(dbConnectionString);
con.Open();

//Create a query and fill the data table with the data from the DB
string sql = ""SELECT Whatever FROM MyDBTable;"";
OleDbCommand cmd = new OleDbCommand(sql, con);
OleDbDataAdapter adptr = new OleDbDataAdapter();

adptr.SelectCommand = cmd;
adptr.Fill(dt);
con.Close();

//Add the table to the data set
ds.Tables.Add(dt);

//Here's the easy part. Create the Excel worksheet from the data set
ExcelLibrary.DataSetHelper.CreateWorkbook(""MyExcelFile.xls"", ds);
</code></pre>

<p>Creating the Excel file is as easy as that. You can also manually create Excel files, but the above functionality is what really impressed me.</p>
","2603625"
