title,viewcount,title,body,body,acceptedanswerid
"Easiest way to convert int to string in C++","1900790","","<p>What is the easiest way to convert from int to equivalent string in C++.  I am aware of two methods. Is there any easier way?</p>

<p>1.</p>

<pre><code>int a = 10;
char *intStr = itoa(a);
string str = string(intStr);
</code></pre>

<p>2.</p>

<pre><code>int a = 10;
stringstream ss;
ss &lt;&lt; a;
string str = ss.str();
</code></pre>
","<p>C++11 introduces <a href=""http://en.cppreference.com/w/cpp/string/basic_string/stol"" rel=""noreferrer""><code>std::stoi</code></a> (and variants for each numeric type) and <a href=""http://en.cppreference.com/w/cpp/string/basic_string/to_string"" rel=""noreferrer""><code>std::to_string</code></a>, the counterparts of the C <code>atoi</code> and <code>itoa</code> but expressed in term of <code>std::string</code>.</p>

<pre><code>#include &lt;string&gt; 

std::string s = std::to_string(42);
</code></pre>

<p>is therefore the shortest way I can think of. You can even omit naming the type, using the <code>auto</code> keyword:</p>

<pre><code>auto s = std::to_string(42);
</code></pre>

<p><em>Note: see <strong>[string.conversions]</strong> (<strong>21.5</strong> in n3242)</em></p>
","5591169"
"The most elegant way to iterate the words of a string","1884378","","<p>What is the most elegant way to iterate the words of a string? The string can be assumed to be composed of words separated by whitespace.</p>

<p>Note that I'm not interested in C string functions or that kind of character manipulation/access. Also, please give precedence to elegance over efficiency in your answer.</p>

<p>The best solution I have right now is:</p>

<pre><code>#include &lt;iostream&gt;
#include &lt;sstream&gt;
#include &lt;string&gt;

using namespace std;

int main()
{
    string s = ""Somewhere down the road"";
    istringstream iss(s);

    do
    {
        string subs;
        iss &gt;&gt; subs;
        cout &lt;&lt; ""Substring: "" &lt;&lt; subs &lt;&lt; endl;
    } while (iss);
}
</code></pre>
","<p>For what it's worth, here's another way to extract tokens from an input string, relying only on standard library facilities. It's an example of the power and elegance behind the design of the STL.</p>

<pre><code>#include &lt;iostream&gt;
#include &lt;string&gt;
#include &lt;sstream&gt;
#include &lt;algorithm&gt;
#include &lt;iterator&gt;

int main() {
    using namespace std;
    string sentence = ""And I feel fine..."";
    istringstream iss(sentence);
    copy(istream_iterator&lt;string&gt;(iss),
         istream_iterator&lt;string&gt;(),
         ostream_iterator&lt;string&gt;(cout, ""\n""));
}
</code></pre>

<p>Instead of copying the extracted tokens to an output stream, one could insert them into a container, using the same generic <code>copy</code> algorithm.</p>

<pre><code>vector&lt;string&gt; tokens;
copy(istream_iterator&lt;string&gt;(iss),
     istream_iterator&lt;string&gt;(),
     back_inserter(tokens));
</code></pre>

<p>... or create the <code>vector</code> directly:</p>

<pre><code>vector&lt;string&gt; tokens{istream_iterator&lt;string&gt;{iss},
                      istream_iterator&lt;string&gt;{}};
</code></pre>
","237280"
"Why is it faster to process a sorted array than an unsorted array?","1149137","","<p>Here is a piece of C++ code that seems very peculiar. For some strange reason, sorting the data miraculously makes the code almost six times faster.</p>

<pre class=""lang-cpp prettyprint-override""><code>#include &lt;algorithm&gt;
#include &lt;ctime&gt;
#include &lt;iostream&gt;

int main()
{
    // Generate data
    const unsigned arraySize = 32768;
    int data[arraySize];

    for (unsigned c = 0; c &lt; arraySize; ++c)
        data[c] = std::rand() % 256;

    // !!! With this, the next loop runs faster
    std::sort(data, data + arraySize);

    // Test
    clock_t start = clock();
    long long sum = 0;

    for (unsigned i = 0; i &lt; 100000; ++i)
    {
        // Primary loop
        for (unsigned c = 0; c &lt; arraySize; ++c)
        {
            if (data[c] &gt;= 128)
                sum += data[c];
        }
    }

    double elapsedTime = static_cast&lt;double&gt;(clock() - start) / CLOCKS_PER_SEC;

    std::cout &lt;&lt; elapsedTime &lt;&lt; std::endl;
    std::cout &lt;&lt; ""sum = "" &lt;&lt; sum &lt;&lt; std::endl;
}
</code></pre>

<ul>
<li>Without <code>std::sort(data, data + arraySize);</code>, the code runs in 11.54 seconds.</li>
<li>With the sorted data, the code runs in 1.93 seconds.</li>
</ul>

<p>Initially, I thought this might be just a language or compiler anomaly. So I tried it in Java.</p>

<pre class=""lang-java prettyprint-override""><code>import java.util.Arrays;
import java.util.Random;

public class Main
{
    public static void main(String[] args)
    {
        // Generate data
        int arraySize = 32768;
        int data[] = new int[arraySize];

        Random rnd = new Random(0);
        for (int c = 0; c &lt; arraySize; ++c)
            data[c] = rnd.nextInt() % 256;

        // !!! With this, the next loop runs faster
        Arrays.sort(data);

        // Test
        long start = System.nanoTime();
        long sum = 0;

        for (int i = 0; i &lt; 100000; ++i)
        {
            // Primary loop
            for (int c = 0; c &lt; arraySize; ++c)
            {
                if (data[c] &gt;= 128)
                    sum += data[c];
            }
        }

        System.out.println((System.nanoTime() - start) / 1000000000.0);
        System.out.println(""sum = "" + sum);
    }
}
</code></pre>

<p>With a somewhat similar but less extreme result.</p>

<hr>

<p>My first thought was that sorting brings the data into the cache, but then I thought how silly that is because the array was just generated.</p>

<ul>
<li>What is going on?</li>
<li>Why is a sorted array faster to process than an unsorted array?</li>
<li>The code is summing up some independent terms, and the order should not matter.</li>
</ul>
","<p><strong>You are a victim of <a href=""//en.wikipedia.org/wiki/Branch_predictor"" rel=""noreferrer"">branch prediction</a> fail.</strong></p>

<hr>

<h2>What is Branch Prediction?</h2>

<p>Consider a railroad junction:</p>

<p><a href=""//commons.wikimedia.org/wiki/File:Entroncamento_do_Transpraia.JPG"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/muxnt.jpg"" alt=""Licensed Image""></a>
<sub><a href=""//commons.wikimedia.org/wiki/File:Entroncamento_do_Transpraia.JPG"" rel=""noreferrer"">Image</a> by Mecanismo, via Wikimedia Commons. Used under the <a href=""//creativecommons.org/licenses/by-sa/3.0/deed.en"" rel=""noreferrer"">CC-By-SA 3.0</a> license.</sub></p>

<p>Now for the sake of argument, suppose this is back in the 1800s - before long distance or radio communication.</p>

<p>You are the operator of a junction and you hear a train coming. You have no idea which way it is supposed to go. You stop the train to ask the driver which direction they want. And then you set the switch appropriately.</p>

<p><em>Trains are heavy and have a lot of inertia. So they take forever to start up and slow down.</em></p>

<p>Is there a better way? You guess which direction the train will go!</p>

<ul>
<li>If you guessed right, it continues on.</li>
<li>If you guessed wrong, the captain will stop, back up, and yell at you to flip the switch. Then it can restart down the other path.</li>
</ul>

<p><strong>If you guess right every time</strong>, the train will never have to stop.<br>
<strong>If you guess wrong too often</strong>, the train will spend a lot of time stopping, backing up, and restarting.</p>

<hr>

<p><strong>Consider an if-statement:</strong> At the processor level, it is a branch instruction:</p>

<p><img src=""https://i.stack.imgur.com/pyfwC.png"" alt=""image2""></p>

<p>You are a processor and you see a branch. You have no idea which way it will go. What do you do? You halt execution and wait until the previous instructions are complete. Then you continue down the correct path.</p>

<p><em>Modern processors are complicated and have long pipelines. So they take forever to ""warm up"" and ""slow down"".</em></p>

<p>Is there a better way? You guess which direction the branch will go!</p>

<ul>
<li>If you guessed right, you continue executing.</li>
<li>If you guessed wrong, you need to flush the pipeline and roll back to the branch. Then you can restart down the other path.</li>
</ul>

<p><strong>If you guess right every time</strong>, the execution will never have to stop.<br>
<strong>If you guess wrong too often</strong>, you spend a lot of time stalling, rolling back, and restarting.</p>

<hr>

<p>This is branch prediction. I admit it's not the best analogy since the train could just signal the direction with a flag. But in computers, the processor doesn't know which direction a branch will go until the last moment.</p>

<p>So how would you strategically guess to minimize the number of times that the train must back up and go down the other path? You look at the past history! If the train goes left 99% of the time, then you guess left. If it alternates, then you alternate your guesses. If it goes one way every 3 times, you guess the same...</p>

<p><strong><em>In other words, you try to identify a pattern and follow it.</em></strong> This is more or less how branch predictors work.</p>

<p>Most applications have well-behaved branches. So modern branch predictors will typically achieve >90% hit rates. But when faced with unpredictable branches with no recognizable patterns, branch predictors are virtually useless.</p>

<p>Further reading: <a href=""//en.wikipedia.org/wiki/Branch_predictor"" rel=""noreferrer"">""Branch predictor"" article on Wikipedia</a>.</p>

<hr>

<h2>As hinted from above, the culprit is this if-statement:</h2>

<pre><code>if (data[c] &gt;= 128)
    sum += data[c];
</code></pre>

<p>Notice that the data is evenly distributed between 0 and 255. 
When the data is sorted, roughly the first half of the iterations will not enter the if-statement. After that, they will all enter the if-statement.</p>

<p>This is very friendly to the branch predictor since the branch consecutively goes the same direction many times.
Even a simple saturating counter will correctly predict the branch except for the few iterations after it switches direction.</p>

<p><strong>Quick visualization:</strong></p>

<pre><code>T = branch taken
N = branch not taken

data[] = 0, 1, 2, 3, 4, ... 126, 127, 128, 129, 130, ... 250, 251, 252, ...
branch = N  N  N  N  N  ...   N    N    T    T    T  ...   T    T    T  ...

       = NNNNNNNNNNNN ... NNNNNNNTTTTTTTTT ... TTTTTTTTTT  (easy to predict)
</code></pre>

<p>However, when the data is completely random, the branch predictor is rendered useless because it can't predict random data.
Thus there will probably be around 50% misprediction. (no better than random guessing)</p>

<pre><code>data[] = 226, 185, 125, 158, 198, 144, 217, 79, 202, 118,  14, 150, 177, 182, 133, ...
branch =   T,   T,   N,   T,   T,   T,   T,  N,   T,   N,   N,   T,   T,   T,   N  ...

       = TTNTTTTNTNNTTTN ...   (completely random - hard to predict)
</code></pre>

<hr>

<p><strong>So what can be done?</strong></p>

<p>If the compiler isn't able to optimize the branch into a conditional move, you can try some hacks if you are willing to sacrifice readability for performance.</p>

<p>Replace:</p>

<pre><code>if (data[c] &gt;= 128)
    sum += data[c];
</code></pre>

<p>with:</p>

<pre><code>int t = (data[c] - 128) &gt;&gt; 31;
sum += ~t &amp; data[c];
</code></pre>

<p>This eliminates the branch and replaces it with some bitwise operations.</p>

<p><sub>(Note that this hack is not strictly equivalent to the original if-statement. But in this case, it's valid for all the input values of <code>data[]</code>.)</sub></p>

<p><strong>Benchmarks: Core i7 920 @ 3.5 GHz</strong></p>

<p>C++ - Visual Studio 2010 - x64 Release</p>

<pre><code>//  Branch - Random
seconds = 11.777

//  Branch - Sorted
seconds = 2.352

//  Branchless - Random
seconds = 2.564

//  Branchless - Sorted
seconds = 2.587
</code></pre>

<p>Java - Netbeans 7.1.1 JDK 7 - x64</p>

<pre><code>//  Branch - Random
seconds = 10.93293813

//  Branch - Sorted
seconds = 5.643797077

//  Branchless - Random
seconds = 3.113581453

//  Branchless - Sorted
seconds = 3.186068823
</code></pre>

<p>Observations:</p>

<ul>
<li><strong>With the Branch:</strong> There is a huge difference between the sorted and unsorted data.</li>
<li><strong>With the Hack:</strong> There is no difference between sorted and unsorted data.</li>
<li>In the C++ case, the hack is actually a tad slower than with the branch when the data is sorted.</li>
</ul>

<p>A general rule of thumb is to avoid data-dependent branching in critical loops. (such as in this example)</p>

<hr>

<p><strong>Update:</strong></p>

<ul>
<li><p>GCC 4.6.1 with <code>-O3</code> or <code>-ftree-vectorize</code> on x64 is able to generate a conditional move. So there is no difference between the sorted and unsorted data - both are fast.</p></li>
<li><p>VC++ 2010 is unable to generate conditional moves for this branch even under <code>/Ox</code>.</p></li>
<li><p>Intel Compiler 11 does something miraculous. It <a href=""//en.wikipedia.org/wiki/Loop_interchange"" rel=""noreferrer"">interchanges the two loops</a>, thereby hoisting the unpredictable branch to the outer loop. So not only is it immune the mispredictions, it is also twice as fast as whatever VC++ and GCC can generate! In other words, ICC took advantage of the test-loop to defeat the benchmark...</p></li>
<li><p>If you give the Intel Compiler the branchless code, it just out-right vectorizes it... and is just as fast as with the branch (with the loop interchange).</p></li>
</ul>

<p>This goes to show that even mature modern compilers can vary wildly in their ability to optimize code...</p>
","11227902"
"Best C++ IDE or Editor for Windows","1053539","","<p>What is the best C++ IDE or editor for using on Windows? I use Notepad++, but am missing IntelliSense from Visual Studio.</p>
","<p>I've found the latest release of NetBeans, which includes C/C++ support, to be excellent.</p>

<p><a href=""http://www.netbeans.org/features/cpp/index.html"" rel=""nofollow noreferrer"">http://www.netbeans.org/features/cpp/index.html</a></p>
","89284"
"C++ IDE for Linux?","874334","","<p>I want to expand my programming horizons to Linux. A good, dependable basic toolset is important, and what is more basic than an IDE?</p>

<p>I could find these SO topics:</p>

<ul>
<li><a href=""https://stackoverflow.com/questions/2756/lightweight-ide-for-linux"">Lightweight IDE for linux</a> and</li>
<li><a href=""https://stackoverflow.com/questions/17228/what-tools-do-you-use-to-develop-c-applications-on-linux"">What tools do you use to develop
C++ applications on Linux?</a></li>
</ul>

<p>I'm not looking for a <em>lightweight</em> IDE. If an IDE is worth the money, then I will pay for it, so it need not be free.</p>

<p>My question, then:</p>

<blockquote>
  <p><em>What good, C++ programming IDE is available for Linux?</em></p>
</blockquote>

<p>The minimums are fairly standard: syntax highlighting, code completion (like <a href=""http://en.wikipedia.org/wiki/IntelliSense"" rel=""nofollow noreferrer"">intellisense</a> or its Eclipse counterpart) and integrated debugging (e.g., basic
breakpoints).</p>

<p>I have searched for it myself, but there are so many that it is almost impossible to separate the good from the bads by hand, especially for someone like me who has little  C++ coding experience in Linux. I know that <a href=""http://www.eclipse.org/cdt/"" rel=""nofollow noreferrer"">Eclipse supports C++</a>, and I really like that IDE for Java, but is it any good for C++ and is there something better?</p>

<p>The second post actually has some good suggestions, but what I am missing is what exactly makes the sugested IDE so good for the user, what are its (dis)advantages?</p>

<p>Maybe my question should therefore be:</p>

<blockquote>
  <p><em>What IDE do you propose (given your experiences), and why?</em></p>
</blockquote>
","<h2>Initially: confusion</h2>

<p>When originally writing this answer, I had recently made the switch from Visual Studio (with years of experience) to Linux and the first thing I did was try to find a reasonable IDE. At the time this was impossible: no good IDE existed.</p>

<h2>Epiphany: UNIX is an IDE. <em>All of it.</em><sup>1</sup></h2>

<p>And then I realised that the IDE in Linux is the command line with its tools:</p>

<ul>
<li>First you set up your shell

<ul>
<li>Bash, in my case, but many people prefer</li>
<li><a href=""https://fishshell.com/"" rel=""noreferrer"">fish</a> or</li>
<li><a href=""https://github.com/robbyrussell/oh-my-zsh"" rel=""noreferrer"">(Oh My) Zsh</a>;</li>
</ul></li>
<li>and your editor; pick your poison — both are state of the art:

<ul>
<li><a href=""https://neovim.io/"" rel=""noreferrer"">Neovim</a><sup>2</sup> or</li>
<li><a href=""https://www.gnu.org/software/emacs/"" rel=""noreferrer"">Emacs</a>.</li>
</ul></li>
</ul>

<p>Depending on your needs, you will then have to install and configure several plugins to make the editor work nicely (that’s the one annoying part). For example, most programmers on Vim will benefit from the <a href=""https://valloric.github.io/YouCompleteMe/"" rel=""noreferrer"">YouCompleteMe</a> plugin for smart autocompletion.</p>

<p>Once that’s done, the shell is your command interface to interact with the various tools — Debuggers (gdb), Profilers (gprof, valgrind), etc. You set up your project/build environment using <a href=""https://www.gnu.org/software/make/"" rel=""noreferrer"">Make</a>, <a href=""https://bitbucket.org/snakemake/snakemake/wiki/Home"" rel=""noreferrer"">CMake</a>, <a href=""https://bitbucket.org/snakemake/snakemake/wiki/Home"" rel=""noreferrer"">SnakeMake</a> or any of the various alternatives. And you manage your code with a version control system (most people use <a href=""https://git-scm.com/"" rel=""noreferrer"">Git</a>). You also use <a href=""https://tmux.github.io/"" rel=""noreferrer"">tmux</a> (previously also screen) to multiplex (= think multiple windows/tabs/panels) and persist your terminal session.</p>

<p>The point is that, thanks to the shell and a few tool writing conventions, these all <em>integrate with each other</em>. And that way <strong>the Linux shell is a truly integrated development environment</strong>, completely on par with other modern IDEs. (This doesn’t mean that individual IDEs don’t have features that the command line may be lacking, but the inverse is also true.)</p>

<h2>To each their own</h2>

<p>I cannot overstate how well the above workflow functions once you’ve gotten into the habit. But some people simply prefer graphical editors, and in the years since this answer was originally written, Linux has gained a suite of excellent graphical IDEs for several different programming languages (but not, as far as I’m aware, for C++). Do give them a try even if — like me — you end up not using them. Here’s just a small and biased selection:</p>

<ul>
<li>For Python development, there’s <a href=""https://www.jetbrains.com/pycharm/"" rel=""noreferrer"">PyCharm</a></li>
<li>For R, there’s <a href=""https://www.rstudio.com/"" rel=""noreferrer"">RStudio</a></li>
<li>For JavaScript and TypeScript, there’s <a href=""https://code.visualstudio.com/"" rel=""noreferrer"">Visual Studio Code</a> (which is also a good all-round editor)</li>
<li>And finally, many people love the <a href=""https://www.sublimetext.com/"" rel=""noreferrer"">Sublime Text editor</a> for general code editing.</li>
</ul>

<p>Keep in mind that this list is far from complete.</p>

<hr>

<p><sup>1</sup> I stole that title from dsm’s comment.</p>

<p><sup>2</sup> I used to refer to Vim here. And while plain Vim is still more than capable, Neovim is a promising restart, and it’s modernised a few old warts.</p>
","24119"
"Read file line by line","852425","","<p>The contents of file.txt are:</p>

<pre><code>5 3
6 4
7 1
10 5
11 6
12 3
12 4
</code></pre>

<p>Where <code>5 3</code> is a coordinate pair.
How do I process this data line by line in C++?</p>

<p>I am able to get the first line, but how do I get the next line of the file?</p>

<pre><code>ofstream myfile;
myfile.open (""text.txt"");
</code></pre>
","<p>First, make an <code>ifstream</code>:</p>

<pre><code>#include &lt;fstream&gt;
std::ifstream infile(""thefile.txt"");
</code></pre>

<p>The two standard methods are:</p>

<ol>
<li><p>Assume that every line consists of two numbers and read token by token:</p>

<pre><code>int a, b;
while (infile &gt;&gt; a &gt;&gt; b)
{
    // process pair (a,b)
}
</code></pre></li>
<li><p>Line-based parsing, using string streams:</p>

<pre><code>#include &lt;sstream&gt;
#include &lt;string&gt;

std::string line;
while (std::getline(infile, line))
{
    std::istringstream iss(line);
    int a, b;
    if (!(iss &gt;&gt; a &gt;&gt; b)) { break; } // error

    // process pair (a,b)
}
</code></pre></li>
</ol>

<p>You shouldn't mix (1) and (2), since the token-based parsing doesn't gobble up newlines, so you may end up with spurious empty lines if you use <code>getline()</code> after token-based extraction got you to the end of a line already.</p>
","7868998"
"Convert string to int C++","852006","","<p>Just have a quick question. I've looked around the internet quite a bit  and I've found a few solutions but none of them have worked yet. Looking at converting a string to an int and I don't mean ASCII codes.</p>

<p>For a quick run-down, we are passed in an equation as a string. We are to break it down, format it correctly and solve the linear equations. Now, in saying that, I'm not able to convert a string to an int.</p>

<p>I know that the string will be in either the format (-5) or (25) etc. so it's definitely an int. But how do we extract that from a string?</p>

<p>One way I was thinking is running a for/while loop through the string, check for a digit, extract all the digits after that and then look to see if there was a leading '-', if there is, multiply the int by -1.</p>

<p>It seems a bit over complicated for such a small problem though. Any ideas?</p>
","<p>In C++11 there are some nice new convert functions from <code>std::string</code> to a number type.</p>

<p>So instead of </p>

<pre><code>atoi( str.c_str() )
</code></pre>

<p>you can use</p>

<pre><code>std::stoi( str )
</code></pre>

<p>where <code>str</code> is your number as <code>std::string</code>.</p>

<p>There are version for all flavours of numbers:
<code>long stol(string)</code>, <code>float stof(string)</code>, <code>double stod(string)</code>,...
see <a href=""http://en.cppreference.com/w/cpp/string/basic_string/stol"">http://en.cppreference.com/w/cpp/string/basic_string/stol</a></p>
","7664227"
"How do you set, clear, and toggle a single bit?","828117","","<p>How do you set, clear, and toggle a bit in C/C++?</p>
","<h1>Setting a bit</h1>

<p>Use the bitwise OR operator (<code>|</code>) to set a bit.</p>

<pre><code>number |= 1UL &lt;&lt; x;
</code></pre>

<p>That will set bit <code>x</code>.</p>

<p>Use <code>1ULL</code> if <code>number</code> is wider than <code>unsigned long</code>; promotion of <code>1UL &lt;&lt; x</code> doesn't happen until after evaluating <code>1UL &lt;&lt; x</code> where it's UB to shift by more than the width of a <code>long</code>.  The same applies to all the rest of the examples.</p>

<h1>Clearing a bit</h1>

<p>Use the bitwise AND operator (<code>&amp;</code>) to clear a bit.</p>

<pre><code>number &amp;= ~(1UL &lt;&lt; x);
</code></pre>

<p>That will clear bit <code>x</code>. You must invert the bit string with the bitwise NOT operator (<code>~</code>), then AND it.</p>

<h1>Toggling a bit</h1>

<p>The XOR operator (<code>^</code>) can be used to toggle a bit.</p>

<pre><code>number ^= 1UL &lt;&lt; x;
</code></pre>

<p>That will toggle bit <code>x</code>.</p>

<h1>Checking a bit</h1>

<p>You didn't ask for this but I might as well add it.</p>

<p>To check a bit, shift the number x to the right, then bitwise AND it:</p>

<pre><code>bit = (number &gt;&gt; x) &amp; 1U;
</code></pre>

<p>That will put the value of bit <code>x</code> into the variable <code>bit</code>.</p>

<h1>Changing the <em>n</em>th bit to <em>x</em></h1>

<p>Setting the <code>n</code>th bit to either <code>1</code> or <code>0</code> can be achieved with the following on a 2's complement C++ implementation:</p>

<pre><code>number ^= (-x ^ number) &amp; (1UL &lt;&lt; n);
</code></pre>

<p>Bit <code>n</code> will be set if <code>x</code> is <code>1</code>, and cleared if <code>x</code> is <code>0</code>.  If <code>x</code> has some other value, you get garbage.  <code>x = !!x</code> will booleanize it to 0 or 1.</p>

<p>To make this independent of 2's complement negation behaviour (where <code>-1</code> has all bits set, unlike on a 1's complement or sign/magnitude C++ implementation), use unsigned negation.</p>

<pre><code>number ^= (-(unsigned long)x ^ number) &amp; (1UL &lt;&lt; n);
</code></pre>

<p>or</p>

<pre><code>unsigned long newbit = !!x;    // also booleanize to force 0 or 1
number ^= (-newbit ^ number) &amp; (1UL &lt;&lt; n);
</code></pre>

<p>It's generally a good idea to use unsigned types for portable bit manipulation.</p>
","47990"
"How do I find the length of an array?","823200","","<p>Is there a way to find how many values an array has?  Detecting whether or not I've reached the end of an array would also work.</p>
","<p>If you mean a C-style array, then you can do something like:</p>

<pre><code>int a[7];
std::cout &lt;&lt; ""Length of array = "" &lt;&lt; (sizeof(a)/sizeof(*a)) &lt;&lt; std::endl;
</code></pre>

<p>This doesn't work on pointers, though, i.e. it <strong>won't</strong> work for either of the following:</p>

<pre><code>int *p = new int[7];
std::cout &lt;&lt; ""Length of array = "" &lt;&lt; (sizeof(p)/sizeof(*p)) &lt;&lt; std::endl;
</code></pre>

<p>or:</p>

<pre><code>void func(int *p)
{
    std::cout &lt;&lt; ""Length of array = "" &lt;&lt; (sizeof(p)/sizeof(*p)) &lt;&lt; std::endl;
}

int a[7];
func(a);
</code></pre>

<p>In C++, if you want this kind of behaviour, then you should be using a container class; probably <a href=""http://en.cppreference.com/w/cpp/container/vector""><code>std::vector</code></a>.</p>
","4108340"
"Sleep for milliseconds","807997","","<p>I know the POSIX <code>sleep(x)</code> function makes the program sleep for x seconds. Is there a function to make the program sleep for x <em>milliseconds</em> in C++?</p>
","<p>Note that there is no standard C API for milliseconds, so (on Unix) you will have to settle for <code>usleep</code>, which accepts microseconds:</p>

<pre><code>#include &lt;unistd.h&gt;

unsigned int microseconds;
...
usleep(microseconds);
</code></pre>
","4184493"
