title,viewcount,title,body,body,acceptedanswerid
"How to horizontally center a <div> in another <div>?","3268086","","<p>How can I horizontally center a <code>&lt;div&gt;</code> within another <code>&lt;div&gt;</code> using CSS (if it's even possible)? </p>

<pre><code>&lt;div id=""outer""&gt;  
  &lt;div id=""inner""&gt;Foo foo&lt;/div&gt;
&lt;/div&gt;
</code></pre>
","<p>You can apply this CSS to the inner <code>&lt;div&gt;</code>:</p>

<pre class=""lang-css prettyprint-override""><code>#inner {
  width: 50%;
  margin: 0 auto;
}
</code></pre>

<p>Of course, you don't have to set the <code>width</code> to <code>50%</code>. Any width less than the containing <code>&lt;div&gt;</code> will work. The <code>margin: 0 auto</code> is what does the actual centering.</p>

<p>If you are targeting IE8+, it might be better to have this instead:</p>

<pre class=""lang-css prettyprint-override""><code>#inner {
  display: table;
  margin: 0 auto;
}
</code></pre>

<p>It will make the inner element center horizontally and it works without setting a specific <code>width</code>.</p>

<p>Working example here:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>#inner {
  display: table;
  margin: 0 auto;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div id=""outer"" style=""width:100%""&gt;
  &lt;div id=""inner""&gt;Foo foo&lt;/div&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>
","114549"
"How do I vertically center text with CSS?","2400630","","<p>I have a div element which contains text, and I want to align the contents of this div vertically center.</p>

<p>Here is my div style:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>#box {
  height: 170px;
  width: 270px;
  background: #000;
  font-size: 48px;
  color: #FFF;
  text-align: center;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div id=""box""&gt;
  Lorem ipsum dolor sit
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>What is the best way to do this?</p>
","<p>You can try this basic approach:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>div {
  height: 90px;
  line-height: 90px;
  text-align: center;
  border: 2px dashed #f69c55;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div&gt;
  Hello World!
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>It only works for a single line of text though, because we set the line's height to the same height as the containing box element.</p>

<hr>

<h2>A more versatile approach</h2>

<p>This is another way to align text vertically. This solution will work for a single line and multiple lines of text, but it still requires a fixed height container:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>div {
  height: 200px;
  line-height: 200px;
  text-align: center;
  border: 2px dashed #f69c55;
}
span {
  display: inline-block;
  vertical-align: middle;
  line-height: normal;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div&gt;
  &lt;span&gt;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Haec et tu ita posuisti, et verba vestra sunt. Non enim iam stirpis bonum quaeret, sed animalis. &lt;/span&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>The CSS just sizes the <code>&lt;div&gt;</code>, vertically center aligns the <code>&lt;span&gt;</code> by setting the <code>&lt;div&gt;</code>'s line-height equal to its height, and makes the <code>&lt;span&gt;</code> an inline-block with <code>vertical-align: middle</code>. Then it sets the line-height back to normal for the <code>&lt;span&gt;</code>, so its contents will flow naturally inside the block.</p>

<hr>

<h2>Simulating table display</h2>

<p>And here is another option, which may not work on older <a href=""http://caniuse.com/css-table"" rel=""noreferrer"">browsers that don't support <code>display: table</code> and <code>display: table-cell</code></a> (basically just Internet Explorer 7). Using CSS we simulate table behavior (since tables support vertical alignment), and the HTML is the same as the second example:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>div {
  display: table;
  height: 100px;
  width: 100%;
  text-align: center;
  border: 2px dashed #f69c55;
}
span {
  display: table-cell;
  vertical-align: middle;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div&gt;
  &lt;span&gt;Lorem ipsum dolor sit amet, consectetur adipiscing elit.&lt;/span&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<hr>

<h2>Using absolute positioning</h2>

<p>This technique uses an absolutely positioned element setting top, bottom, left and right to 0. It is described in more detail in an article in Smashing Magazine, <em><a href=""http://coding.smashingmagazine.com/2013/08/09/absolute-horizontal-vertical-centering-css/"" rel=""noreferrer"">Absolute Horizontal And Vertical Centering In CSS</a></em>.</p>
","8865463"
"Set cellpadding and cellspacing in CSS?","1940309","","<p>In an HTML table, the <code>cellpadding</code> and <code>cellspacing</code> can be set like this:</p>

<pre class=""lang-html prettyprint-override""><code>&lt;table cellspacing=""1"" cellpadding=""1""&gt;
</code></pre>

<p>How can the same be accomplished using CSS?</p>
","<p><strong>Basics</strong></p>

<p>For controlling ""cellpadding"" in CSS, you can simply use <code>padding</code> on table cells. E.g. for 10px of ""cellpadding"":</p>

<pre class=""lang-css prettyprint-override""><code>td { 
    padding: 10px;
}
</code></pre>

<p>For ""cellspacing"", you can apply the <code>border-spacing</code> CSS property to your table. E.g. for 10px of ""cellspacing"":</p>

<pre class=""lang-css prettyprint-override""><code>table { 
    border-spacing: 10px;
    border-collapse: separate;
}
</code></pre>

<p>This property will even allow separate horizontal and vertical spacing, something you couldn't do with old-school ""cellspacing"".</p>

<p><strong>Issues in IE &lt;= 7</strong></p>

<p>This will work in almost all popular browsers except for Internet&nbsp;Explorer up through Internet&nbsp;Explorer&nbsp;7, where you're almost out of luck. I say ""almost"" because these browsers still support the <code>border-collapse</code> property, which merges the borders of adjoining table cells. If you're trying to eliminate cellspacing (that is, <code>cellspacing=""0""</code>) then <code>border-collapse:collapse</code> should have the same effect: no space between table cells. This support is buggy, though, as it does not override an existing <code>cellspacing</code> HTML attribute on the table element.</p>

<p>In short: for non-Internet&nbsp;Explorer 5-7 browsers, <code>border-spacing</code> handles you. For Internet&nbsp;Explorer, if your situation is just right (you want 0 cellspacing and your table doesn't have it defined already), you can use <code>border-collapse:collapse</code>.</p>

<pre class=""lang-css prettyprint-override""><code>table { 
    border-spacing: 0;
    border-collapse: collapse;
}
</code></pre>

<p>Note: For a great overview of CSS properties that one can apply to tables and for which browsers, see this <a href=""http://www.quirksmode.org/css/tables.html"" rel=""noreferrer"">fantastic Quirksmode page</a>.</p>
","3209434"
"How to align a <div> to the middle (horizontally/width) of the page","1923729","","<p>I have a div tag with width set to 800px. When the browser width is greater than 800px, it shouldn't stretch the div but it should bring it to the middle of the page.</p>
","<pre><code>&lt;body&gt;
    &lt;div style=""width:800px; margin:0 auto;""&gt;
        centered content
    &lt;/div&gt;
&lt;/body&gt;
</code></pre>
","953934"
"How do I auto-resize an image to fit a div container","1582215","","<p>How do you auto-resize a large image so that it will fit into a smaller width div container whilst maintaining it's width:height ratio?</p>

<hr>

<p>Example: stackoverflow.com - when an image is inserted onto the editor panel and the image is too large to fit onto the page, the image is automatically resized. </p>
","<p>Do not apply an explicit width or height to the image tag. Instead, give it:</p>

<pre><code>max-width:100%;
max-height:100%;
</code></pre>

<p>Example: <a href=""http://jsfiddle.net/xwrvxser/1/"" rel=""noreferrer"">http://jsfiddle.net/xwrvxser/1/</a></p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>img {
    max-width: 100%;
    max-height: 100%;
}

.portrait {
    height: 80px;
    width: 30px;
}

.landscape {
    height: 30px;
    width: 80px;
}

.square {
    height: 75px;
    width: 75px;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>Portrait Div
&lt;div class=""portrait""&gt;
    &lt;img src=""http://i.stack.imgur.com/xkF9Q.jpg""&gt;
&lt;/div&gt;

Landscape Div
&lt;div class=""landscape""&gt;
    &lt;img src=""http://i.stack.imgur.com/xkF9Q.jpg""&gt;
&lt;/div&gt;

Square Div
&lt;div class=""square""&gt;
    &lt;img src=""http://i.stack.imgur.com/xkF9Q.jpg""&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>
","3029434"
"Center a column using Twitter Bootstrap 3","1559944","","<p>How do I center a div of one column size within the container (12 columns) in <a href=""https://en.wikipedia.org/wiki/Bootstrap_%28front-end_framework%29"" rel=""noreferrer"">Twitter Bootstrap</a> 3.</p>

<p>Please see the starter <a href=""http://jsfiddle.net/qejjP/2/"" rel=""noreferrer"">fiddle</a>. </p>

<pre><code>&lt;body class=""container""&gt;
    &lt;div class=""col-lg-1 col-offset-6 centered""&gt;
        &lt;img data-src=""holder.js/100x100"" alt="""" /&gt;
    &lt;/div&gt;
&lt;/body&gt;
</code></pre>

<p>So, I want a <code>div</code>, with a class <code>centered</code> to be centered within the container. I may use a row if there are multiple divs, but for now I just want a div with size of one column centered within the container (12 columns).</p>

<p>I am also not sure the above approach is good enough as the intention is not to offset the <code>div</code> by half. I do not need free spaces outside the <code>div</code> and the contents of the <code>div</code> shrink in proportion. I want to <strong>empty space outside the div to be evenly distributed</strong> (shrink till the container width == one column).</p>
","<p>There are two approaches to centering a column <code>&lt;div&gt;</code> in Bootstrap 3:</p>

<h2><strong>Approach 1 (offsets):</strong></h2>

<p>The first approach uses Bootstrap's own offset classes so it requires no change in markup and no extra CSS. The key is to <strong>set an offset equal to half of the remaining size of the row</strong>. So for example, a column of size 2 would be centered by adding an offset of 5, that's <code>(12-2)/2</code>.</p>

<p>In markup this would look like:</p>

<pre><code>&lt;div class=""row""&gt;
    &lt;div class=""col-md-2 col-md-offset-5""&gt;&lt;/div&gt;
&lt;/div&gt;
</code></pre>

<p>Now, there's an obvious drawback for this method, <strong>it only works for even column sizes</strong>, so only <code>.col-X-2</code>, <code>.col-X-4</code>, <code>col-X-6</code>, <code>col-X-8</code> and <code>col-X-10</code> are supported.</p>

<hr>

<h2><strong>Approach 2 (the old margin:auto)</strong></h2>

<p>You can <strong>center any column size</strong> by using the proven <code>margin: 0 auto;</code> technique, you just need to take care of the floating that is added by Bootstrap's grid system. I recommend defining a custom CSS class like the following:</p>

<pre><code>.col-centered{
    float: none;
    margin: 0 auto;
}
</code></pre>

<p>Now you can add it to any column size at any screen size and it will work seamlessly with Bootstrap's responsive layout:</p>

<pre><code>&lt;div class=""row""&gt;
    &lt;div class=""col-lg-1 col-centered""&gt;&lt;/div&gt;
&lt;/div&gt;
</code></pre>

<p><strong>Note:</strong> With both techniques you could skip the <code>.row</code> element and have the column centered inside a <code>.container</code> but you would notice a minimal difference in the actual column size because of the padding in the container class.</p>

<hr>

<p><strong>Update:</strong></p>

<p>Since v3.0.1 Bootstrap has a built-in class named <code>center-block</code> that uses <code>margin: 0 auto</code> but is missing <code>float:none</code>. You can add that to your CSS to make it work with the grid system.</p>
","18153551"
"Change an HTML5 input's placeholder color with CSS","1557502","","<p>Chrome supports the <a href=""http://www.w3.org/html/wg/drafts/html/master/single-page.html#the-placeholder-attribute"" rel=""noreferrer"" title=""The placeholder attribute"">placeholder attribute</a> on <code>input[type=text]</code> elements (others probably do too).</p>

<p>But the following <code>CSS</code> doesn't do diddly squat to the placeholder's value:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>input[placeholder], [placeholder], *[placeholder] {
    color: red !important;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;input type=""text"" placeholder=""Value""&gt;</code></pre>
</div>
</div>
</p>

<p><code>Value</code> will still remain <code>grey</code> instead of <code>red</code>.</p>

<p><strong>Is there a way to change the color of the placeholder text?</strong></p>
","<h2>Implementation</h2>

<p>There are three different implementations: pseudo-elements, pseudo-classes, and nothing.</p>

<ul>
<li>WebKit, Blink (Safari, Google Chrome, Opera 15+) and Microsoft Edge are using a pseudo-element: <code>::-webkit-input-placeholder</code>. <sup>[<a href=""https://bugs.webkit.org/show_bug.cgi?id=21227"" rel=""noreferrer"">Ref</a>]</sup></li>
<li>Mozilla Firefox 4 to 18 is using a pseudo-class: <code>:-moz-placeholder</code> (<em>one</em> colon). <sup>[<a href=""https://developer.mozilla.org/en/CSS/:-moz-placeholder"" rel=""noreferrer"">Ref</a>]</sup></li>
<li>Mozilla Firefox 19+ is using a pseudo-element: <code>::-moz-placeholder</code>, but the old selector will still work for a while. <sup>[<a href=""https://developer.mozilla.org/en-US/docs/Web/CSS/%3A%3A-moz-placeholder"" rel=""noreferrer"">Ref</a>]</sup></li>
<li>Internet Explorer 10 and 11 are using a pseudo-class: <code>:-ms-input-placeholder</code>. <sup>[<a href=""http://msdn.microsoft.com/en-us/library/ie/hh772745(v=vs.85).aspx"" rel=""noreferrer"">Ref</a>]</sup></li>
<li>April 2017: <strong>Most modern browsers support the simple pseudo-element <code>::placeholder</code> <sup>[<a href=""https://caniuse.com/#feat=css-placeholder"" rel=""noreferrer"">Ref</a>]</sup></strong></li>
</ul>

<p>Internet Explorer 9 and lower does not support the <code>placeholder</code> attribute at all, while <a href=""http://web.archive.org/web/20131206060908/http://my.opera.com/community/forums/topic.dml?id=841252&amp;t=1296553904&amp;page=1#comment8072202"" rel=""noreferrer"">Opera 12 and lower do not support</a> any CSS selector for placeholders.</p>

<p>The discussion about the best implementation is still going on. Note the pseudo-elements act like real elements in the <a href=""http://glazkov.com/2011/01/14/what-the-heck-is-shadow-dom/"" rel=""noreferrer"">Shadow DOM</a>. A <code>padding</code> on an <code>input</code> will not get the same background color as the pseudo-element.</p>

<h2>CSS selectors</h2>

<p>User agents are required to ignore a rule with an unknown selector. See <a href=""http://www.w3.org/TR/selectors/#Conformance"" rel=""noreferrer"">Selectors Level 3</a>:</p>

<blockquote>
  <p>a <a href=""http://www.w3.org/TR/selectors/#grouping"" rel=""noreferrer"">group</a> of selectors containing an invalid selector is invalid.</p>
</blockquote>

<p>So we need separate rules for each browser. Otherwise the whole group would be ignored by all browsers.
<div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>::-webkit-input-placeholder { /* WebKit, Blink, Edge */
    color:    #909;
}
:-moz-placeholder { /* Mozilla Firefox 4 to 18 */
   color:    #909;
   opacity:  1;
}
::-moz-placeholder { /* Mozilla Firefox 19+ */
   color:    #909;
   opacity:  1;
}
:-ms-input-placeholder { /* Internet Explorer 10-11 */
   color:    #909;
}
::-ms-input-placeholder { /* Microsoft Edge */
   color:    #909;
}

::placeholder { /* Most modern browsers support this now. */
   color:    #909;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;input placeholder=""Stack Snippets are awesome!""&gt;</code></pre>
</div>
</div>
</p>

<h2>Usage notes</h2>

<ul>
<li>Be careful to avoid bad contrasts. Firefox's placeholder appears to be defaulting with a reduced opacity, so needs to use <code>opacity: 1</code> here.</li>
<li>Note that placeholder text is just cut off if it doesn’t fit – size your input elements in <code>em</code> and test them with big minimum font size settings. Don’t forget translations: some languages <a href=""http://www.w3.org/International/articles/article-text-size.en"" rel=""noreferrer"">need more room</a> for the same word. </li>
<li>Browsers with HTML support for <code>placeholder</code> but without CSS support for that (like Opera) should be tested too.</li>
<li>Some browsers use additional default CSS for some <code>input</code> types (<code>email</code>, <code>search</code>). These might affect the rendering in unexpected ways. Use the <a href=""https://developer.mozilla.org/en-US/docs/CSS/-moz-appearance"" rel=""noreferrer"">properties</a> <code>-webkit-appearance</code> and <code>-moz-appearance</code> to change that. Example:</li>
</ul>

<pre class=""lang-css prettyprint-override""><code>    [type=""search""] {
        -moz-appearance:    textfield;
        -webkit-appearance: textfield;
        appearance: textfield;
    }
</code></pre>
","2610741"
"CSS opacity only to background color not the text on it?","1527416","","<p>Can I assign the <code>opacity</code> property to the <code>background</code> property of a <code>div</code> only and not to the text on it?</p>

<p>I've tried:</p>

<pre><code>background: #CCC;
opacity: 0.6;
</code></pre>

<p>but this doesn't change the opacity.</p>
","<p>It sounds like you want to use a transparent background, in which case you could try using the <a href=""https://developer.mozilla.org/en-US/docs/CSS/color_value#css-rgba"" rel=""noreferrer""><code>rgba()</code></a> function:</p>

<blockquote>
  <h3><code>rgba()</code></h3>
  
  <p>Colors can be defined in the Red-green-blue-alpha model (RGBa) using the <code>rgba()</code> functional notation. RGBa extends the RGB color model to include the alpha channel, allowing specification of the opacity of a color.<br>
  <code>a</code> means opacity: 0=transparent; 1=opaque;</p>

<pre><code>rgba(255,0,0,0.1)    /* 10% opaque red */  
rgba(255,0,0,0.4)    /* 40% opaque red */  
rgba(255,0,0,0.7)    /* 70% opaque red */  
rgba(255,0,0,  1)    /* full opaque red */ 
</code></pre>
</blockquote>

<p>Sample usage:</p>

<pre><code>#div {
    background: rgb(54, 25, 25); /* Fall-back for browsers that don't
                                    support rgba */
    background: rgba(54, 25, 25, .5);
}
</code></pre>

<p><a href=""http://jsfiddle.net/swQx2/"" rel=""noreferrer"">Demo</a></p>

<p>Check <a href=""http://caniuse.com/#search=rgba"" rel=""noreferrer"">http://caniuse.com/#search=rgba</a> to see support from browsers </p>
","5135033"
"How do I give text or an image a transparent background using CSS?","1468267","","<p>Is it possible, using CSS only, to make the <code>background</code> of an element semi-transparent but have the content (text &amp; images) of the element opaque?</p>

<p>I'd like to accomplish this without having the text and the background as two separate elements.</p>

<p>When trying:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>p {
  position: absolute;
  background-color: green;
  filter: alpha(opacity=60);
  opacity: 0.6;
}

span {
  color: white;
  filter: alpha(opacity=100);
  opacity: 1;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;p&gt;
  &lt;span&gt;Hello world&lt;/span&gt;
&lt;/p&gt;</code></pre>
</div>
</div>
</p>

<p>It looks like child elements are subjected to the opacity of their parents, so <code>opacity:1</code> is relative to the <code>opacity:0.6</code> of the parent.</p>
","<p>Either use a semi-transparent <a href=""http://en.wikipedia.org/wiki/Portable_Network_Graphics"" rel=""noreferrer"">PNG</a> image or use CSS3:</p>

<pre class=""lang-css prettyprint-override""><code>background-color:rgba(255,0,0,0.5);
</code></pre>

<p>Here's an article from css3.info, <em><a href=""http://www.css3.info/opacity_rgba_and_compromise/"" rel=""noreferrer"">Opacity, RGBA and compromise</a></em> (2007-06-03).</p>
","806189"
"How to align content of a div to the bottom?","1440704","","<p>Say I have the following CSS and HTML code:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>#header {
  height: 150px;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div id=""header""&gt;
  &lt;h1&gt;Header title&lt;/h1&gt;
  Header content (one or multiple lines)
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>The header section is fixed height, but the header content may change.
I would like to content of the header to be vertically aligned to the bottom of the header section, so the last line of text ""sticks"" to the bottom of the header section.</p>

<p>So if there is only one line of text it would be like:</p>

<pre><code>-----------------------------
| Header title
|
|
|
| header content (resulting in one line)
-----------------------------
</code></pre>

<p>And if there were three lines:</p>

<pre><code>-----------------------------
| Header title
|
| header content (which is so
| much stuff that it perfectly
| spans over three lines)
-----------------------------
</code></pre>

<p>How can this be done in CSS?</p>
","<p>Relative+absolute positioning is your best bet:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>#header {
  position: relative;
  min-height: 150px;
}

#header-content {
  position: absolute;
  bottom: 0;
  left: 0;
}

#header, #header * {
  background: rgba(40, 40, 100, 0.25);
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div id=""header""&gt;
  &lt;h1&gt;Title&lt;/h1&gt;
  &lt;div id=""header-content""&gt;Some content&lt;/div&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>But you may run into issues with that.  When I tried it I had problems with dropdown menus appearing below the content.  It's just not pretty.</p>

<p>Honestly, for vertical centering issues and, well, any vertical alignment issues with the items aren't fixed height, it's easier just to use tables.</p>

<p>Example: <a href=""https://stackoverflow.com/questions/522928/can-you-do-this-html-layout-without-using-tables"">Can you do this HTML layout without using tables?</a></p>
","585965"
