title,viewcount,title,body,body,acceptedanswerid
"How to create an HTML button that acts like a link?","3812327","","<p>I would like to create an HTML button that acts like a link. So, when you click the button, it redirects to a page. I would like it to be as accessible as possible.</p>

<p>I would also like it so there aren't any extra characters, or parameters in the URL.</p>

<p>How can I achieve this?</p>

<hr>

<p>Based on the answers posted so far, I am currently doing this:</p>

<pre><code>&lt;form method=""get"" action=""/page2""&gt;
    &lt;button type=""submit""&gt;Continue&lt;/button&gt;
&lt;/form&gt;
</code></pre>

<p>but the problem with this is that in <a href=""http://en.wikipedia.org/wiki/Safari_%28web_browser%29"" rel=""noreferrer"">Safari</a> and <a href=""http://en.wikipedia.org/wiki/Internet_Explorer"" rel=""noreferrer"">Internet&nbsp;Explorer</a>, it adds a question mark character to the end of the URL. I need to find a solution that doesn't add any characters to the end of the URL.</p>

<p>There are two other solutions to do this: Using JavaScript or styling a link to look like a button.</p>

<p>Using JavaScript:</p>

<pre><code>&lt;button onclick=""window.location.href='/page2'""&gt;Continue&lt;/button&gt;
</code></pre>

<p>But this obviously requires JavaScript, and for that reason it is less accessible to screen readers. The point of a link is to go to another page. So trying to make a button act like a link is the wrong solution. My suggestion is that you should use a link and <a href=""https://stackoverflow.com/questions/710089/how-do-i-make-an-html-link-look-like-a-button"">style it to look like a button</a>.</p>

<pre><code>&lt;a href=""/link/to/page2""&gt;Continue&lt;/a&gt;
</code></pre>
","<h2>HTML</h2>

<p>The plain HTML way is to put it in a <code>&lt;form&gt;</code> wherein you specify the desired target URL in the <code>action</code> attribute.</p>

<pre><code>&lt;form action=""http://google.com""&gt;
    &lt;input type=""submit"" value=""Go to Google"" /&gt;
&lt;/form&gt;
</code></pre>

<p>If necessary, set CSS <code>display: inline;</code> on the form to keep it in the flow with the surrounding text. Instead of <code>&lt;input type=""submit""&gt;</code> in above example, you can also use <code>&lt;button type=""submit""&gt;</code>. The only difference is that the <code>&lt;button&gt;</code> element allows children.</p>

<p>You'd intuitively expect to be able to use <code>&lt;button href=""http://google.com""&gt;</code> analogous with the <code>&lt;a&gt;</code> element, but unfortunately no, this attribute does not exist according to <a href=""https://www.w3.org/TR/html5/forms.html#the-button-element"" rel=""noreferrer"">HTML specification</a>.</p>

<h2>CSS</h2>

<p>If CSS is allowed, simply use an <code>&lt;a&gt;</code> which you style to look like a button using among others the <a href=""https://developer.mozilla.org/en-US/docs/Web/CSS/-moz-appearance"" rel=""noreferrer""><code>appearance</code></a> property (<a href=""http://caniuse.com/#feat=css-appearance"" rel=""noreferrer"">only Internet&nbsp;Explorer support is currently (July 2015) still poor</a>).</p>

<pre><code>&lt;a href=""http://google.com"" class=""button""&gt;Go to Google&lt;/a&gt;
</code></pre>



<pre><code>a.button {
    -webkit-appearance: button;
    -moz-appearance: button;
    appearance: button;

    text-decoration: none;
    color: initial;
}
</code></pre>

<p>Or pick one of those many CSS libraries like <a href=""http://getbootstrap.com/css/#buttons"" rel=""noreferrer"">Bootstrap</a>.</p>

<pre><code>&lt;a href=""http://google.com"" class=""btn btn-default""&gt;Go to Google&lt;/a&gt;
</code></pre>

<h2>JavaScript</h2>

<p>If JavaScript is allowed, set the <code>window.location.href</code>.</p>

<pre><code>&lt;input type=""button"" onclick=""location.href='http://google.com';"" value=""Go to Google"" /&gt;
</code></pre>
","2906586"
"How to check whether a checkbox is checked in jQuery?","3376830","","<p>I need to check the <code>checked</code> property of a checkbox and perform an action based on the checked property using jQuery.</p>

<p>For example, if the age checkbox is checked, then I need to show a textbox to enter age, else hide the textbox.</p>

<p>But the following code returns <code>false</code> by default:</p>

<pre><code>if($('#isAgeSelected').attr('checked')) {
    $(""#txtAge"").show();
} else {
    $(""#txtAge"").hide();
}
</code></pre>

<p>How do I successfully query the <code>checked</code> property?</p>
","<p>This worked for me:</p>

<pre><code>$get(""isAgeSelected "").checked == true
</code></pre>

<p>Where <code>isAgeSelected</code> is the id of the control.</p>

<p>Also, @karim79's <a href=""https://stackoverflow.com/questions/901712/check-checkbox-checked-property-using-jquery/901727#901727"">answer</a> works fine. I am not sure what I missed at the time I tested it.</p>

<p><strong>Note, this is answer uses Microsoft Ajax, not jQuery</strong></p>
","903152"
"How to horizontally center a <div> in another <div>?","3268086","","<p>How can I horizontally center a <code>&lt;div&gt;</code> within another <code>&lt;div&gt;</code> using CSS (if it's even possible)? </p>

<pre><code>&lt;div id=""outer""&gt;  
  &lt;div id=""inner""&gt;Foo foo&lt;/div&gt;
&lt;/div&gt;
</code></pre>
","<p>You can apply this CSS to the inner <code>&lt;div&gt;</code>:</p>

<pre class=""lang-css prettyprint-override""><code>#inner {
  width: 50%;
  margin: 0 auto;
}
</code></pre>

<p>Of course, you don't have to set the <code>width</code> to <code>50%</code>. Any width less than the containing <code>&lt;div&gt;</code> will work. The <code>margin: 0 auto</code> is what does the actual centering.</p>

<p>If you are targeting IE8+, it might be better to have this instead:</p>

<pre class=""lang-css prettyprint-override""><code>#inner {
  display: table;
  margin: 0 auto;
}
</code></pre>

<p>It will make the inner element center horizontally and it works without setting a specific <code>width</code>.</p>

<p>Working example here:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>#inner {
  display: table;
  margin: 0 auto;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div id=""outer"" style=""width:100%""&gt;
  &lt;div id=""inner""&gt;Foo foo&lt;/div&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>
","114549"
"Redirect from an HTML page","2706180","","<p>Is it possible to set up a basic <code>HTML</code> page to redirect to another page on load?</p>
","<p>Try using:</p>

<pre><code>&lt;meta http-equiv=""refresh"" content=""0; url=http://example.com/"" /&gt;
</code></pre>

<p>Note: Place it in the head section.</p>

<p>Additionally for older browsers if you add a quick link in case it doesn't refresh correctly:</p>

<p><code>&lt;p&gt;&lt;a href=""http://example.com/""&gt;Redirect&lt;/a&gt;&lt;/p&gt;</code></p>

<p>Will appear as </p>

<p><a href=""http://example.com/"" rel=""noreferrer"">Redirect</a></p>

<p>This will still allow you to get to where you're going with an additional click.</p>
","5411567"
"How do I vertically center text with CSS?","2400630","","<p>I have a div element which contains text, and I want to align the contents of this div vertically center.</p>

<p>Here is my div style:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>#box {
  height: 170px;
  width: 270px;
  background: #000;
  font-size: 48px;
  color: #FFF;
  text-align: center;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div id=""box""&gt;
  Lorem ipsum dolor sit
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>What is the best way to do this?</p>
","<p>You can try this basic approach:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>div {
  height: 90px;
  line-height: 90px;
  text-align: center;
  border: 2px dashed #f69c55;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div&gt;
  Hello World!
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>It only works for a single line of text though, because we set the line's height to the same height as the containing box element.</p>

<hr>

<h2>A more versatile approach</h2>

<p>This is another way to align text vertically. This solution will work for a single line and multiple lines of text, but it still requires a fixed height container:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>div {
  height: 200px;
  line-height: 200px;
  text-align: center;
  border: 2px dashed #f69c55;
}
span {
  display: inline-block;
  vertical-align: middle;
  line-height: normal;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div&gt;
  &lt;span&gt;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Haec et tu ita posuisti, et verba vestra sunt. Non enim iam stirpis bonum quaeret, sed animalis. &lt;/span&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>The CSS just sizes the <code>&lt;div&gt;</code>, vertically center aligns the <code>&lt;span&gt;</code> by setting the <code>&lt;div&gt;</code>'s line-height equal to its height, and makes the <code>&lt;span&gt;</code> an inline-block with <code>vertical-align: middle</code>. Then it sets the line-height back to normal for the <code>&lt;span&gt;</code>, so its contents will flow naturally inside the block.</p>

<hr>

<h2>Simulating table display</h2>

<p>And here is another option, which may not work on older <a href=""http://caniuse.com/css-table"" rel=""noreferrer"">browsers that don't support <code>display: table</code> and <code>display: table-cell</code></a> (basically just Internet Explorer 7). Using CSS we simulate table behavior (since tables support vertical alignment), and the HTML is the same as the second example:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>div {
  display: table;
  height: 100px;
  width: 100%;
  text-align: center;
  border: 2px dashed #f69c55;
}
span {
  display: table-cell;
  vertical-align: middle;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div&gt;
  &lt;span&gt;Lorem ipsum dolor sit amet, consectetur adipiscing elit.&lt;/span&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<hr>

<h2>Using absolute positioning</h2>

<p>This technique uses an absolutely positioned element setting top, bottom, left and right to 0. It is described in more detail in an article in Smashing Magazine, <em><a href=""http://coding.smashingmagazine.com/2013/08/09/absolute-horizontal-vertical-centering-css/"" rel=""noreferrer"">Absolute Horizontal And Vertical Centering In CSS</a></em>.</p>
","8865463"
"Tab space instead of multiple non-breaking spaces (""nbsp"")?","2358154","","<p>Is it possible to insert a tab character in HTML instead of having to type <code>&amp;nbsp;</code> four times?</p>
","<p>It's much cleaner to use CSS. Try <code>padding-left:5em</code> or <code>margin-left:5em</code> as appropriate instead.</p>
","1571662"
"RegEx match open tags except XHTML self-contained tags","2147784","","<p>I need to match all of these opening tags:</p>

<pre><code>&lt;p&gt;
&lt;a href=""foo""&gt;
</code></pre>

<p>But not these:</p>

<pre><code>&lt;br /&gt;
&lt;hr class=""foo"" /&gt;
</code></pre>

<p>I came up with this and wanted to make sure I've got it right. I am only capturing the <code>a-z</code>.</p>

<pre><code>&lt;([a-z]+) *[^/]*?&gt;
</code></pre>

<p>I believe it says:</p>

<ul>
<li>Find a less-than, then</li>
<li>Find (and capture) a-z one or more times, then</li>
<li>Find zero or more spaces, then</li>
<li>Find any character zero or more times, greedy, except <code>/</code>, then</li>
<li>Find a greater-than</li>
</ul>

<p>Do I have that right? And more importantly, what do you think?</p>
","<p>You can't parse [X]HTML with regex. Because HTML can't be parsed by regex. Regex is not a tool that can be used to correctly parse HTML. As I have answered in HTML-and-regex questions here so many times before, the use of regex will not allow you to consume HTML. Regular expressions are a tool that is insufficiently sophisticated to understand the constructs employed by HTML. HTML is not a regular language and hence cannot be parsed by regular expressions. Regex queries are not equipped to break down HTML into its meaningful parts. so many times but it is not getting to me. Even enhanced irregular regular expressions as used by Perl are not up to the task of parsing HTML. You will never make me crack. HTML is a language of sufficient complexity that it cannot be parsed by regular expressions. Even Jon Skeet cannot parse HTML using regular expressions. Every time you attempt to parse HTML with regular expressions, the unholy child weeps the blood of virgins, and Russian hackers pwn your webapp. Parsing HTML with regex summons tainted souls into the realm of the living. HTML and regex go together like love, marriage, and ritual infanticide. The &lt;center> cannot hold it is too late. The force of regex and HTML together in the same conceptual space will destroy your mind like so much watery putty. If you parse HTML with regex you are giving in to Them and their blasphemous ways which doom us all to inhuman toil for the One whose Name cannot be expressed in the Basic Multilingual Plane, he comes. HTML-plus-regexp will liquify the n​erves of the sentient whilst you observe, your psyche withering in the onslaught of horror. Rege̿̔̉x-based HTML parsers are the cancer that is killing StackOverflow <i>it is too late it is too late we cannot be saved</i> the trangession of a chi͡ld ensures regex will consume all living tissue (except for HTML which it cannot, as previously prophesied) <i>dear lord help us how can anyone survive this scourge</i> using regex to parse HTML has doomed humanity to an eternity of dread torture and security holes <i>using rege</i>x as a tool to process HTML establishes a brea<i>ch between this world</i> and the dread realm of c͒ͪo͛ͫrrupt entities (like SGML entities, but <i>more corrupt) a mere glimp</i>se of the world of reg​<b>ex parsers for HTML will ins</b>​tantly transport a p<i>rogrammer's consciousness i</i>nto a w<i>orl</i>d of ceaseless screaming, he comes<strike>, the pestilent sl</strike>ithy regex-infection wil​<b>l devour your HT</b>​ML parser, application and existence for all time like Visual Basic only worse <i>he comes he com</i>es <i>do not fi</i>​ght h<b>e com̡e̶s, ̕h̵i</b>​s un̨ho͞ly radiańcé de<i>stro҉ying all enli̍̈́̂̈́ghtenment, HTML tags <b>lea͠ki̧n͘g fr̶ǫm ̡yo​͟ur eye͢s̸ ̛l̕ik͏e liq</b>​uid p</i>ain, the song of re̸gular exp​re<strike>ssion parsing </strike>will exti<i>​nguish the voices of mor​<b>tal man from the sp</b>​here I can see it can you see ̲͚̖͔̙î̩́t̲͎̩̱͔́̋̀ it is beautiful t​</i>he f<code>inal snuf</code>fing o<i>f the lie​<b>s of Man ALL IS LOŚ͖̩͇̗̪̏̈́T A</b></i><b>LL I​S L</b>OST th<i>e pon̷y he come</i>s he c̶̮om<strike>es he co</strike><b><strike>me</strike>s t<i>he</i> ich​</b>or permeat<i>es al</i>l MY FAC<i>E MY FACE ᵒh god n<b>o NO NOO̼</b></i><b>O​O N</b>Θ stop t<i>he an​*̶͑̾̾​̅ͫ͏̙̤g͇̫͛͆̾ͫ̑͆l͖͉̗̩̳̟̍ͫͥͨ</i>e̠̅s<code> ͎a̧͈͖r̽̾̈́͒͑e</code> n<b>​ot rè̑ͧ̌aͨl̘̝̙̃ͤ͂̾̆ ZA̡͊͠͝LGΌ ISͮ̂҉̯͈͕̹̘̱ T</b>O͇̹̺ͅƝ̴ȳ̳ TH̘<b>Ë͖́̉ ͠P̯͍̭O̚​N̐Y̡ H̸̡̪̯ͨ͊̽̅̾̎Ȩ̬̩̾͛ͪ̈́̀́͘ ̶̧̨̱̹̭̯ͧ̾ͬC̷̙̲̝͖ͭ̏ͥͮ͟Oͮ͏̮̪̝͍M̲̖͊̒ͪͩͬ̚̚͜Ȇ̴̟̟͙̞ͩ͌͝</b>S̨̥̫͎̭ͯ̿̔̀ͅ</p>

<hr>

<p>Have you tried using an XML parser instead?</p>

<hr>

<blockquote>
  <p><strong>Moderator's Note</strong></p>
  
  <p>This post is locked to prevent inappropriate edits to its content. The post looks exactly as it is supposed to look - there are no problems with its content. Please do not flag it for our attention.</p>
</blockquote>
","1732454"
"Change an element's class with JavaScript","1964210","","<p>How can I change a class of an HTML element in response to an <code>onClick</code> event using JavaScript?</p>
","<h2>Modern HTML5 Techniques for changing classes</h2>

<p>Modern browsers have added <a href=""https://developer.mozilla.org/en-US/docs/DOM/element.classList"" rel=""noreferrer""><strong>classList</strong></a> which provides methods to make it easier to manipulate classes without needing a library:</p>

<pre><code>document.getElementById(""MyElement"").classList.add('MyClass');

document.getElementById(""MyElement"").classList.remove('MyClass');

if ( document.getElementById(""MyElement"").classList.contains('MyClass') )

document.getElementById(""MyElement"").classList.toggle('MyClass');
</code></pre>

<p>Unfortunately, these do not work in Internet Explorer prior to v10, though there is a <a href=""http://en.wikipedia.org/wiki/Shim_(computing)"" rel=""noreferrer"">shim</a> to add support for it to IE8 and IE9, available from <a href=""https://developer.mozilla.org/en-US/docs/DOM/element.classList"" rel=""noreferrer"">this page</a>. It is, though, getting more and more <a href=""http://caniuse.com/#feat=classlist"" rel=""noreferrer"">supported</a>.</p>

<h2>Simple cross-browser solution</h2>

<p>The standard JavaScript way to select an element is using <a href=""https://developer.mozilla.org/en-US/docs/DOM/document.getElementById"" rel=""noreferrer""><code>document.getElementById(""Id"")</code></a>, which is what the following examples use - you can of course obtain elements in other ways, and in the right situation may simply use <code>this</code> instead - however, going into detail on this is beyond the scope of the answer.</p>

<h3>To change all classes for an element:</h3>

<p>To replace all existing classes with one or more new classes, set the className attribute:</p>

<pre><code>document.getElementById(""MyElement"").className = ""MyClass"";
</code></pre>

<p>(You can use a space-delimited list to apply multiple classes.)</p>

<h3>To add an additional class to an element:</h3>

<p>To add a class to an element, without removing/affecting existing values, append a space and the new classname, like so:</p>

<pre><code>document.getElementById(""MyElement"").className += "" MyClass"";
</code></pre>

<h3>To remove a class from an element:</h3>

<p>To remove a single class to an element, without affecting other potential classes, a simple regex replace is required:</p>

<pre><code>document.getElementById(""MyElement"").className =
   document.getElementById(""MyElement"").className.replace
      ( /(?:^|\s)MyClass(?!\S)/g , '' )
/* Code wrapped for readability - above is all one statement */
</code></pre>

<p>An explanation of this regex is as follows:</p>

<pre><code>(?:^|\s) # Match the start of the string, or any single whitespace character

MyClass  # The literal text for the classname to remove

(?!\S)   # Negative lookahead to verify the above is the whole classname
         # Ensures there is no non-space character following
         # (i.e. must be end of string or a space)
</code></pre>

<p>The <code>g</code> flag tells the replace to repeat as required, in case the class name has been added multiple times.</p>

<h3>To check if a class is already applied to an element:</h3>

<p>The same regex used above for removing a class can also be used as a check as to whether a particular class exists:</p>

<pre><code>if ( document.getElementById(""MyElement"").className.match(/(?:^|\s)MyClass(?!\S)/) )
</code></pre>

<p><br/></p>

<h3>Assigning these actions to onclick events:</h3>

<p>Whilst it is possible to write JavaScript directly inside the HTML event attributes (such as <code>onclick=""this.className+=' MyClass'""</code>) this is not recommended behaviour. Especially on larger applications, more maintainable code is achieved by separating HTML markup from JavaScript interaction logic.</p>

<p>The first step to achieving this is by creating a function, and calling the function in the onclick attribute, for example:</p>

<pre><code>&lt;script type=""text/javascript""&gt;
    function changeClass()
    {
        // Code examples from above
    }
&lt;/script&gt;
...
&lt;button onclick=""changeClass()""&gt;My Button&lt;/button&gt;
</code></pre>

<p><sub><em>(It is not required to have this code in script tags, this is simply for brevity of example, and including the JavaScript in a distinct file may be more appropriate.)</em></sub></p>

<p>The second step is to move the onclick event out of the HTML and into JavaScript, for example using <a href=""https://developer.mozilla.org/en-US/docs/DOM/element.addEventListener"" rel=""noreferrer"">addEventListener</a></p>

<pre><code>&lt;script type=""text/javascript""&gt;
    function changeClass()
    {
        // Code examples from above
    }

    window.onload = function()
    {
        document.getElementById(""MyElement"").addEventListener( 'click', changeClass);
    }
&lt;/script&gt;
...
&lt;button id=""MyElement""&gt;My Button&lt;/button&gt;
</code></pre>

<p>(Note that the window.onload part is required so that the contents of that function are executed <em>after</em> the HTML has finished loading - without this, the MyElement might not exist when the JavaScript code is called, so that line would fail.)</p>

<p><br/></p>

<h2>JavaScript Frameworks and Libraries</h2>

<p>The above code is all in standard JavaScript, however it is common practise to use either a framework or a library to simplify common tasks, as well as benefit from fixed bugs and edge cases that you might not think of when writing your code.</p>

<p>Whilst some people consider it overkill to add a ~50&nbsp;KB framework for simply changing a class, if you are doing any substantial amount of JavaScript work, or anything that might have unusual cross-browser behaviour, it is well worth considering.</p>

<p><em>(Very roughly, a library is a set of tools designed for a specific task, whilst a framework generally contains multiple libraries and performs a complete set of duties.)</em></p>

<p>The examples above have been reproduced below using <a href=""http://jquery.com"" rel=""noreferrer"">jQuery</a>, probably the most commonly used JavaScript library (though there are others worth investigating too).</p>

<p>(Note that <code>$</code> here is the jQuery object.)</p>

<h3>Changing Classes with jQuery:</h3>

<pre><code>$('#MyElement').addClass('MyClass');

$('#MyElement').removeClass('MyClass');

if ( $('#MyElement').hasClass('MyClass') )
</code></pre>

<p>In addition, jQuery provides a shortcut for adding a class if it doesn't apply, or removing a class that does:</p>

<pre><code>$('#MyElement').toggleClass('MyClass');
</code></pre>

<p><br/></p>

<h3>Assigning a function to a click event with jQuery:</h3>

<pre><code>$('#MyElement').click(changeClass);
</code></pre>

<p>or, without needing an id:</p>

<pre><code>$(':button:contains(My Button)').click(changeClass);
</code></pre>

<p><br/></p>
","196038"
"Set cellpadding and cellspacing in CSS?","1940309","","<p>In an HTML table, the <code>cellpadding</code> and <code>cellspacing</code> can be set like this:</p>

<pre class=""lang-html prettyprint-override""><code>&lt;table cellspacing=""1"" cellpadding=""1""&gt;
</code></pre>

<p>How can the same be accomplished using CSS?</p>
","<p><strong>Basics</strong></p>

<p>For controlling ""cellpadding"" in CSS, you can simply use <code>padding</code> on table cells. E.g. for 10px of ""cellpadding"":</p>

<pre class=""lang-css prettyprint-override""><code>td { 
    padding: 10px;
}
</code></pre>

<p>For ""cellspacing"", you can apply the <code>border-spacing</code> CSS property to your table. E.g. for 10px of ""cellspacing"":</p>

<pre class=""lang-css prettyprint-override""><code>table { 
    border-spacing: 10px;
    border-collapse: separate;
}
</code></pre>

<p>This property will even allow separate horizontal and vertical spacing, something you couldn't do with old-school ""cellspacing"".</p>

<p><strong>Issues in IE &lt;= 7</strong></p>

<p>This will work in almost all popular browsers except for Internet&nbsp;Explorer up through Internet&nbsp;Explorer&nbsp;7, where you're almost out of luck. I say ""almost"" because these browsers still support the <code>border-collapse</code> property, which merges the borders of adjoining table cells. If you're trying to eliminate cellspacing (that is, <code>cellspacing=""0""</code>) then <code>border-collapse:collapse</code> should have the same effect: no space between table cells. This support is buggy, though, as it does not override an existing <code>cellspacing</code> HTML attribute on the table element.</p>

<p>In short: for non-Internet&nbsp;Explorer 5-7 browsers, <code>border-spacing</code> handles you. For Internet&nbsp;Explorer, if your situation is just right (you want 0 cellspacing and your table doesn't have it defined already), you can use <code>border-collapse:collapse</code>.</p>

<pre class=""lang-css prettyprint-override""><code>table { 
    border-spacing: 0;
    border-collapse: collapse;
}
</code></pre>

<p>Note: For a great overview of CSS properties that one can apply to tables and for which browsers, see this <a href=""http://www.quirksmode.org/css/tables.html"" rel=""noreferrer"">fantastic Quirksmode page</a>.</p>
","3209434"
"How to align a <div> to the middle (horizontally/width) of the page","1923729","","<p>I have a div tag with width set to 800px. When the browser width is greater than 800px, it shouldn't stretch the div but it should bring it to the middle of the page.</p>
","<pre><code>&lt;body&gt;
    &lt;div style=""width:800px; margin:0 auto;""&gt;
        centered content
    &lt;/div&gt;
&lt;/body&gt;
</code></pre>
","953934"
