title,viewcount,title,body,body,acceptedanswerid
"How do I UPDATE from a SELECT in SQL Server?","3070912","","<p>In SQL Server, it's possible to <em>insert</em> into a table using a <code>SELECT</code> statement:</p>

<pre><code>INSERT INTO Table (col1, col2, col3)
SELECT col1, col2, col3 
FROM other_table 
WHERE sql = 'cool'
</code></pre>

<p>Is it also possible to <em>update</em> via a <code>SELECT</code>? I have a temporary table containing the values, and would like to update another table using those values. Perhaps something like this:</p>

<pre><code>UPDATE Table SET col1, col2
SELECT col1, col2 
FROM other_table 
WHERE sql = 'cool'
WHERE Table.id = other_table.id
</code></pre>
","<pre><code>UPDATE
    Table_A
SET
    Table_A.col1 = Table_B.col1,
    Table_A.col2 = Table_B.col2
FROM
    Some_Table AS Table_A
    INNER JOIN Other_Table AS Table_B
        ON Table_A.id = Table_B.id
WHERE
    Table_A.col3 = 'cool'
</code></pre>
","2334741"
"How do I perform an IF...THEN in an SQL SELECT?","2782594","","<p>How do I perform an IF...THEN in an SQL SELECT statement?</p>

<p>For example:</p>

<pre><code>SELECT IF(Obsolete = 'N' OR InStock = 'Y' ? 1 : 0) AS Saleable, * FROM Product
</code></pre>
","<p>The <code>CASE</code> statement is the closest to IF in SQL and is supported on all versions of SQL Server</p>

<pre><code>SELECT CAST(
             CASE 
                  WHEN Obsolete = 'N' or InStock = 'Y' 
                     THEN 1 
                  ELSE 0 
             END AS bit) as Saleable, * 
FROM Product
</code></pre>

<p>You only need to do the <code>CAST</code> if you want the result as a boolean value, if you are happy with an <code>int</code>, this works: </p>

<pre><code>SELECT CASE 
            WHEN Obsolete = 'N' or InStock = 'Y' 
               THEN 1 
               ELSE 0 
       END as Saleable, * 
FROM Product
</code></pre>

<p><code>CASE</code> statements can be embedded in other <code>CASE</code> statements and even included in aggregates. </p>

<p>SQL Server Denali (SQL Server 2012) adds the <a href=""http://msdn.microsoft.com/en-us/library/hh213574%28v=sql.110%29.aspx"" rel=""noreferrer"">IIF</a> statement which is also available in <a href=""http://www.techonthenet.com/access/functions/advanced/iif.php"" rel=""noreferrer"">access</a>: (pointed out by <a href=""https://stackoverflow.com/questions/63447/how-do-you-perform-an-if-then-in-an-sql-select/6769805#6769805"">Martin Smith</a>)</p>

<pre><code>SELECT IIF(Obsolete = 'N' or InStock = 'Y', 1, 0) as Saleable, * FROM Product
</code></pre>
","63480"
"SQL Server: CASE WHEN OR THEN ELSE END => the OR is not supported","2270432","","<p>The <code>OR</code> in the <code>WHEN</code> clause of a <code>CASE</code> statement is not supported. How can I do this?</p>

<pre><code>CASE ebv.db_no 
    WHEN 22978 OR 23218 OR 23219 THEN 'WECS 9500' 
    ELSE 'WECS 9520' 
END as wecs_system 
</code></pre>
","<p>That format requires you to use either:</p>

<pre><code>CASE ebv.db_no 
  WHEN 22978 THEN 'WECS 9500' 
  WHEN 23218 THEN 'WECS 9500'  
  WHEN 23219 THEN 'WECS 9500' 
  ELSE 'WECS 9520' 
END as wecs_system 
</code></pre>

<p>Otherwise, use:</p>

<pre><code>CASE  
  WHEN ebv.db_no IN (22978, 23218, 23219) THEN 'WECS 9500' 
  ELSE 'WECS 9520' 
END as wecs_system 
</code></pre>
","5487936"
"Add a column with a default value to an existing table in SQL Server","2217258","","<p>How can a column with a default value be added to an existing table in <a href=""http://en.wikipedia.org/wiki/Microsoft_SQL_Server#Genesis"" rel=""noreferrer"">SQL Server 2000</a> / <a href=""http://en.wikipedia.org/wiki/Microsoft_SQL_Server#SQL_Server_2005"" rel=""noreferrer"">SQL Server 2005</a>?</p>
","<pre><code>ALTER TABLE {TABLENAME} 
ADD {COLUMNNAME} {TYPE} {NULL|NOT NULL} 
CONSTRAINT {CONSTRAINT_NAME} DEFAULT {DEFAULT_VALUE}
WITH VALUES
</code></pre>
","92123"
"What is the difference between ""INNER JOIN"" and ""OUTER JOIN""?","1968308","","<p>Also how do <code>LEFT JOIN</code>, <code>RIGHT JOIN</code> and <code>FULL JOIN</code> fit in?</p>
","<p>Assuming you're joining on columns with no duplicates, which is a very common case:</p>

<ul>
<li><p>An inner join of A and B gives the result of A intersect B, i.e. the inner part of a <a href=""http://en.wikipedia.org/wiki/Venn_diagram"" rel=""noreferrer"">Venn diagram</a> intersection.</p></li>
<li><p>An outer join of A and B gives the results of A union B, i.e. the outer parts of a Venn diagram union.</p></li>
</ul>

<p><strong>Examples</strong></p>

<p>Suppose you have two tables, with a single column each, and data as follows:</p>

<pre><code>A    B
-    -
1    3
2    4
3    5
4    6
</code></pre>

<p>Note that (1,2) are unique to A, (3,4) are common, and (5,6) are unique to B.</p>

<p><strong>Inner join</strong></p>

<p>An inner join using either of the equivalent queries gives the intersection of the two tables, i.e. the two rows they have in common.</p>

<pre><code>select * from a INNER JOIN b on a.a = b.b;
select a.*, b.*  from a,b where a.a = b.b;

a | b
--+--
3 | 3
4 | 4
</code></pre>

<p><strong>Left outer join</strong></p>

<p>A left outer join will give all rows in A, plus any common rows in B.</p>

<pre><code>select * from a LEFT OUTER JOIN b on a.a = b.b;
select a.*, b.*  from a,b where a.a = b.b(+);

a |  b
--+-----
1 | null
2 | null
3 |    3
4 |    4
</code></pre>

<p><strong>Right outer join</strong></p>

<p>A right outer join will give all rows in B, plus any common rows in A.</p>

<pre><code>select * from a RIGHT OUTER JOIN b on a.a = b.b;
select a.*, b.*  from a,b where a.a(+) = b.b;

a    |  b
-----+----
3    |  3
4    |  4
null |  5
null |  6
</code></pre>

<p><strong>Full outer join</strong></p>

<p>A full outer join will give you the union of A and B, i.e. all the rows in A and all the rows in B. If something in A doesn't have a corresponding datum in B, then the B portion is null, and vice versa.</p>

<pre><code>select * from a FULL OUTER JOIN b on a.a = b.b;

 a   |  b
-----+-----
   1 | null
   2 | null
   3 |    3
   4 |    4
null |    6
null |    5
</code></pre>
","38578"
"How to return only the Date from a SQL Server DateTime datatype","1931912","","<pre><code>SELECT GETDATE()
</code></pre>

<p>Returns: <code>2008-09-22 15:24:13.790</code></p>

<p>I want that date part without the time part: <code>2008-09-22 00:00:00.000</code></p>

<p>How can I get that?</p>
","<p>On SQL Server 2008 and higher, you should convert to date:</p>

<pre><code>SELECT CONVERT(date, getdate())
</code></pre>

<p>On older versions, you can do the following:</p>

<pre><code>SELECT DATEADD(dd, 0, DATEDIFF(dd, 0, @your_date))
</code></pre>

<p>for example</p>

<pre><code>SELECT DATEADD(dd, 0, DATEDIFF(dd, 0, GETDATE()))
</code></pre>

<p>gives me   </p>

<pre><code>2008-09-22 00:00:00.000
</code></pre>

<p>Pros: </p>

<ul>
<li>No varchar&lt;->datetime conversions required</li>
<li>No need to think about locale</li>
</ul>
","113055"
"Insert into ... values ( SELECT ... FROM ... )","1919429","","<p>I am trying to insert into a table using the input from another table. Although this is entirely feasible for many database engines, I always seem to struggle to remember the correct syntax for the SQL engine of the day (<a href=""http://en.wikipedia.org/wiki/MySQL"">MySQL</a>, <a href=""http://en.wikipedia.org/wiki/Oracle_Database"">Oracle</a>, <a href=""http://en.wikipedia.org/wiki/Microsoft_SQL_Server"">SQL Server</a>, <a href=""http://en.wikipedia.org/wiki/IBM_Informix"">Informix</a>, and <a href=""http://en.wikipedia.org/wiki/IBM_DB2"">DB2</a>).</p>

<p>Is there a silver-bullet syntax coming from an SQL standard (for example, <a href=""http://en.wikipedia.org/wiki/SQL-92"">SQL-92</a>) that would allow me to insert the values without worrying about the underlying database?</p>
","<p>Try:</p>

<pre><code>INSERT INTO table1 ( column1 )
SELECT  col1
FROM    table2  
</code></pre>

<p>This is standard ANSI SQL and should work on any DBMS</p>

<p>It definitely works for:</p>

<ul>
<li>Oracle  </li>
<li>MS SQL Server  </li>
<li>MySQL  </li>
<li>Postgres  </li>
<li>SQLite v3  </li>
<li>Teradata</li>
<li>DB2  </li>
<li>Sybase</li>
<li>Vertica</li>
<li>HSQLDB</li>
<li>H2</li>
<li>AWS RedShift</li>
<li>SAP HANA</li>
</ul>
","25971"
"How to import an SQL file using the command line in MySQL?","1814627","","<p>I have a <code>.sql</code> file with an export from phpMyAdmin. I want to import it into a different server using the command line.</p>

<p>I have a <a href=""http://en.wikipedia.org/wiki/Windows_Server_2008"" rel=""noreferrer"">Windows Server 2008</a> R2 installation. I placed the <code>.sql</code> file on the C drive, and I tried this command</p>

<pre><code>database_name &lt; file.sql
</code></pre>

<p>It is not working I get syntax errors.</p>

<ul>
<li>How can I import this file without a problem?</li>
<li>Do I need to create a database first?</li>
</ul>
","<p>Try:</p>

<pre><code>mysql -u username -p database_name &lt; file.sql
</code></pre>

<p>Check <a href=""http://dev.mysql.com/doc/refman/5.0/en/mysql-command-options.html"" rel=""noreferrer"">MySQL Options</a>.</p>

<p><strong>Note-1:</strong> It is better to use the full path of the SQL file <code>file.sql</code>.</p>

<p><strong>Note-2:</strong> Use <code>-R</code> and <code>--triggers</code> to keep the routines and triggers of original database. They are not copied by default.</p>
","17666279"
"Get list of all tables in Oracle?","1732449","","<p>How do I query an Oracle database to display the names of all tables in it?</p>
","<pre><code>SELECT owner, table_name
  FROM dba_tables
</code></pre>

<p>This is assuming that you have access to the <code>DBA_TABLES</code> data dictionary view.  If you do not have those privileges but need them, you can request that the DBA explicitly grants you privileges on that table, or, that the DBA grants you the <code>SELECT ANY DICTIONARY</code> privilege or the <code>SELECT_CATALOG_ROLE</code> role (either of which would allow you to query any data dictionary table).  Of course, you may want to exclude certain schemas like <code>SYS</code> and <code>SYSTEM</code> which have large numbers of Oracle tables that you probably don't care about.</p>

<p>Alternatively, if you do not have access to <code>DBA_TABLES</code>, you can see all the tables that your account has access to through the <code>ALL_TABLES</code> view:</p>

<pre><code>SELECT owner, table_name
  FROM all_tables
</code></pre>

<p>Although, that may be a subset of the tables available in the database (<code>ALL_TABLES</code> shows you the information for all the tables that your user has been granted access to).  </p>

<p>If you are only concerned with the tables that you own, not those that you have access to, you could use <code>USER_TABLES</code>:</p>

<pre><code>SELECT table_name
  FROM user_tables
</code></pre>

<p>Since <code>USER_TABLES</code> only has information about the tables that you own, it does not have an <code>OWNER</code> column – the owner, by definition, is you.</p>

<p>Oracle also has a number of legacy data dictionary views-- <code>TAB</code>, <code>DICT</code>, <code>TABS</code>, and <code>CAT</code> for example-- that could be used.  In general, I would not suggest using these legacy views unless you absolutely need to backport your scripts to Oracle 6.  Oracle has not changed these views in a long time so they often have problems with newer types of objects.  For example, the <code>TAB</code> and <code>CAT</code> views both show information about tables that are in the user's recycle bin while the <code>[DBA|ALL|USER]_TABLES</code> views all filter those out.  <code>CAT</code> also shows information about materialized view logs with a <code>TABLE_TYPE</code> of ""TABLE"" which is unlikely to be what you really want.  <code>DICT</code> combines tables and synonyms and doesn't tell you who owns the object.</p>
","205746"
"Concatenate many rows into a single text string?","1630608","","<p>Consider a database table holding names, with three rows:</p>

<pre><code>Peter
Paul
Mary
</code></pre>

<p>Is there an easy way to turn this into a single string of <code>Peter, Paul, Mary</code>?</p>
","<p>I had a similar issue when I was trying to join two tables with one-to-many relationships. In SQL 2005 I found that <code>XML PATH</code> method can handle the concatenation of the rows very easily.</p>

<p>If there is a table called <code>STUDENTS</code></p>

<pre><code>SubjectID       StudentName
----------      -------------
1               Mary
1               John
1               Sam
2               Alaina
2               Edward
</code></pre>

<p>Result I expected was:</p>

<pre><code>SubjectID       StudentName
----------      -------------
1               Mary, John, Sam
2               Alaina, Edward
</code></pre>

<p>I used the following T-SQL:</p>

<pre><code>Select Main.SubjectID,
       Left(Main.Students,Len(Main.Students)-1) As ""Students""
From
    (
        Select distinct ST2.SubjectID, 
            (
                Select ST1.StudentName + ',' AS [text()]
                From dbo.Students ST1
                Where ST1.SubjectID = ST2.SubjectID
                ORDER BY ST1.SubjectID
                For XML PATH ('')
            ) [Students]
        From dbo.Students ST2
    ) [Main]
</code></pre>

<p>You can do the same thing in a more compact way if you can concat the commas at the beginning and use substring to skip the first one so you don't need to do a subquery:</p>

<pre><code>Select distinct ST2.SubjectID, 
    substring(
        (
            Select ','+ST1.StudentName  AS [text()]
            From dbo.Students ST1
            Where ST1.SubjectID = ST2.SubjectID
            ORDER BY ST1.SubjectID
            For XML PATH ('')
        ), 2, 1000) [Students]
From dbo.Students ST2
</code></pre>
","545672"
